segmentnr	original	analyzed
MBRudraYamalaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBRudraYamalaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00074	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBRudraYamalaHK-2	Uniform title: rudrayamalatantra uttarakāṇḍa	uniform title rudrayamalatantra uttara kāṇḍa 
MBRudraYamalaHK-3	Editor : Malaviya S.	e t itoḥ malaviyaḥ s 
MBRudraYamalaHK-4	Description: This e-text was created from electronic typesetting files in devanagari of Dr. S. Malaviya and converted into roman transliteration by programs written by the staff of Muktabodha.	description this etext was created from electronic typesetting files in devanagari of dr s malaviya and converted into roman transliteration by programs written by the staff of muktabodha 
MBRudraYamalaHK-5	Notes: Licenced for non-commercial use under the Creative Commons Licence.	notes liced for noncommercial use under the creative commons licence 
MBRudraYamalaHK-6	Revision 1: June 14, 2007 (this is a reformatted version of revision 0).	revision june  this is a reformatted vession of revision 
MBRudraYamalaHK-7	Publisher : Internet publisher: Muktabodha Indological Research Institut	publisheḥ internet publisheḥ muktabodha indological research institut 
MBRudraYamalaHK-8	Publication year : 2007	publication year 
MBRudraYamalaHK-9	Publication country : United States	publication country united states 
MBRudraYamalaHK-10	atha prathamaḥ paṭalaḥ	atha prathamaḥ paṭalaḥ 
MBRudraYamalaHK-11	bhairava uvāca	bhairavaḥ uvāca 
MBRudraYamalaHK-12	parā śrīparameśānīvadanāmbhojaniḥsṛtam |	             
MBRudraYamalaHK-13	śrīyāmalaṃ mahātantraṃ svatantraṃ viṣṇuyāmalam || 1-1 ||	śrī yāmalam mahā tantram svatantram viṣṇuyāmalam 
MBRudraYamalaHK-14	śaktiyāmalamākhyātaṃ brahmaṇaḥ stutihetunā |	śaktiyāmalam ākhyātam brahmaṇaḥ stuti hetunā 
MBRudraYamalaHK-15	brahmayāmalavedāṅgaṃ sarvañca kathitaṃ priye || 1-2 ||	brahma yāmala vedāṅgam sarvañca kathitam priye 
MBRudraYamalaHK-16	idānīmuttarākāṇḍaṃ vada śrīrudrayāmalam |	idānīm uttarā kāṇḍam vada śrī rudrayāmalam 
MBRudraYamalaHK-17	yadi bhāgyavaśād devi! tava śrīmukhapaṅkaje || 1-3 ||	yadi bhāgya vaśāt devi tava śrī mukha paṅkaje 
MBRudraYamalaHK-18	yāni yāni svatantrāṇi saṃdattāni mahītale |	yāni yāni svatantrāṇi saṃdattāni mahī tale 
MBRudraYamalaHK-19	prakāśaya mahātantraṃ nānyatantreṣu tṛptimān || 1-4 ||	prakāśaya mahā tantram na anya tantreṣu tṛptimān 
MBRudraYamalaHK-20	sarvavedāntavedeṣu kathitavyaṃ tataḥ param |	sarva vedānta vedeṣu kathitavyam tatas param 
MBRudraYamalaHK-21	tadā te bhaktavargāṇāṃ siddhiḥ sañcarate dhruvam || 1-5 ||	tadā te bhakta vargāṇām siddhiḥ sañcarate dhruvam 
MBRudraYamalaHK-22	yadi bhakte dayā bhadre ! vada tripurasundari	yadi bhakte dayā bhadre vada tripurasundari 
MBRudraYamalaHK-23	mahābhairavavākyañca paṅkajāyatalocanā || 1-6 ||	mahā bhairava vākyam ca paṅkaja āyata locanā 
MBRudraYamalaHK-24	śrutvovāca mahākālī kathayāmāsa bhairavam |	śrutvā uvāca mahākālī kathayāmāsa bhairavam 
MBRudraYamalaHK-25	bhairavī uvāca	bhairavī uvāca 
MBRudraYamalaHK-26	śambho mahātmadarpaghna kāmahīna kulākula || 1-7 ||	śambho mahātma darpa ghna kāma hīna kula ākula 
MBRudraYamalaHK-27	candramaṇḍalaśīrṣākṣa hālāhalaniṣevaka |	             
MBRudraYamalaHK-28	advitīyāghoramūrtte raktavarṇaśikhojjvala || 1-8 ||	advitīya aghora mūrtte rakta varṇa śikhā ujjvala 
