segmentnr	original	analyzed
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00232	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-2	Uniform title: kriyāsāratattvaprakāśinīvyākhyā	uniform title kriyāsāratattvaprakāśinī vyākhyā 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-3	Commentator : nārāyaṇa	commentatoḥ nārāyaṇa 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-4	Manuscript : IFP/EFEO transcript T00934	manuscript 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-5	Notes: Data entered by the staff of Muktabodha under the direction of Mark S. G. dyczkowski.	notes data entered by the staff muktabodha under the direction of mark s g dyczkowski 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-6	Revision 0: Sept. 18, 2011	revision 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-7	Publication country : India	publication country india 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-8	ṭ.ṇo. 934	ṭ ṇaḥ 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-9	kriyāsāratattvaprakāśinīvyākhyā	          
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-10	copied from a manuscript belonging to ṇārāyaṇankunju ṇambūdiripad	copied from a manuscript belonging to 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-11	Ernakulam	eḥ nakulam 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-12	śrīḥ nārāyaṇaviracitā (kriyāsāratatvaprakāśinīvyākhyā)	śrīḥ nārāyaṇa viracitā kriyā sāra tatva prakāśinī vyākhyā 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-13	|| kriyāsāraḥ ||	     
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-14	tṛtīyapaṭalādārabhyate	tṛtīya paṭalāt ārabhyate 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-15	hariḥ atha sthalaśuddhiprakāramāha - palāśa śāśvetyādi	                     
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-16	kuryāttālatrayamityantena palāśaśākhādarbhaiḥ	kuryāt tāla trayam iti antena palāśa śākhā darbhaiḥ 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-17	bhūmimaṇḍapavediṃ cakārā kuṇḍakṣetraṃ ca vāyunā saṃmṛjya	bhūmi maṇḍapa vedim cakāra kuṇḍa kṣetram ca vāyunā saṃmṛjya 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-18	gāyatryā samālipya astreṇa sarṣapān vikiret atha pūrvavat	gāyatryā samālipya astreṇa sarṣapān vikiret atha pūrvavat 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-19	sammṛjya liṃpet punarmaṇḍapaṃ śaktirūpaṃ dhyātvā tena gatyena	sammṛjya liṃpet punar maṇḍapam śakti rūpam dhyātvā tena gatyena 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-20	astreṇa prokṣya mūlato vikirāṃśca vikiret iti vyavahitena	astreṇa prokṣya mūlataḥ vikirān ca vikiret iti vyavahitena 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-21	saṃbandhaḥ mūlena vikirān japtvā gavyantu sādayediti madhye	saṃbandhaḥ mūlena vikirān japtvā gavyantu sādayet iti madhye 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-22	vākyaṃ pūrvakāryasaṃbhāra saṃbharaṇasmaraṇārthaṃ | āpaḥ	vākyam pūrva kārya saṃbhāra saṃbharaṇa smaraṇa artham āpaḥ 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-23	punantviti sarvatra saṃprokṣya iṣetveti darbhān kusumān	punantu iti sarvatra saṃprokṣya iṣā itvā iti darbhān kusumān 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-24	akṣatāṃśca vikīrya atha madhye mūlena dikṣu	akṣatān ca vikīrya atha madhye mūlena dikṣu 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-25	nāmabhirlokeśāṃśca gandhādyaiḥ pūjayet atha	nāmabhiḥ lokeśān ca gandha ādyaiḥ pūjayet atha 
MBkriyaasaaratattvaprakaasiniivyaakhyaaHK-26	kṣudravidrāvaṇārthaṃ dhūpadīpau vinyasya tālatrayādikaṃ ca	kṣudra vidrāvaṇa artham dhūpa dīpau vinyasya tāla traya ādikam ca 
