segmentnr	original	analyzed
MBksurikopanisatHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBksurikopanisatHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00108	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBksurikopanisatHK-2	Uniform title: kṣurikopaniṣat	uniform title kṣurikā upaniṣad 
MBksurikopanisatHK-3	Main title: yoga upaniṣads with the commentary of śrī upaniṣad brahmayogin	main title yoga upaniṣads with the commentary of śrī upaniṣad brahmayogin 
MBksurikopanisatHK-4	Secondary title: kṣurika upaniṣat	secondary title kṣurika upaniṣad 
MBksurikopanisatHK-5	Commentator : brahmayogin	commentatoḥ brahmayogin 
MBksurikopanisatHK-6	Alternate name : śrī upaniṣad brahmayogin	alternate name śrī upaniṣad brahmayogin 
MBksurikopanisatHK-7	Editor : śāstrī mahādeva	e t itoḥ śāstrī mahādeva 
MBksurikopanisatHK-8	Notes: Transcribed by the staff of Muktabodha under the supervision of Mark S. G. Dyczkowski.	notes transcribed by the staff muktabodha under the supervision of mark s g dyczkowski 
MBksurikopanisatHK-9	Revision 0: June 14, 2007	revision june 
MBksurikopanisatHK-10	Publisher : Adyar library and research centre	publisher adyar library and research centre 
MBksurikopanisatHK-11	Publication year : 1920	publication year 
MBksurikopanisatHK-12	Publication city : Madras	publication citi madras 
MBksurikopanisatHK-13	Publication country : India	publication country india 
MBksurikopanisatHK-14	kṣurikopaniṣat	kṣurikā upaniṣad 
MBksurikopanisatHK-15	saha nāvavatu- iti śāntiḥ	saha nau avatu iti śāntiḥ 
MBksurikopanisatHK-16	yogādhikāraḥ	yoga adhikāraḥ 
MBksurikopanisatHK-17	kṣurikāṃ saṃpravakṣyāmi dhāraṇāṃ yogasiddhaye |	kṣurikām saṃpravakṣyāmi dhāraṇām yoga siddhaye 
MBksurikopanisatHK-18	yāṃ prāpya na punarjanma yogayuktasya jāyate || 1 ||	yām prāpya na punarjanma yoga yuktasya jāyate  /
MBksurikopanisatHK-19	vedatattvārthavihitaṃ yathoktaṃ hi svayaṃbhuvā |	veda tattva artha vihitam yathā uktam hi svayaṃbhuvā 
MBksurikopanisatHK-20	vivaraṇam	vivaraṇam 
MBksurikopanisatHK-21	kaivalyanāḍikāntasthaparābhūmivarāsanam |	             
MBksurikopanisatHK-22	kṣurikopaniṣadyogabhāsuraṃ rāmamāśraye ||	kṣurikā upaniṣad yoga bhāsuram rāmam āśraye 
MBksurikopanisatHK-23	iha khalu kṛṣṇayajurvedāntargateyaṃ kṣurikopaniṣat jñānapratibandhakanirasanayogaśāstrarūpiṇī pravṛttā | tasyāḥ upoddhātādi kaṭhavallīvadūhyam | uktalakṣaṇalakṣitāyāḥ asyāḥ svalpagranthato vivaraṇamārabhyate | śrutireva yathoktādhikāriṇa uddiśya svacchandaṃ pravṛtteti yat tadvidyāstutyartham | keyaṃ śrutirityata āha- kṣurikāmiti | ye yathoktayogasādhanasaṃpannāḥ tān prati svājñānahṛdayagranthicchedanapaṭvīṃ kṣurikāmiva śastrarūpāṃ dhāraṇāṃ brahmātiriktaṃ na kiṃcidastīti bhāvanālakṣaṇāṃ samyak pravakṣyāmi | kimartham ? brahmamātrānusaṃdhānaṃ	iha khalu kṛṣṇayajurveda antargatā iyam kṣurikā upaniṣad jñāna pratibandhaka nirasana yoga śāstra rūpiṇī pravṛttā tasyāḥ upoddhāta ādi kaṭha vallī vat ūhyam ukta lakṣaṇa lakṣitāyāḥ asyāḥ su alpa granthataḥ vivaraṇam ārabhyate śrutiḥ eva yathā ukta adhikāriṇaḥ uddiśya svacchandam pravṛttā iti yat tad vidyā stuti artham kā iyam śrutiḥ iti atas āha kṣurikām iti ye yathā ukta yoga sādhana saṃpannāḥ tān prati sva ajñāna hṛdaya g
