segmentnr	original	analyzed
MBsaadhanamaalaa-IIHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBsaadhanamaalaa-IIHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00343	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBsaadhanamaalaa-IIHK-2	Uniform title: sādhanamālā Vol. 2	uniform title sādhanamālā 
MBsaadhanamaalaa-IIHK-3	Author : benoytosh bhattacharya	authoḥ benoytoḥ bhattacharya 
MBsaadhanamaalaa-IIHK-4	Description: This text is a collection of sādhanas, that is, procedures for the worship of  Buddhist Tantric deities especially those of the Anuttarayoga Tantras. A description of the deity, its form and colour, vehicle etc  along with its related visualization is supplied in each sādhana together with that deitys Mantra and its applications in worship and yogic practice. They are composed by a large range of Buddhist teachers many of eminence. The earliest is the Siddha Saraha who is dated to around 630 CE. Along with him are a number of other great Buddhist Siddhas, such as Nāgārjuna, Kukkuripa, Indrabhūti, Kṛṣṇapāda, śabara and others who belonged to the 7th and 8th century. The last contributors belong to the 12th century which gives us a lower limit for the date of the collection.	description this text is a collection of sādhanas that is procedures for the worship of buddhist tantric deities especially those of the anuttara yoga tantras a description of the deity its form and colour vehicle etc along with its related visualization is supplied in each sādhana together with that deitys mantra and its applacations in worship and yogic practice they are composed by a large range of buddhist teachers many of eminence the earliest is the siddha saraha who is dated to around ce along com
MBsaadhanamaalaa-IIHK-5	Notes: Data entered by the staff of Muktabodha under the direction of Mark S. T. Dyczkowski.	notes data entered by the staff muktabodha under the direction of mark s t dyczkowski 
MBsaadhanamaalaa-IIHK-6	Revision 0: February 21, 2015	revision february 
MBsaadhanamaalaa-IIHK-7	Publisher : Baroda Oriental Institute	publisher baroda oriental iostitute 
MBsaadhanamaalaa-IIHK-8	Publication year : 1925	publication year 
MBsaadhanamaalaa-IIHK-9	Publication city : Baroda	publication citi baroda 
