segmentnr	original	analyzed
MBsamnyaasaupanisadHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBsamnyaasaupanisadHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00334	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBsamnyaasaupanisadHK-2	Uniform title: saṃnyāsa upaniṣads	uniform title saṃnyāsa upaniṣads 
MBsamnyaasaupanisadHK-3	Main title: The saṃnyāsa upaniṣads with the commentary of śrī upaniṣad brahmayogin	main title the saṃnyāsa upaniṣads with the commentary of śrī upaniṣad brahmayogin 
MBsamnyaasaupanisadHK-4	Commentator : upaniṣad brahmayogin	upaniṣad brahmayogin 
MBsamnyaasaupanisadHK-5	Notes: Data entered by the staff of Muktabodha under the direction of Mark  S. G. Dyczkowski.	notes data entered by the staff muktabodha under the direction of mark 
MBsamnyaasaupanisadHK-6	Revision 0: Dec. 15, 2015	revision dec 
MBsamnyaasaupanisadHK-7	Publisher : The Adyar Library and Research Centre	publisher the adyar library and research centre 
MBsamnyaasaupanisadHK-8	Publication year : 1929	publication year 
MBsamnyaasaupanisadHK-9	Publication city : Adyar	publication citi adyar 
MBsamnyaasaupanisadHK-10	Publication country : India	publication country india 
MBsamnyaasaupanisadHK-11	p. 1)	p 
MBsamnyaasaupanisadHK-12	avadhūtopaniṣat	avadhūtā upaniṣad 
MBsamnyaasaupanisadHK-13	saha nāvavatu - iti śāntiḥ	saha nau avatu iti śāntiḥ 
MBsamnyaasaupanisadHK-14	avadhūtajijñāsā	avadhūta jijñāsā 
