segmentnr	original	analyzed
MBsiddhantarthasamuccayaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBsiddhantarthasamuccayaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00328	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBsiddhantarthasamuccayaHK-2	Uniform title: siddhāntārthasamuccaya	uniform title siddhānta artha samuccaya 
MBsiddhantarthasamuccayaHK-3	Manuscript : IFP/EFEO transcript T00206	manuscript 
MBsiddhantarthasamuccayaHK-4	Description: IFP/EFEO transcript T00206	description ifpefeo transcript 
MBsiddhantarthasamuccayaHK-5	Notes: Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.	notes data entered by the staff muktabodha under the direction of mark s g dyczkowski 
MBsiddhantarthasamuccayaHK-6	Revision 0: January 29, 2015	revision january 
MBsiddhantarthasamuccayaHK-7	Publication country : India	publication country india 
MBsiddhantarthasamuccayaHK-8	siddhāntārthasamuccayaḥ	        
MBsiddhantarthasamuccayaHK-9	p. 57)	p 
MBsiddhantarthasamuccayaHK-10	śrīmatpadmarasārādhyapadābhyāṃ namaḥ |	śrīmat padmarasa ārādhya padābhyām namaḥ 
MBsiddhantarthasamuccayaHK-11	siddhāntārthasamuccayaḥ |	         
MBsiddhantarthasamuccayaHK-12	yenānādi malādi pāśa nivarddhvaṃsāyabaddhātmanāṃ	yena anādi mala ādi 
MBsiddhantarthasamuccayaHK-13	sarvajñena sadoditena kṛpayā jñānaṃ samāviṣkṛtam |	sarvajñena sadā uditena kṛpayā jñānam samāviṣkṛtam 
MBsiddhantarthasamuccayaHK-14	natvā taṃ paramaṃ śivaṃ paragurun sarvān guruṃścāparān	natvā tam paramam śivam para gurun sarvān gurun ca aparān 
MBsiddhantarthasamuccayaHK-15	siddhāntārthasamuccayo gurumukhātprāptaḥ sphuṭaṃ likhyate ||	siddhānta artha samuccayaḥ guru mukhāt prāptaḥ sphuṭam likhyate 
MBsiddhantarthasamuccayaHK-16	pramāṇaścanā tatra kriyate bahudhā yataḥ |	tatra kriyate bahudhā yatas 
MBsiddhantarthasamuccayaHK-17	sarveṣu śivaśāstreṣu vyākhyāneṣu ca dṛśyate ||	sarveṣu śiva śāstreṣu vyākhyāneṣu ca dṛśyate 
MBsiddhantarthasamuccayaHK-18	tasmādāgamayuktibhyāṃ yathā yo'rtho guruttamaiḥ |	tasmāt āgama yuktibhyām yathā yaḥ ṛthaḥ guru ttamaiḥ 
MBsiddhantarthasamuccayaHK-19	nirṇītaḥ sa tathāsmābhiḥ saṃkṣepeṇa pradaśyate ||	nirṇītaḥ sa tathā asmābhiḥ saṃkṣepeṇa pradaśyate 
MBsiddhantarthasamuccayaHK-20	tatra tāvat pārameśvaraṃ jñānaṃ dvirūpamavabodharūpaṃ śabdarūpaṃ ca |	tatra tāvat pārameśvaram jñānam dvirūpam avabodha rūpam śabda rūpam ca 
MBsiddhantarthasamuccayaHK-21	tatrāvabodharūpamamalamanādinidhanaṃ sarvārthaprakāśakaṃ sarvānugrāhakaṃ	tatra avabodha rūpam amalam anādinidhanam sarva artha prakāśakam sarva anugrāhakam 
MBsiddhantarthasamuccayaHK-22	śivajñānātmakaṃ ca | śabdarūpaṃ tu śāstrātmakameva | avabodharūpaṃ punaḥ	śiva jñāna ātmakam ca śabda rūpam tu śāstra ātmakam eva avabodha rūpam punar 
MBsiddhantarthasamuccayaHK-23	śabdarūpārūḍhaṃ paramakāruṇikaḥ parameśvaraḥ pratisargaṃ sṛṣṭikāle	śabda rūpa ārūḍham parama kāruṇikaḥ parameśvaraḥ pratisargam sṛṣṭi kāle 
MBsiddhantarthasamuccayaHK-24	sarvānujighṛkṣayā guruparamparayā yogyeṣu pravartayati | yaduktaṃ	sarva anujighṛkṣayā guru paramparayā yogyeṣu pravartayati yat uktam 
MBsiddhantarthasamuccayaHK-25	śrimatsvāyambhuve -	śrimat svāyambhuve 
MBsiddhantarthasamuccayaHK-26	athātmamalamāyākhya karmabandhavimuktaye |	atha ātma mala māyā ākhya karma bandha vimuktaye 
MBsiddhantarthasamuccayaHK-27	vyaktaye ca śivatvasya śivājjñānaṃ pravartate ||	vyaktaye ca śiva tvasya śivāt jñānam pravartate 
MBsiddhantarthasamuccayaHK-28	mokṣakārikāsu ca -	mokṣa kārikāsu ca 
MBsiddhantarthasamuccayaHK-29	anādikālasaṃsiddhaṃ tadguṇatve'pi śaṃkare |	anādi kāla saṃsiddham tad guṇa tve pi śaṃkare 
MBsiddhantarthasamuccayaHK-30	p. 58)	p 
MBsiddhantarthasamuccayaHK-31	tacca samyak paricchedi śāṃkaraṃ jñānamīritam iti ||	tat ca samyak paricchedi śāṃkaram jñānam īritam iti 
