segmentnr	original	analyzed
MBtantrabhidanaHK-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
MBtantrabhidanaHK-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00366	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
MBtantrabhidanaHK-2	Uniform title: tantrābhidhāna	uniform title 
MBtantrabhidanaHK-3	Editor : pañcānana bhaṭṭacārya tarkasāṃkhyavedāntatīrtha	pañcānana bhaṭṭa cārya tarka sāṃkhya vedānta tīrtha 
MBtantrabhidanaHK-4	Description: Volume 1 of Tantrik Text Series by Arthur Avalon (John Woodroffe)	description volume of tantrik text series by arthur avalon john woodroffe 
MBtantrabhidanaHK-5	tantrābhidhāna with bIjaGghaNTu, bIjAbhidhAna, mantrArthAbhidhAna, varNabiijakoza and mudrAnighaNTu>	tantra abhidhāna and 
MBtantrabhidanaHK-6	Notes: Data-entered by the staff of Muktabodha under the supervision of Mark S. G. Dyczkowski.	notes data entered by the staff muktabodha under the supervision of mark s g dyczkowski 
MBtantrabhidanaHK-7	Revision 0: Oct. 2, 2016	revision oct 
MBtantrabhidanaHK-8	Publisher : Luzac and Co.	publisher luzac and co 
MBtantrabhidanaHK-9	Publication year : 1913	publication year 
MBtantrabhidanaHK-10	Publication city : London	publication citi london 
MBtantrabhidanaHK-11	Publication country : India	publication country india 
MBtantrabhidanaHK-12	sūcīpatram	sūcī patram 
MBtantrabhidanaHK-13	"śabdaḥ 	arthaḥ		pṛṣṭhe	paṃktau"	śabdaḥ arthaḥ pṛṣṭhe paṃktau 
MBtantrabhidanaHK-14	aṃśaḥ - ra|19|17	aṃśaḥ 
MBtantrabhidanaHK-15	aṃśukaḥ - ṅa|12|13	aṃśukaḥ 
MBtantrabhidanaHK-16	aṃśumā - ai|9|13	aṃśumān 
MBtantrabhidanaHK-17	ai|48|8	Ro
MBtantrabhidanaHK-18	akalpakaḥ - jha|49|13	akalpakaḥ 
MBtantrabhidanaHK-19	(akalpataḥ - jha|49|13)	a kalpataḥ 
MBtantrabhidanaHK-20	akrūraḥ - ṃ|2|8	akrūraḥ 
MBtantrabhidanaHK-21	akṣaraṃ - oṃ|5|8	akṣaram 
MBtantrabhidanaHK-22	pha|25|15	Ro
MBtantrabhidanaHK-23	akṣaraḥ - pha|17|19	akṣaraḥ 
MBtantrabhidanaHK-24	sa|21|10	Ro
MBtantrabhidanaHK-25	akṣayaḥ - kṣa|45|14	akṣayaḥ 
MBtantrabhidanaHK-26	akṣāgrajaḥ - ṛ|47|20	akṣa agra jaḥ 
MBtantrabhidanaHK-27	agniḥ - i|40|3	agniḥ 
MBtantrabhidanaHK-28	i|53|10	Ro
MBtantrabhidanaHK-29	i|60|6	Ro
MBtantrabhidanaHK-30	e|48|5	Ro
MBtantrabhidanaHK-31	ai|9|10	Ro
MBtantrabhidanaHK-32	ra|3|14	Ro
MBtantrabhidanaHK-33	agniḥ - ṣa|51|16	agniḥ 
MBtantrabhidanaHK-34	agnirudraḥ - ka|48|17	agni rudraḥ 
MBtantrabhidanaHK-35	aghaḥ - gha|42|22	aghaḥ 
MBtantrabhidanaHK-36	aṅkāraḥ - ṃ|36|14	aṅkāraḥ 
MBtantrabhidanaHK-37	aṅkuśaṃ - kroṃ|62|12	aṅkuśam 
MBtantrabhidanaHK-38	ra|3|14	Ro
MBtantrabhidanaHK-39	aṅkuśaḥ - ña|37|15	aṅkuśaḥ 
MBtantrabhidanaHK-40	aṅkuśī - ña|2|19	aṅkuśī 
MBtantrabhidanaHK-41	aṅgāntaḥ - phaṭ |23|18	aṅga antaḥ phaṭ 
MBtantrabhidanaHK-42	aṅganam - ha|21|16	aṅganam 
MBtantrabhidanaHK-43	(aṅgulaḥ - ha|21|20)	aṅgulaḥ 
MBtantrabhidanaHK-44	aṅgulamūlaṃ - ḍha|38|2	aṅgula mūlam 
MBtantrabhidanaHK-45	aṅgulīmadhyaparvakaḥ - jha|13|19	aṅgulī madhya parvakaḥ 
