segmentnr	original	analyzed
SA_GK16_dkavy2pu-0	Pariccheda 2	pariccheda 
SA_GK16_dkavy2pu-1	kāvyaśobhākarān dharmān alaṃkārān pracakṣate /	kāvya śobhā karān dharmān alaṃkārān pracakṣate 
SA_GK16_dkavy2pu-2	te cādyāpi vikalpyante kas tān kārtsnyena vakṣyati // 2.1 //	te ca adya api vikalpyante kaḥ tān kārtsnyena vakṣyati 
SA_GK16_dkavy2pu-3	kiṃtu bījaṃ vikalpānāṃ pūrvācāryaiḥ pradarsitam /	kiṃtu bījam vikalpānām pūrva ācāryaiḥ pradarsitam 
SA_GK16_dkavy2pu-4	tad eva pratisaṃskartum ayam asmatpariśramaḥ // 2.2 //	tat eva pratisaṃskartum ayam asmad pariśramaḥ 
SA_GK16_dkavy2pu-5	kāścin mārgavibhāgārtham uktāḥ prāg apy alaṃkriyāḥ /	kāścid mārga vibhāga artham uktāḥ prāk api alaṃkriyāḥ 
SA_GK16_dkavy2pu-6	sādhāraṇam alaṃkāra- jātam anyat pradarśyate // 2.3 //	sādhāraṇam alaṃkāra jātam anyat pradarśyate 
SA_GK16_dkavy2pu-7	svabhāvākhyānam upamā rūpakaṃ dīpakāvṛttiḥ /	svabhāva ākhyānam upamā rūpakam dīpaka āvṛttiḥ 
SA_GK16_dkavy2pu-8	ākṣepo 'rthāntaranyāso vyatireko vibhāvanā // 2.4 //	ākṣepaḥ rthāntaranyāsaḥ vyatirekaḥ vibhāvanā 
SA_GK16_dkavy2pu-9	samāsātiśayotprekṣā hetuḥ sūkṣmo lavaḥ kramaḥ /	          
SA_GK16_dkavy2pu-10	preyo rasavad ūrjasvi paryāyoktaṃ samāhitam // 2.5 //	preyaḥ rasavat ūrjasvi paryāya uktam samāhitam 
SA_GK16_dkavy2pu-11	udāttāpahnutiśleṣa- viśeṣās tulyayogitā /	udātta apahnuti śleṣa viśeṣāḥ tulya yogi tā 
SA_GK16_dkavy2pu-12	virodhāprastutastotre vyājastutinidarśane // 2.6 //	virodha aprastuta stotre vyāja stuti nidarśane 
SA_GK16_dkavy2pu-13	sahoktiḥ parivṛttyāśiḥ- saṃkīrṇam atha bhāvikam /	sahoktiḥ parivṛtti āśiḥ saṃkīrṇam atha bhāvikam 
SA_GK16_dkavy2pu-14	iti vācām alaṃkārā darśitāḥ pūrvasūribhiḥ // 2.7 //	iti vācām alaṃkārāḥ darśitāḥ pūrva sūribhiḥ 
SA_GK16_dkavy2pu-15	[svabhāvokti (= svabhāvākhyāna = jāti)]	svabhāva ukti svabhāva ākhyāna jāti 
SA_GK16_dkavy2pu-16	nānāvasthaṃ padārthānāṃ rūpaṃ sākṣād vivṛṇvatī /	nānā avastham padārthānām rūpam sākṣāt vivṛṇvatī 
SA_GK16_dkavy2pu-17	svabhāvoktiś ca jātiś cety ādyā sālaṃkṛtir yathā // 2.8 //	svabhāva uktiḥ ca jātiḥ ca iti ādyā sa alaṃkṛtiḥ yathā 
SA_GK16_dkavy2pu-18	[svabhāvokti: jāti]	svabhāva ukti 
SA_GK16_dkavy2pu-19	tuṇḍair ātāmrakuṭilaiḥ pakṣair haritakomalaiḥ /	tuṇḍaiḥ ātāmra kuṭilaiḥ pakṣaiḥ harita komalaiḥ 
SA_GK16_dkavy2pu-20	trivarṇarājibhiḥ kaṇṭhair ete mañjugiraḥ śukāḥ // 2.9 //	tri varṇa rājibhiḥ kaṇṭhaiḥ ete mañju giraḥ śukāḥ 
SA_GK16_dkavy2pu-21	[- svabhāvokti: kriyā]	     
SA_GK16_dkavy2pu-22	kalakvaṇitagarbheṇa kaṇṭhenāghūrṇitekṣaṇaḥ /	kala kvaṇita garbheṇa kaṇṭhena āghūrṇita īkṣaṇaḥ 
SA_GK16_dkavy2pu-23	pārāvataḥ paribhramya riraṃsuś cumbati priyām // 2.10 //	pārāvataḥ paribhramya riraṃsuḥ cumbati priyām 
SA_GK16_dkavy2pu-24	[- svabhāvokti: guṇa]	svabhāva ukti guṇa 
SA_GK16_dkavy2pu-25	badhnann aṅgeṣu romāñcam kurvan manasi nirvṛtim /	badhnan aṅgeṣu romāñcam kurvan manasi nirvṛtim 
