segmentnr	original	analyzed
SA_GK16_simhrsku-0	rasārṇava-sudhākaraḥ	         
SA_GK16_simhrsku-1	The Rasārṇava-sudhākara of Siṃhabhūpāla. Critically edited with introduction and notes by T. Venkatacharya. Madras:	the rasārṇava sudhākara of siṃhabhūpāla critically edited with introduction and notes by t venkatacharya madras 
SA_GK16_simhrsku-2	Adyar Library and Research Centre, 1979.	adyar library and research centre 
SA_GK16_simhrsku-3	śrī-siṃha-bhūpāla-viracito	śrī siṃha bhūpāla viracitaḥ 
SA_GK16_simhrsku-4	rasārṇava-sudhākaraḥ (1)	         
SA_GK16_simhrsku-5	prathamo vilāsaḥ	prathamaḥ vilāsaḥ 
SA_GK16_simhrsku-6	rañjakollāsaḥ	       
SA_GK16_simhrsku-7	śṛṅgāra-vīra-sauhārdaṃ maugdhya-vaiyātya-saurabham /	śṛṅgāra vīra sauhārdam maugdhya vaiyātya saurabham 
SA_GK16_simhrsku-8	lāsya-tāṇḍava-saujanyaṃ dāmpatyaṃ tad bhajāmahe //SRs_1.1//	lāsya tāṇḍava saujanyam dāmpatyam tat bhajāmahe 
SA_GK16_simhrsku-9	vīṇāṅkita-karāṃ vande vānīm eṇīdṛśaṃ sadā /	vīṇā aṅkita karām vande vānīm eṇī dṛśam sadā 
SA_GK16_simhrsku-10	sadānanda-mayīṃ devīṃ sarojāsana-vallabhām //SRs_1.2//	            
SA_GK16_simhrsku-11	asti kiñcit paraṃ vastu paramānanda-kandalam /	asti kiñcid param vastu parama ānanda kandalam 
SA_GK16_simhrsku-12	kamalākuca-kāṭhinya-kutūhali-bhujāntaram //SRs_1.3//	kamalā kuca kāṭhinya kutūhali bhuja antaram 
SA_GK16_simhrsku-13	tasya pādāmbujāj jāto varṇo vigata-kalmaṣaḥ /	tasya pāda ambujāt jātaḥ varṇaḥ vigata kalmaṣaḥ 
SA_GK16_simhrsku-14	yasya sodaratāṃ prāptaṃ bhagīratha-tapaḥ-phalam //SRs_1.4//	yasya sodara tām prāptam bhagīratha tapaḥ phalam 
SA_GK16_simhrsku-15	tatra recarlavaṃśābdhi-śarad-rākā-sudhākaraḥ /	tatra reca ṛla vaṃśa abdhi śarad rākā sudhākaraḥ 
SA_GK16_simhrsku-16	kalā-nidhir udāra-śrīr āsīd dācaya-nāyakaḥ //SRs_1.5//	kalā nidhiḥ udāra śrīḥ āsīt dācaya nāyakaḥ 
SA_GK16_simhrsku-17	yasyāsi-dhārā-mārgeṇa durgeṇāpi raṇāṅgaṇe /	yasya asi dhārā mārgeṇa durgeṇa api raṇa aṅgaṇe 
SA_GK16_simhrsku-18	pāṇḍya-rāja-gajānīkāj jaya-lakṣmīr upāgatā //SRs_1.6//	pāṇḍya rāja gaja anīkāt jaya lakṣmīḥ upāgatā 
SA_GK16_simhrsku-19	aṅga-nārāyaṇe yasmin bhavati śrīr atisthirā /	aṅga nārāyaṇe yasmin bhavati śrīḥ ati sthirā 
SA_GK16_simhrsku-20	bhūr abhūt kariṇī vaśyā duṣṭa-rāja-gajāṅkuśe //SRs_1.7//	bhūḥ abhūt kariṇī vaśyā duṣṭa rāja gaja aṅkuśe 
SA_GK16_simhrsku-21	tasya bhāryā mahābhāgyā viṣṇoḥ śrīr iva viśrutā /	tasya bhāryā mahābhāgyā viṣṇoḥ śrīḥ iva viśrutā 
SA_GK16_simhrsku-22	pocamāmbā guṇodārā jātā tāmarasānvayāt //SRs_1.8//	pocamāmbā guṇa udārā jātā tāmarasa anvayāt 
SA_GK16_simhrsku-23	tayor abhūvan kṣiti-kalpa-vṛkṣāḥ	tayoḥ abhūvan kṣiti kalpavṛkṣāḥ 
SA_GK16_simhrsku-24	putrās trayas trāsita-vairi-vīrāḥ /	putrāḥ trayaḥ trāsita vairi vīrāḥ 
SA_GK16_simhrsku-25	siṃha-prabhur vennamanāyakaś ca	          
SA_GK16_simhrsku-26	vīrāgraṇī reca-mahī-patiś ca //SRs_1.9//	vīra agraṇī reca mahīpatiḥ ca 
SA_GK16_simhrsku-27	kalāv eka-pado dharmo yair ebhiś caraṇair iva /	kalau eka padaḥ dharmaḥ yaiḥ ebhiḥ caraṇaiḥ iva 
SA_GK16_simhrsku-28	sampūrṇa-padatāṃ prāpya nākāṅkṣati kṛtaṃ yugam //SRs_1.10//	sampūrṇa pada tām prāpya na ākāṅkṣati kṛtam yugam 
SA_GK16_simhrsku-29	tatra siṃha-mahīpāle pālayaty akhilāṃ mahīm /	tatra siṃha mahīpāle pālayati akhilām mahīm 
SA_GK16_simhrsku-30	namatām unnatiś citraṃ rājñām anamatāṃ natiḥ //SRs_1.11//	namatām unnatiḥ citram rājñām a namatām natiḥ 
SA_GK16_simhrsku-31	kṛṣṇaileśvara-saṃnidhau kṛta-mahā-sambhāra-meleśvare	kṛṣṇaileśvara saṃnidhau kṛta mahā sambhāram eleśvare 
SA_GK16_simhrsku-32	vītāpāyam anekaśo vidadhatā brahma-pratiṣṭhāpanam /	vīta apāyam anekaśas vidadhatā brahma pratiṣṭhāpanam 
SA_GK16_simhrsku-33	ānṛṇya samapādi yena vibhunā tat-tad-guṇair ātmano	ānṛṇya samapādi yena vibhunā tad tad guṇaiḥ 
SA_GK16_simhrsku-34	nirmāṇātiśaya-prayāsa-garima-vyāsaṅgini brahmaṇi //SRs_1.12//	nirmāṇa atiśaya prayāsa garima vyāsaṅgini brahmaṇi 
SA_GK16_simhrsku-35	kṛtānta-jihvākuṭilāṃ kṛpāṇīṃ	kṛtānta jihvā kuṭilām kṛpāṇīm 
SA_GK16_simhrsku-36	dṛṣṭvā yadīyāṃ trasatām arīṇām /	dṛṣṭvā yadīyām trasatām arīṇām 
SA_GK16_simhrsku-37	svedodayaś cetasi saṃcitānāṃ	sveda udayaḥ cetasi saṃcitānām 
SA_GK16_simhrsku-38	mānoṣmaṇām ātanute praśāntim //SRs_1.13//	māna ūṣmaṇām ātanute praśāntim 
SA_GK16_simhrsku-39	śrīmān reca-mahīpatiḥ sucarito yasyānujanmā sphuṭaṃ	śrīmān reca mahīpatiḥ su caritaḥ yasya anujanmā sphuṭam 
SA_GK16_simhrsku-40	prāpto vīra-guru-prathāṃ pṛthutarāṃ vīrasya mudrākarīm /	prāptaḥ vīra guru prathām pṛthutarām vīrasya mudrā karīm 
SA_GK16_simhrsku-41	labdhvā labdha-kaṭhāri-rāya-virudaṃ rāhuttarāyāṅkitaṃ	labdhvā labdha kaṭhāri rāya virudam rāhuttarāya aṅkitam 
SA_GK16_simhrsku-42	putraṃ nāgayanāyakaṃ vasumatī-vīraika-cūḍāmaṇim //SRs_1.14//	putram nāgaya nāyakam vasumatī vīra eka cūḍāmaṇim 
SA_GK16_simhrsku-43	so' yaṃ siṃha-mahīpālo vasudeva iti sphuṭam /	saḥ yam siṃha mahīpālaḥ vasudevaḥ iti sphuṭam 
SA_GK16_simhrsku-44	ananta-mādhavau yasya tanūjau loka-rakṣakau //SRs_1.15//	ananta mādhavau yasya tanūjau loka rakṣakau 
SA_GK16_simhrsku-45	tatrānujo mādhava-nāyakendro	tatra anujaḥ mādhava nāyaka indraḥ 
SA_GK16_simhrsku-46	dig-antarāla-prathita-pratāpaḥ /	            
SA_GK16_simhrsku-47	yasyābhavan vaṃśa-karā narendrās	yasya abhavan vaṃśa karāḥ narendrāḥ 
SA_GK16_simhrsku-48	tanūbhavā veda-girīndra-mukhyāḥ //SRs_1.16//	tanūbhavāḥ vedagiri indra mukhyāḥ 
SA_GK16_simhrsku-49	tasyāgrajanmā bhuvi rāja-doṣair	tasya agrajanmā bhuvi rāja doṣaiḥ 
SA_GK16_simhrsku-50	aprota-bhāvād anapota-saṃjñām /	a prota bhāvāt an apota saṃjñām 
SA_GK16_simhrsku-51	khyātāṃ dadhāti sma yathārtha-bhūtām	khyātām dadhāti sma yathārtha bhūtām 
SA_GK16_simhrsku-52	ananta-sajñāṃ ca mahīdharatvam //SRs_1.17//	ananta sajñām ca mahīdhara tvam 
SA_GK16_simhrsku-53	sodaryo balabhadra-mūrtir aniśaṃ devī priyā rukmiṇī	sodaryaḥ balabhadra mūrtiḥ aniśam devī priyā rukmiṇī 
SA_GK16_simhrsku-54	pradyumnas tanayo' p pautra-nivaho yasyāniruddhādayaḥ /	pradyumnaḥ pautra nivahaḥ yasya aniruddha ādayaḥ 
SA_GK16_simhrsku-55	so' yaṃ śrīpatir annapota-nṛpatiḥ kiṃ cānanāmbhoruhe	saḥ yam śrīpatiḥ anna pota nṛpatiḥ kim ca ānana ambhoruhe 
SA_GK16_simhrsku-56	dhatte cāru-sudarśana-śriyam asau satvātma-hastāmbuje //SRs_1.18//	dhatte cāru sudarśana śriyam asau satva ātma hasta ambuje 
SA_GK16_simhrsku-57	bahu-soma-sutaṃ kṛtvā bhūlokaṃ yatra rakṣati /	bahu soma sutam kṛtvā bhū lokam yatra rakṣati 
SA_GK16_simhrsku-58	eka-soma-sutaṃ rakṣan svarlokaṃ lajjate hariḥ //SRs_1.19//	ekasoma sutam rakṣan svar lokam lajjate hariḥ 
SA_GK16_simhrsku-59	somakula-paraśurāṃe	soma kula paraśu rāṃe 
SA_GK16_simhrsku-60	bhuja-bala-bhīme' rigāya-gobāle /	bhuja bala bhīme ri gāya go bāle 
SA_GK16_simhrsku-61	yatra ca jāgrati śāsati	yatra ca jāgrati śāsati 
SA_GK16_simhrsku-62	jagatāṃ jāgarti nitya-kalyāṇam //SRs_1.20//	jagatām jāgarti nitya kalyāṇam 
SA_GK16_simhrsku-63	hemādri-dānair dharaṇī-surāṇāṃ	hemādri dānaiḥ dharaṇī surāṇām 
SA_GK16_simhrsku-64	hemācalaṃ hasta-gataṃ vidhāya /	hemācalam hasta gatam vidhāya 
SA_GK16_simhrsku-65	yaś cāru-sopāna-pathena cakre	yaḥ cāru sopāna pathena cakre 
SA_GK16_simhrsku-66	śrī-parvataṃ sarva-janāṅghri-gamyam //SRs_1.21//	śrīparvatam sarva jana aṅghri gamyam 
SA_GK16_simhrsku-67	yo naikavīroddalano' py asaṅkhya-	yaḥ na eka vīra uddalanaḥ pi asaṅkhya 
SA_GK16_simhrsku-68	saṅkhyo' py abhagnātma-gati-kramo' pi /	saṅkhyaḥ pi a bhagna ātma gati kramaḥ pi 
SA_GK16_simhrsku-69	ajāti-sāṅkarya-bhavo' pi citraṃ	citram 
SA_GK16_simhrsku-70	dadhāti somānvaya-bhārgavāṅkam //SRs_1.22//	dadhāti soma anvaya bhārgava aṅkam 
SA_GK16_simhrsku-71	dhāvaṃ dhāvaṃ ripu-nṛpatayo yuddha-raṅgāpaviddhāḥ	dhāvam dhāvam ripu nṛpatayaḥ yuddha raṅga apaviddhāḥ 
SA_GK16_simhrsku-72	khaḍge khaḍge phalita-vapuṣaṃ yaṃ purastād vilokya /	khaḍge khaḍge phalita vapuṣam yam purastāt vilokya 
SA_GK16_simhrsku-73	pratyāvṛttā api tata ito vīkṣamāṇā yadīyaṃ	pratyāvṛttāḥ api tatas itas vīkṣamāṇā yadi iyam 
SA_GK16_simhrsku-74	saṃmanyante sphuṭam avitathaṃ khaḍga-nārāyaṇāṅkam //SRs_1.23//	saṃmanyante sphuṭam avitatham khaḍga nārāyaṇa aṅkam 
SA_GK16_simhrsku-75	annamāmbeti vikhyātā tasyāsīd dharaṇī-pateḥ /	annam āmbā iti vikhyātā tasya āsīt dharaṇīpateḥ 
SA_GK16_simhrsku-76	devī śivā śivasyeva rājamauler mahojjvalā //SRs_1.24//	devī śivā śivasya iva rājamauleḥ mahā ujjvalā 
SA_GK16_simhrsku-77	śatrughnaṃ śrutakīrtir yā subhadrā yaśasārjunam /	śatrughnam śruta kīrtiḥ yā subhadrā yaśasā arjunam 
SA_GK16_simhrsku-78	ānandayati bhartāraṃ śyāmā rājānam ujjvalam //SRs_1.25//	ānandayati bhartāram śyāmā rājānam ujjvalam 
SA_GK16_simhrsku-79	tayor abhūtāṃ putrau dvāv ādyo veda-girīśvaraḥ /	tayoḥ abhūtām putrau dvau ādyaḥ vedagiri īśvaraḥ 
SA_GK16_simhrsku-80	dvitīyas tv advitīyo' sau yaśasā siṃha-bhūpatiḥ //SRs_1.26//	dvitīyaḥ tu advitīyaḥ sau yaśasā siṃha bhūpatiḥ 
SA_GK16_simhrsku-81	atha śrī-siṃha-bhūpālo dīrghāyur vasudhām imām /	atha śrī siṃha bhūpālaḥ dīrgha āyuḥ vasudhām imām 
SA_GK16_simhrsku-82	nijāṃsa-pīṭhe nirvyājaṃ kurute supratiṣṭhitām //SRs_1.27//	nija aṃsapīṭhe nirvyājam kurute su pratiṣṭhitām 
SA_GK16_simhrsku-83	ahīnajyābandhaḥ kanaka-ruciraṃ kārmuka-varaṃ	ahīna jyā bandhaḥ kanaka ruciram kārmuka varam 
SA_GK16_simhrsku-84	bali-dhvaṃsī bāṇaḥ para-puram anekaṃ ca viṣayaḥ /	bali dhvaṃsī bāṇaḥ para puram anekam ca viṣayaḥ 
SA_GK16_simhrsku-85	iti prāyo lokottara-samara-saṃnāha-vidhinā	iti prāyas loka uttara samara saṃnāha vidhinā 
SA_GK16_simhrsku-86	maheśo' yaṃ siṃha-kṣitipa iti yaṃ jalpati janaḥ //SRs_1.28//	maheśaḥ yam siṃha kṣitipaḥ iti yam jalpati janaḥ 
SA_GK16_simhrsku-87	yatra ca raṇa-saṃnahini	yatra ca raṇa saṃnahini 
SA_GK16_simhrsku-88	tṛṇa-caraṇaṃ nija-purāc ca niḥsaraṇam /	tṛṇa caraṇam nija purāt ca niḥsaraṇam 
SA_GK16_simhrsku-89	vana-caraṇaṃ tac-caraṇaka-	vana caraṇam tad caraṇaka 
SA_GK16_simhrsku-90	paricaraṇaṃ vā virodhināṃ śaraṇam //SRs_1.29//	paricaraṇam vā virodhinām śaraṇam 
SA_GK16_simhrsku-91	satāṃ prītiṃ kurvan kuvalaya-vikāsaṃ viracayan	satām prītim kurvan kuvalaya vikāsam viracayan 
SA_GK16_simhrsku-92	kalāḥ kāntāḥ puṣṇan dadhad api ca jaivātṛka-kathām /	kalāḥ kāntāḥ puṣṇan dadhat api ca jaivātṛka kathām 
SA_GK16_simhrsku-93	nitāntaṃ yo rājā prakaṭayati mitrodayam aho	nitāntam yaḥ rājā prakaṭayati mitra udayam aho 
SA_GK16_simhrsku-94	tathā cakrānandān api ca kamalollāsa-suṣamām //SRs_1.30//	tathā cakra ānandān api ca kamala ullāsa suṣamām 
SA_GK16_simhrsku-95	tal-labdhāni ghanāghanair atitarāṃ vārāṃ pṛṣanty ambudhau	tad labdhāni ghanāghanaiḥ atitarām vārām pṛṣanti ambudhau 
SA_GK16_simhrsku-96	svātyām eva hi śuktikāsu dadhate muktāni muktātmatām /	svātyām eva hi śuktikāsu dadhate muktāni mukta ātma tām 
SA_GK16_simhrsku-97	yad dānodaka-vipruṣas tu sudhiyāṃ haste patantyo' bhavan	yat dāna udaka vipruṣaḥ tu sudhiyām haste patantyaḥ bhavan 
SA_GK16_simhrsku-98	māṇikyāni mahāmbarāṇi bahuśo dhāmāni hemāni ca //SRs_1.31//	māṇikyāni mahā ambarāṇi bahuśas dhāmāni hemāni ca 
SA_GK16_simhrsku-99	nayanam ayaṃ guṇam aguṇaṃ	nayanam ayam guṇam aguṇam 
SA_GK16_simhrsku-100	padam apadaṃ nijam avetya ripu-bhūpāḥ /	padam a padam nijam avetya ripu bhūpāḥ 
SA_GK16_simhrsku-101	yasya ca naya-guṇa-viduṣo	yasya ca naya guṇa viduṣaḥ 
SA_GK16_simhrsku-102	vinamanti padāravinda-pīṭhāntam //SRs_1.32//	vinamanti pada aravinda pīṭha antam 
SA_GK16_simhrsku-103	prāṇānāṃ parirakṣaṇāya bahuśo vṛttiṃ madīyāṃ gatās	prāṇānām parirakṣaṇāya bahuśas vṛttim madīyām gatāḥ 
SA_GK16_simhrsku-104	tvat-sāmanta-mahī-bhujaḥ karuṇayā te rakṣaṇīyā iti /	tvad sāmanta mahībhujaḥ karuṇayā te rakṣaṇīyāḥ iti 
SA_GK16_simhrsku-105	karṇe varṇayituṃ nitānta-suhṛdo karṇānta-viśrāntayor	karṇe varṇayitum karṇa anta viśrāntayoḥ 
