segmentnr	original	analyzed
SA_GK19_anvallcu-0	oṃ namo vighnavināyakāya /	om namaḥ vighna vināyakāya 
SA_GK19_anvallcu-1	praṇamāmi jagatsṛṣṭisthitisaṃhārakāraṇam /	praṇamāmi jagat sṛṣṭi sthiti saṃhāra kāraṇam 
SA_GK19_anvallcu-2	viśveśvaraṃ viśvadharaṃ viśvaṃ ca viśvahetukam // Valc_1.1 //	viśveśvaram viśva dharam viśvam ca viśva hetukam 
SA_GK19_anvallcu-3	jagadvījaṃ satyarūpaṃ sarvasākṣiṇamavyayam /	jagat vījam satya rūpam sarva sākṣiṇam avyayam 
SA_GK19_anvallcu-4	sarvvajñaṃ sarvabhūtasthaṃ sarvaśaktidharaṃ vibhum // Valc_1.2 //	sarvvajñam sarva bhūta stham sarva śakti dharam vibhum 
SA_GK19_anvallcu-5	brāhmaṇebhyo namaskṛtya navadvīpanṛpājñayā /	brāhmaṇebhyaḥ namaskṛtya navadvīpa nṛpa ājñayā 
SA_GK19_anvallcu-6	brāhmaṇānāṃ samutpattitadbhedādisamanvitam /	brāhmaṇānām samutpatti tad bheda ādi samanvitam 
SA_GK19_anvallcu-7	rāḍhīyānāṃ varendrāṇāṃ gotragāñīsamanvitam /	rāḍhīyānām vara indrāṇām gotra gāñī samanvitam 
SA_GK19_anvallcu-8	vallālacaritākhyaṃ tadrājacaritamucyate // Valc_1.3 //	vallālacarita ākhyam tat rājacaritam ucyate 
SA_GK19_anvallcu-9	sisṛkṣorbrahmaṇo jātaḥ pulaho vāmakarṇataḥ /	sisṛkṣoḥ brahmaṇaḥ jātaḥ pulahaḥ vāma karṇataḥ 
SA_GK19_anvallcu-10	aṅgirā nāsikārandhradajāyata mukhādruciḥ // Valc_1.4 //	aṅgirāḥ nāsikā randhra dajāyata mukhāt ruciḥ 
SA_GK19_anvallcu-11	marīciḥ skandhadeśācca pracetā adharoṣṭhataḥ /	marīciḥ skandha deśāt ca pracetāḥ adhara uṣṭhataḥ 
SA_GK19_anvallcu-12	ekādaśa caiva rudrā lalāṭāt krodhasambhavāḥ // Valc_1.5 //	ekādaśa ca eva rudrāḥ lalāṭāt krodha sambhavāḥ 
