segmentnr	original	analyzed
SA_GK19_gp01-11u-0	śrī-śrī-gopāla-campūḥ	        
SA_GK19_gp01-11u-1	pūrva-campūḥ (1)	       
SA_GK19_gp01-11u-2	prathamaṃ pūraṇam	prathamam pūraṇam 
SA_GK19_gp01-11u-3	śrī-śrī-rādhā-ramaṇāya namaḥ	śrī śrī rādhā ramaṇāya namaḥ 
SA_GK19_gp01-11u-4	śrī-śrī-kṛṣṇa-caitanyāya namaḥ	śrī śrī kṛṣṇacaitanyāya namaḥ 
SA_GK19_gp01-11u-5	śrī-kṛṣṇa kṛṣṇa-caitanya sa-sanātana-rūpaka /	            
SA_GK19_gp01-11u-6	gopāla raghunāthāpta-vraja vallabha pāhi mām //JGc_1,1.1//	gopāla raghunātha āpta vraja vallabha pāhi mām 
SA_GK19_gp01-11u-7	[1] tad evam ārambhasambhavadantarmahasā sahasā vilikhya tad idam ullikhyate /	tat evam ārambha sambhavat antar mahasā sahasā vilikhya tat idam ullikhyate 
SA_GK19_gp01-11u-8	kim idam? madiṣṭadevasya,	kim idam madiṣṭadevasya 
SA_GK19_gp01-11u-9	madanviṣṭadayāśiṣṭatadbhakta-samudayasya ca kramataḥ smaraṇam āvirbhūtam /	mad anviṣṭa dayā śiṣṭa tad bhakta samudayasya ca kramatas smaraṇam āvirbhūtam 
SA_GK19_gp01-11u-10	kiṃ vā, kevalasya madiṣṭa-devasya; kiṃ vā,	kim vā kevalasya mad iṣṭadevasya kim vā 
SA_GK19_gp01-11u-11	tadviśiṣṭasya /	tad viśiṣṭasya 
SA_GK19_gp01-11u-12	āṃ āṃ, tantratas tat trayam api svatantratayā labhyate /	ām āṃ tantrataḥ tat trayam api svatantra tayā labhyate 
SA_GK19_gp01-11u-13	tatra prathamaṃ tāvat prathamataḥ prathayāmi /	tatra prathamam tāvat prathamatas prathayāmi 
SA_GK19_gp01-11u-14	atra śrī padam anyad anyad api kiñcid anuṣṭupchandaḥparacchandatayā pūrvatra ca paraparatra ca yatra na dattaṃ,	atra śrī padam anyat anyat api kiñcid anuṣṭubh chandaḥ para chanda tayā pūrvatra ca para paratra ca yatra na dattam 
SA_GK19_gp01-11u-15	tatra ca sandhātavyam /	tatra ca sandhātavyam 
SA_GK19_gp01-11u-16	[2] yathā: he śrī-kṛṣṇa-nāmnātidhanya/	yathā he śrī kṛṣṇa nāmnā ati dhanya 
SA_GK19_gp01-11u-17	sarva-mūrdhanya/	sarva mūrdhanya 
SA_GK19_gp01-11u-18	he śrī-kṛṣṇa-caitanya/	he śrī kṛṣṇacaitanya 
SA_GK19_gp01-11u-19	sarva-śarmada-kīrtanya/	     
SA_GK19_gp01-11u-20	he mahita-śrī-sanātana-sahita-śrī-rūpa-nāmadheya,	he mahita śrī sanātana sahita śrī rūpa nāmadheya 
SA_GK19_gp01-11u-21	man-mūrdhany ādheya/	mad mūrdhani ādheya 
