segmentnr	original	analyzed
SA_GS40_dhrasciu-0	Ḍhuṇḍhukanātha:	ḍhuṇḍhukanātha 
SA_GS40_dhrasciu-1	Rasendracintāmaṇi	      
SA_GS40_dhrasciu-2	RCint, 1	rcint 
SA_GS40_dhrasciu-3	he bhasmāṅgaviraktirūpaguṇadaṃ taṃ preraṇādaṃ śivaṃ gaṅgābhūṣitaśekharaṃ smaraharaṃ śaktisvarūpaṃ prabho /	he bhasma aṅga virakti rūpa guṇa dam tam preraṇa dam śivam gaṅgā bhūṣita śekharam smaraharam śakti svarūpam prabho 
SA_GS40_dhrasciu-4	tvāmīśaṃ karuṇārṇavaṃ śaraṇadaṃ vidyānidhiṃ nirguṇaṃ bhūteśaṃ girijāpatiṃ śaśidharaṃ māṅgalyadevaṃ namaḥ /	tvām īśam karuṇā arṇavam śaraṇa dam vidyā nidhim nirguṇam bhūteśam girijā patim śaśi dharam māṅgalya devam namaḥ 
SA_GS40_dhrasciu-5	namāmi devaṃ suravṛndapūjitaṃ gaṇādhipaṃ vighnavināśakārakam /	namāmi devam sura vṛnda pūjitam gaṇādhipam vighna vināśa kārakam 
SA_GS40_dhrasciu-6	smaranti ye nityam udāracetasaḥ kaṣṭāni te nānubhavanti satyam /	smaranti ye nityam udāra cetasaḥ kaṣṭāni te na anubhavanti satyam 
SA_GS40_dhrasciu-7	siddhinandanamiśreṇa śuddhāṃ ca sāragarbhitām /	siddhinandana miśreṇa śuddhām ca sāra garbhitām 
SA_GS40_dhrasciu-8	rasendracintāmaṇeśca ṭīkāṃ kurve śivājñayā /	rasendracintāmaṇeḥ ca ṭīkām kurve śiva ājñayā 
SA_GS40_dhrasciu-9	idānīṃ kālanāthaśiṣyaḥ śrīḍhuṇḍhukanāthāhvayo rasendracintāmaṇigrantham ārabhamāṇas	idānīm kālanātha śiṣyaḥ śrī ḍhuṇḍhukanātha āhvayaḥ rasendracintāmaṇi grantham ārabhamāṇaḥ 
SA_GS40_dhrasciu-10	tanmūladevate śrīmadambikāmaheśvarau sakalajagadutpattisthitipralayanidānaṃ viśeṣasiddhāntagarbhavācā	tad mūla devate śrīmat ambikā maheśvarau sakala jagat utpatti sthiti pralaya nidānam viśeṣa siddhāntagarbha vācā 
SA_GS40_dhrasciu-11	varīvasyati // RCint_1.1 //	varīvasyati 
SA_GS40_dhrasciu-12	arthaprakāśakāsāravimarśāmbujinīmayam /	                   
SA_GS40_dhrasciu-13	saccidānandavibhavaṃ śivayorvapurāśraye // RCint_1.2 //	saccidānanda vibhavam śivayoḥ vapuḥ āśraye 
SA_GS40_dhrasciu-14	laghīyaḥ parimāṇatayā nikhilarasajñānadāyitvāccintāmaṇiriva cintāmaṇiḥ // RCint_1.3 //	parimāṇa tayā nikhila rasa jñāna dāyi tvāt cintāmaṇiḥ iva cintāmaṇiḥ 
SA_GS40_dhrasciu-15	aśrauṣaṃ bahuviduṣāṃ mukhād apaśyaṃ śāstreṣu sthitam akṛtaṃ na tallikhāmi /	aśrauṣam bahu viduṣām mukhāt apaśyam śāstreṣu sthitam a kṛtam na tat likhāmi 
SA_GS40_dhrasciu-16	yatkarma vyaracayamagrato gurūṇāṃ prauḍhānāṃ tadiha vadāmi vītaśaṅkaḥ // RCint_1.4 //	yat karma vyaracayam agratas gurūṇām prauḍhānām tat iha vadāmi vīta śaṅkaḥ 
SA_GS40_dhrasciu-17	adhyāpayanti yad darśayituṃ kṣamante sūtendrakarma guravo guravasta eva /	adhyāpayanti yat darśayitum kṣamante sūtendra karma guravaḥ guravaḥ te eva 
SA_GS40_dhrasciu-18	śiṣyāsta eva racayanti guroḥpuro ye śeṣāḥ punastadubhayābhinayaṃ bhajante // RCint_1.5 //	śiṣyāḥ te eva racayanti guroḥ puras ye śeṣāḥ punar tad ubhaya abhinayam bhajante 
SA_GS40_dhrasciu-19	saṃskārāḥ paratantreṣu ye gūḍhāḥ siddhisūcitāḥ /	saṃskārāḥ paratantreṣu ye gūḍhāḥ siddhi sūcitāḥ 
SA_GS40_dhrasciu-20	tāneva prakaṭīkartum udyamaṃ kila kurmahe // RCint_1.6 //	tān eva prakaṭīkartum udyamam kila kurmahe 
SA_GS40_dhrasciu-21	granthād asmādāharanti prayogān svīyaṃ vāsminnāma ye nikṣipanti /	granthāt asmāt āharanti prayogān svīyam vā asmin nāma ye nikṣipanti 
SA_GS40_dhrasciu-22	gotrāṇyeṣām asmadīyaśramoṣmā bhasmīkurvannāyugaṃ bobhavītu // RCint_1.7 //	gotrāṇi eṣām asmadīya śrama ūṣmā bhasmīkurvan na ayugam bobhavītu 
SA_GS40_dhrasciu-23	saṃskārāḥ śivajanuṣo bahuprakārās tulyā ye laghubahulaprayāsaṃsādhyāḥ /	saṃskārāḥ śiva januṣaḥ bahu prakārāḥ tulyāḥ ye laghu bahula prayāsam sādhyāḥ 
SA_GS40_dhrasciu-24	yadyekaṃ sukaram udāharāmi teṣāṃ vyāhāraiḥ kimihaphalaṃ tataḥ pareṣām // RCint_1.8 //	yadi ekam sukaram udāharāmi teṣām vyāhāraiḥ kim iha phalam tatas pareṣām 
