segmentnr	original	analyzed
SA_GS40_susruta-0	﻿prathamo 'dhyāyaḥ |	prathamaḥ dhyāyaḥ 
SA_GS40_susruta-1	athāto vedotpattimadhyāyaṃ vyākhyāsyāmaḥ ||	atha atas vedotpattim adhyāyam vyākhyāsyāmaḥ 
SA_GS40_susruta-2	yathovāca bhagavān dhanvantariḥ ||	yathā uvāca bhagavān dhanvantariḥ 
SA_GS40_susruta-3	atha khalu bhagavantamamaravaramṛṣigaṇaparivṛtamāśramasthaṃ kāśirājaṃ divodāsaṃ dhanvantarimaupadhenavavaitaraṇaurabhrapauṣkalāvatakaravīryagopurarakṣitasuśrutaprabhṛtaya ūcuḥ ||	atha khalu bhagavantam amara varam ṛṣi gaṇa parivṛtam āśrama stham kāśi rājam divodāsam dhanvantarim aupadhenava vaitaraṇa aurabhra pauṣkalāvata karavīrya gopura rakṣita suśruta prabhṛtayaḥ ūcuḥ 
SA_GS40_susruta-4	bhagavan śārīramānasāgantuvyādhibhirvividhavedanābhighātopadrutān sanāthānapyanāthavadviceṣṭamānān vikrośataśca mānavānabhisamīkṣya manasi naḥ pīḍā bhavati teṣāṃ sukhaiṣiṇāṃ rogopaśamārthamātmanaśca prāṇayātrārthaṃ pragāhitahetorāyurvedaṃ śrotumicchāma ihopadiśyamānaṃ atrā āyattamaihikamāmuṣmikaṃ ca śreyaḥ tadbhagavantamupapannāḥ smaḥ śiṣyatveneti ||	bhagavan śārīra mānasa āgantu vyādhibhiḥ vividha vedanā abhighāta upadrutān sanāthān api anātha vat viceṣṭamānān vikrośataḥ ca mānavān abhisamīkṣya manasi naḥ pīḍā bhavati teṣām sukha eṣiṇām roga upaśama artham ātmanaḥ ca prāṇayātrā artham pragāhita hetoḥ āyurvedam śrotum icchāmaḥ iha upadiśyamānam atra āyattam aihikam āmuṣmikam ca śreyaḥ tat bhagavantam upapannāḥ smaḥ śiṣya tvena iti 
SA_GS40_susruta-5	tānuvāca bhagavān svāgataṃ vaḥ sarva evāmīmāṃsyā adhyāpyāśca bhavanto vatsāḥ ||	tān uvāca bhagavān svāgatam vaḥ sarve eva amīmāṃsyāḥ adhyāpyāḥ ca bhavantaḥ vatsāḥ 
SA_GS40_susruta-6	iha khalvāyurvedo nāmopāṅgamatharvavedasyānutpādyaivaprajāḥ ślokaśatasahasramadhyāyasahasraṃ ca kṛtavān svayambhūḥ tato 'lpāyuṣṭvamalpamedhastvaṃ cālokya narāṇāṃ bhūyo 'ṣṭadhā praṇītavān ||	iha khalu āyurvedaḥ nāma upāṅgam atharvavedasya an utpādya eva prajāḥ śloka śata sahasram adhyāya sahasram ca kṛtavān svayambhūḥ tatas lpa āyuḥ tvam alpamedhaḥ tvam ca ālokya narāṇām ṣṭadhā praṇītavān 
SA_GS40_susruta-7	tadyathā śalyaṃ śālākyaṃ kāyacikitsā bhūtavidyā kaumārabhṛtyaṃ agadatantraṃ rasāyanatantraṃ vājīkaraṇatantramiti ||	tat yathā śalyam śālākyam kāyacikitsā bhūta vidyā kaumārabhṛtyam agada tantram rasāyana tantram vājīkaraṇa tantram iti 
SA_GS40_susruta-8	āthāsya pratyaṅgalakṣaṇasamāsaḥ |	ā atha asya pratyaṅga lakṣaṇa samāsaḥ 
SA_GS40_susruta-9	tatra śalyaṃ nāma vividhatṛṇakāṣṭhapāṣāṇapāṃśulohaloṣṭāsthibālanakhapūyāsrāvaduṣṭavraṇāntargarbhaśalyoddharaṇārthaṃ yantraśastrakṣārāgnipraṇidhānavraṇaviniścayārthaṃ ca ||	tatra śalyam nāma vividha tṛṇa kāṣṭha pāṣāṇa pāṃśu loha loṣṭa asthi bāla nakha pūya āsrāva duṣṭavraṇa antar garbha śalya uddharaṇa artham yantra śastra kṣāra agni praṇidhāna vraṇa viniścaya artham ca 
SA_GS40_susruta-10	śālākyaṃ nāmordhvajatrugatānāṃ śravaṇanayanavadanaghrāṇādisaṃśritānāṃ vyādhīnāmupaśamanārthaṃ ||	śālākyam nāma ūrdhva jatru gatānām śravaṇa nayana vadana ghrāṇa ādi saṃśritānām vyādhīnām upaśamana artham 
SA_GS40_susruta-11	kāyacikītsā nāma sarvāṅgasaṃśritānāṃ vyādhīnāṃ jvara{O.atīsāra}raktapittaśoṣonmādāpasmārakuṣṭhamehātisārādīnāmupaśamanārtham ||	kāyacikītsā nāma sarva aṅga saṃśritānām vyādhīnām 
SA_GS40_susruta-12	bhūtavidyā nāma devāsuragandharvayakṣarakṣaḥpitṛpiśācanāgagrahādyupasṛṣṭacetasāṃ śāntikarmabaloharaṇādigrahopaśamanārtham ||	bhūtavidyā nāma deva asura gandharva yakṣa rakṣaḥ pitṛ piśāca nāga graha ādi upasṛṣṭa cetasām śānti karma bala haraṇa ādi graha upaśamana artham 
SA_GS40_susruta-13	kaumārabhṛtyaṃ nāma kumārabharaṇadhātrīkṣīradoṣasaṃśodhanārthaṃ duṣṭastanyagrahasamutthānāṃ ca vyādhīnāmupaśamanārtham ||	kaumārabhṛtyam nāma kumāra bharaṇa dhātrī kṣīra doṣa saṃśodhana artham duṣṭa stanya graha samutthānām ca vyādhīnām upaśamana artham 
