segmentnr	original	analyzed
SA_GSP31_iskamatu-0	// śrīḥ //	śrīḥ 
SA_GSP31_iskamatu-1	sāṅkhyakārikā	sāṅkhyakārikā 
SA_GSP31_iskamatu-2	māṭharavṛttisahitā	        
SA_GSP31_iskamatu-3	sarvavidyāvidhātāram ādityasthaṃ sanātanam /	sarva vidyā vidhātāram āditya stham sanātanam 
SA_GSP31_iskamatu-4	nato 'smi parayā bhaktyā kāpilaṃ jyotir īśvaram // 1 //	nataḥ smi parayā bhaktyā kāpilam jyotiḥ īśvaram 
SA_GSP31_iskamatu-5	kapilāya namas tasmai yenāvidyodadhau jagati magne /	kapilāya namaḥ tasmai yena avidyā udadhau jagati magne 
SA_GSP31_iskamatu-6	kāruṇyāt sāṅkhyamayī naur iha vihitā prataraṇāya // 2 //	kāruṇyāt sāṅkhya mayī nauḥ iha vihitā prataraṇāya 
SA_GSP31_iskamatu-7	namaskṛtya tu taṃ tasya vakṣye jñānasya kāraṇam /	namaskṛtya tu tam tasya vakṣye jñānasya kāraṇam 
SA_GSP31_iskamatu-8	hitāya sarvaśiṣyāṇām alpagranthasamuccayam // 3 //	hitāya sarva śiṣyāṇām alpa grantha samuccayam 
SA_GSP31_iskamatu-9	duḥkhatrayābhighātāj jijñāsā tadabhighātake hetau /	duḥkha traya abhighātāt jijñāsā tad abhighātake hetau 
SA_GSP31_iskamatu-10	dṛṣṭe sāpārthā cen naikāntātyantato 'bhāvāt // ISk_1 //	dṛṣṭe sā apārthā ced na ekānta atyantataḥ bhāvāt 
SA_GSP31_iskamatu-11	asyā āryāyā upodghātaḥ kriyate ---	asyāḥ āryāyāḥ upodghātaḥ kriyate 
SA_GSP31_iskamatu-12	sthānaṃ nimittaṃ vaktā ca śrotā śrotṛprayojanam /	sthānam nimittam vaktā ca śrotā śrotṛ prayojanam 
SA_GSP31_iskamatu-13	sambandhādyabhidhānaṃ ca upodghātaḥ sa ucyate //	sambandha ādi abhidhānam ca upodghātaḥ saḥ ucyate 
SA_GSP31_iskamatu-14	iha hi bhagavān maharṣiḥ sāṃsiddhikadharmajñānavairāgyaiśvaryasampanno bhagavataḥ	iha hi bhagavān mahā ṛṣiḥ sāṃsiddhika dharma jñāna vairāgya aiśvarya sampannaḥ bhagavataḥ 
SA_GSP31_iskamatu-15	purāṇapuruṣasyāvatāro jagadanujighṛkṣayā prajāpateḥ kardamasya putraḥ svāyambhuvasya	purāṇapuruṣasya avatāraḥ jagat anujighṛkṣayā prajāpateḥ kardamasya putraḥ svāyambhuvasya 
SA_GSP31_iskamatu-16	manor duhitari devahūtyāṃ kapilo nāma babhūva /	manoḥ duhitari devahūtyām kapilaḥ nāma babhūva 
SA_GSP31_iskamatu-17	sa tena guṇapuruṣāntaropalabdhirūpeṇa jñānenāpārapāraṃ didarśiṣayā hastāvalambeneva,	sa tena guṇa puruṣa antara upalabdhi rūpeṇa jñānena apāra pāram didarśiṣayā hasta avalambena iva 
SA_GSP31_iskamatu-18	kālāhidandaśyamānajagataḥ sudhāmaṇineva,	kāla ahi dandaśyamāna jagataḥ sudhāmaṇinā iva 
SA_GSP31_iskamatu-19	duścikitsyasya bhavavyādher apanayanāya samyagauṣadheneva,	duścikitsyasya bhava vyādheḥ apanayanāya samyak auṣadhena iva 
SA_GSP31_iskamatu-20	avidyāndhakārapradhvaṃsanapradīpeneva,	avidyā andhakāra pradhvaṃsana pradīpena iva 
SA_GSP31_iskamatu-21	muktimārgavirodhimohavṛkṣavivraścanakuṭhāreṇevāmunāvabodhena sampanno 'ndhe tamasi majjaj jagad idam adrākṣīt /	mukti mārga virodhi moha vṛkṣa vivraścana kuṭhāreṇa iva amunā avabodhena sampannaḥ ndhe tamasi majjat jagat idam adrākṣīt 
SA_GSP31_iskamatu-22	tad avalokyāsya kāruṇyam udapādi /	tat avalokya asya kāruṇyam udapādi 
SA_GSP31_iskamatu-23	aho khalv idaṃ jagad anādikālasambaddhaṃ nisargād eva andhe tamasi vartata iti /	aho khalu idam jagat anādi kāla sambaddham nisargāt eva andhe tamasi vartate iti 
SA_GSP31_iskamatu-24	athāsau mahāyogī katham asya varākasya andhe tamasi vartamānasya viśvasyānugrahaḥ kārya iti samutpannakāruṇyo manasi cintām āpede /	atha asau mahā yogī katham asya varākasya andhe tamasi vartamānasya viśvasya anugrahaḥ kāryaḥ iti samutpanna kāruṇyaḥ manasi cintām āpede 
