segmentnr	original	analyzed
SA_GSP33_nysu__1u-0	[======= JNys_1,1.I: janmādhikaraṇam =======]	     
SA_GSP33_nysu__1u-1	// atha śrīmannyāyasudhāyāṃ jijñāsādhikaraṇam //	atha śrīmat nyāyasudhāyām jijñāsā adhikaraṇam 
SA_GSP33_nysu__1u-2	$maṅgalācaraṇam$ *1,1*	maṅgala ācaraṇam 
SA_GSP33_nysu__1u-3	śriyaḥ patye nityāgaṇitaguṇamāṇikyaviśadaprabhājālollāsopahatasakalāvadyatamase /	śriyaḥ patye nitya agaṇita guṇa māṇikya viśada prabhā jāla ullāsa upahata sakala avadya tamase 
SA_GSP33_nysu__1u-4	jagajjanmasthemapralayaracanāśīlavapuṣe namo 'śeṣāmnāyasmṛtihṛdayadīptāya haraye // 1 // *1,16*	jagat janma sthema pralaya racanā śīla vapuṣe śeṣa āmnāya smṛti hṛdaya dīptāya haraye  /
SA_GSP33_nysu__1u-5	yena prādurabhāvi bhūmivalaye vyastāri gosantatiḥ prābodhi śrutipaṅkajaṃ karuṇayā prākāśi tattvaṃ param /	yena prādurabhāvi bhūmi valaye vyastāri go santatiḥ prābodhi śruti paṅkajam karuṇayā prākāśi tattvam param 
SA_GSP33_nysu__1u-6	dhvāntaṃ dhvaṃsamanāyi sādhunikaraścākāri sanmārgagastena vyāsadivākareṇa satataṃ mā tyāji me mānasam // 2 // *1,17*	dhvāntam dhvaṃsam anāyi sādhu nikaraḥ ca akāri sat mārga gaḥ tena vyāsa divākareṇa satatam mā tyāji me mānasam  /
SA_GSP33_nysu__1u-7	vyāptiryasya nije nijena mahasā pakṣe sapakṣe sthitirvyāvṛttiśca vipakṣato 'tha viṣaye saktinar vai bādhite /	vyāptiḥ yasya nije nijena mahasā pakṣe sapakṣe sthitiḥ vyāvṛttiḥ ca viṣaye vai bādhite 
SA_GSP33_nysu__1u-8	naivāsti pratipakṣayuktiratulaṃ śuddhaṃ pramāṇaṃ sa me bhūyāttattvavinirṇayāya bhagavānānandatīrtho muniḥ // 3 // *1,20*	na eva asti pratipakṣa yuktiḥ atulam śuddham pramāṇam sa me bhūyāt tattva vinirṇayāya bhagavān ānandatīrthaḥ muniḥ   
SA_GSP33_nysu__1u-9	bhavati yadanubhavādeḍamūko 'pi vāgmī jaḍamatirapi janturjāyate prājñamauliḥ /	bhavati vāgmī jaḍa matiḥ api jantuḥ jāyate prājña mauliḥ 
SA_GSP33_nysu__1u-10	sakalavacanaceto devatā bhāratī sā mama vacasi nidhattāṃ sannidhiṃ mānase ca // 4 // *1,21*	sakala vacana cetaḥ devatā bhāratī sā mama vacasi nidhattām sannidhim mānase ca 
SA_GSP33_nysu__1u-11	ramānivāsocivāsabhūmiḥsannyāyaratnāvalijanmabhūmiḥ /	               
SA_GSP33_nysu__1u-12	vairāgyabhāgyo mama padmanābhatīrthāmṛtābdhirbhavatādvibhūtyai // 5 //	vairāgya bhāgyaḥ mama padmanābha tīrtha amṛta abdhiḥ bhavatāt vibhūtyai 
SA_GSP33_nysu__1u-13	padavākyapramāṇajñānprativādimadacchidaḥ /	pada vākya pramāṇa jñān prativādi mada chidaḥ 
SA_GSP33_nysu__1u-14	śrīmadakṣobhyatīrthākhyānupatiṣṭhe gurūnmama // 6 // *1,23*	śrīmat akṣobhyatīrtha ākhyān upatiṣṭhe gurūn mama 
SA_GSP33_nysu__1u-15	śrīmadānandatīrthāryasanmanaḥsarasībhuvi /	              
SA_GSP33_nysu__1u-16	anuvyākhyānanaline cañcarīkati me manaḥ // 7 // *1,25*	anuvyākhyāna naline cañcarīkati me manaḥ   
SA_GSP33_nysu__1u-17	na śabdābdhau gāḍhā naca nigamacarcāsu caturā naca nyāye prauḍhā naca viditavedyā api vayam /	na śabda abdhau gāḍhāḥ na ca nigama carcāsu caturāḥ na ca nyāye prauḍhāḥ na ca vidita vedyāḥ api vayam 
SA_GSP33_nysu__1u-18	paraṃ śrīmatpūrṇapramatigurukāruṇyasaraṇiṃ prapannā mānyāḥ smaḥ kimapi ca vadanto 'pi mahatām // 8 // *1,30*	param śrīmat pūrṇapramati guru kāruṇya saraṇim prapannāḥ mānyāḥ smaḥ kim api ca mahatām 
SA_GSP33_nysu__1u-19	bhagavatā bādarāyaṇena prāṇināṃ niḥśreyasāya praṇītamapi brahmamīmāṃsāśāstramasādhunibandhāndhatamasāvakuṇṭhitatvenāpraṇītamiva	bhagavatā bādarāyaṇena prāṇinām niḥśreyasāya praṇītam api brahmamīmāṃsā śāstram asādhu nibandha andhatamasa avakuṇṭhita tvena apraṇītam iva 
SA_GSP33_nysu__1u-20	manyamāno bhagavānānandatīrthamuniryathā'cāryābhiprāyaṃ asya bhāṣyaṃ vidhāyānubhāṣyamapi	manyamānaḥ bhagavān ānandatīrtha muniḥ yathā ācārya abhiprāyam asya bhāṣyam vidhāya anubhāṣyam api 
SA_GSP33_nysu__1u-21	kariṣyanvilīnaprakṛtitayā svayamantarāyavidhuro 'pyanavaratamīśvarapravaṇakāyakaraṇavṛttirapi	kariṣyan vilīna prakṛti tayā svayam antarāya vidhuraḥ pi anavaratam īśvara pravaṇa kāya karaṇa vṛttiḥ api 
SA_GSP33_nysu__1u-22	nārāyaṇapraṇāmādikaṃ prāripsitasyānantarāyaparisamāpteḥ pracayasya ca hetutayāvigītaśiṣyācāraparamparādināvagatamavaśyaṃ	nārāyaṇa praṇāma ādikam prāripsitasya anantarāya parisamāpteḥ pracayasya ca hetu tayā avigīta śiṣya ācāra paramparā ādinā avagatam avaśyam 
SA_GSP33_nysu__1u-23	karaṇīyaṃ śiṣyān grāhayituṃ granthādau nibadhnāti- nārāyaṇamiti // *1,37*	karaṇīyam śiṣyān grāhayitum grantha ādau nibadhnāti nārāyaṇam iti 
SA_GSP33_nysu__1u-24	nārāyaṇaṃ nikhilapūrṇaguṇaikadehaṃ nirdoṣamāpyatamamapyakhilaiḥ suvākyaiḥ /	nārāyaṇam nikhila pūrṇa guṇa eka deham nirdoṣam āpyatamam api akhilaiḥ su vākyaiḥ 
SA_GSP33_nysu__1u-25	asyodbhavādidamaśeṣaviśeṣato 'pi vandyaṃ sadā priyatamaṃ mama sannamāmi // MAnuv_1,1.1 //	asya udbhavāt idam aśeṣa viśeṣataḥ vandyam sadā priyatamam mama sat namāmi 
SA_GSP33_nysu__1u-26	atra nārāyaṇaṃ sannamāmītyanvayaḥ /	atra nārāyaṇam san namāmi iti anvayaḥ 
SA_GSP33_nysu__1u-27	uttamapuruṣaprayogādevāhamiti labhyate /	uttama puruṣa prayogāt eva aham iti labhyate 
SA_GSP33_nysu__1u-28	samiti bhaktayādyatiśayasāhityalakṣaṇāṃ pramāṇasya samyaktāmāha /	sam iti bhakta yā ādi atiśaya sāhitya lakṣaṇām pramāṇasya samyaktām āha 
SA_GSP33_nysu__1u-29	tathāvidha eva hi nārāyaṇapraṇāmo bhavatyabhimatasiddheraṅgam /	tathāvidhaḥ eva hi nārāyaṇa praṇāmaḥ bhavati abhimata siddheḥ aṅgam 
