segmentnr	original	analyzed
SA_K10_divav33u-0	oṃ namo ratnatrayāya	om namaḥ ratnatrayāya 
SA_K10_divav33u-1	p.1.1/.evaṃ mayā śrutam/	mayā śrutam 
SA_K10_divav33u-2	ekasin samaye bhagavān śrāvastyāṃ viharati sma/	ekasin samaye bhagavān śrāvastyām viharati sma 
SA_K10_divav33u-3	jetavane +anāthapiṇḍadasya^ārāme/	jetavane anāthapiṇḍadasya ārāme 
SA_K10_divav33u-4	p.1.2/.atha^āyuṣmān ānandaḥ pūrvāhṇe nivāsya pātra^cīvaram ādāya śrāvastīṃ mahā^nagarīṃ piṇḍāya prāvikṣat/	ānandaḥ pūrvāhṇe nivāsya pātra cīvaram ādāya śrāvastīm mahā nagarīm piṇḍāya prāvikṣat 
SA_K10_divav33u-5	atha^āyuṣmān ānandaḥ śrāvastīṃ piṇḍāya caritvā kṛta^bhakta^kṛtyo yenānyatamam udapānaṃ tena^upasaṃkrāntaḥ/	atha āyuṣmān ānandaḥ śrāvastīm piṇḍāya caritvā kṛta bhakta kṛtyaḥ yena anyatamam udapānam tena upasaṃkrāntaḥ 
SA_K10_divav33u-6	p.1.3/.tena khalu samayena tasminn udapāne prakṛtir nāma mātaṅga^dārikā udakam uddharate sma/	khalu samayena tasmin udapāne prakṛtiḥ nāma mātaṅga dārikā udakam uddharate sma 
SA_K10_divav33u-7	atha^āyuṣmān ānandaḥ prakṛtiṃ mātaṅga^dārikām etad avocat/	atha āyuṣmān ānandaḥ prakṛtim mātaṅga dārikām etat avocat 
SA_K10_divav33u-8	dehi me bhagini pānīyaṃ pāsyāmi/	dehi me bhagini pānīyam pāsyāmi 
SA_K10_divav33u-9	p.1.4/.evaṃ kite prakṛtir mātaṅga^dārikāyuṣmantam ānandam idam avocat/	kite prakṛtiḥ mātaṅga dārikā āyuṣmantam ānandam idam avocat 
SA_K10_divav33u-10	mātaṅga^dārikāham asmi bhadantānanda/	mātaṅga dārikā aham asmi bhadanta ānanda 
SA_K10_divav33u-11	na^ahaṃ te bhagini kulaṃ vā jātiṃ vā pṛcchāmi/	na aham te bhagini kulam vā jātim vā pṛcchāmi 
SA_K10_divav33u-12	api tu sacette parityaktaṃ pānīyaṃ dehi pāsyāmi/	api tu saced te parityaktam pānīyam dehi pāsyāmi 
SA_K10_divav33u-13	p.1.5/.atha prakṛtir mātaṅga^dārikāyuṣmantam ānandāya pānīyam adāt/	prakṛtiḥ mātaṅga dārikā āyuṣmantam ānandāya pānīyam adāt 
SA_K10_divav33u-14	atha^āyuṣmān ānandaḥ pānīyaṃ pītvā prakrāntaḥ/	atha āyuṣmān ānandaḥ pānīyam pītvā prakrāntaḥ 
SA_K10_divav33u-15	p.1.6/.atha prakṛtir mātaṅga^dārikāyuṣmanta ānandsya śarīre mukhe svare sādhu ca suṣṭhu ca nimittam udgṛhītvā yoniśo manasikāreṇāviṣṭā saṃrāgacittam  #	prakṛtiḥ mātaṅga dārikā āyuṣmantaḥ ānandsya śarīre mukhe svare sādhu ca suṣṭhu ca nimittam udgṛhītvā yoniśas manasikāreṇa āviṣṭā saṃrāga cittam 
SA_K10_divav33u-16	utpādayati (1) sma/	utpādayati sma 
SA_K10_divav33u-17	āryo me ānandaḥ svāmī ayād iti/	āryaḥ me ānandaḥ svāmī ayāt iti 
SA_K10_divav33u-18	mātā ca me mahā^vidyādharī sā śakṣyaty āryam ānandam ānayitum/	mātā ca me mahā vidyādharī sā śakṣyati āryam ānandam ānayitum 
SA_K10_divav33u-19	p.2.1/.atha prakṛtir mātaṅga^dārikā pānīyaghaṭam ādāya yena caṇḍāla^gṛhaṃ tena^upasaṃkramya pānīya^ghaṭam ekānte nikṣipya svāṃ jananīm idam	prakṛtiḥ mātaṅga dārikā pānīya ghaṭam ādāya yena caṇḍāla gṛham tena upasaṃkramya pānīya ghaṭam ekānte nikṣipya svām jananīm idam 
SA_K10_divav33u-20	p.2.2/.yat khalv evam amba jānīyā ānando nāma śramaṇo mahāśramaṇa^gautamasya śrāvaka upasthāyakas tam ahaṃ svāminam icchāmi/	khalu evam amba jānīyāḥ ānandaḥ nāma śramaṇaḥ mahāśramaṇa gautamasya śrāvakaḥ upasthāyakaḥ tam aham svāminam icchāmi 
SA_K10_divav33u-21	śakṣyasi tam amba ānayitum/	śakṣyasi tam ambe ānayitum 
SA_K10_divav33u-22	p.2.3/.sā tām avocat/	tām avocat 
SA_K10_divav33u-23	śaktā +ahaṃ putri ānandam ānayituṃ/	śaktā aham putri ānandam ānayitum 
SA_K10_divav33u-24	sthāpayitvā yo mṛtaḥ syād yo vā vīta^rāgaḥ/	sthāpayitvā yaḥ mṛtaḥ syāt yaḥ vā vīta rāgaḥ 
SA_K10_divav33u-25	api ca rājā prasenajit kauśalaḥ śramaṇa^gautamam atīva sevate bhajate paryupāsate/	api ca rājā prasenajit kauśalaḥ śramaṇa gautamam atīva sevate bhajate paryupāsate 
SA_K10_divav33u-26	yadi jānīyāt so +ayaṃ caṇḍāla^kulasyānarthāya pratipadyeta/	yadi jānīyāt saḥ ayam caṇḍāla kulasya anarthāya pratipadyeta 
