segmentnr	original	analyzed
SA_K12_bsu055_u-0	(Vaidya 95)	vaidya 
SA_K12_bsu055_u-1	Kauśikaprajñāpāramitāsūtram /	kauśikaprajñāpāramitā sūtram 
SA_K12_bsu055_u-2	namo sarvabuddhabodhisattvebhyaḥ //	namaḥ sarva buddha bodhisattvebhyaḥ 
SA_K12_bsu055_u-3	evaṃ mayā śrutam /	evam mayā śrutam 
SA_K12_bsu055_u-4	ekasmin samaye bhagavān rājagṛhe viharati sma gṛdhrakūṭe parvate mahatā bhikṣusaṃghena sārdhamanekaiśca bodhisattvaśatasahasraiḥ sarvaiḥ kumārabhūtaiḥ	ekasmin samaye bhagavān rājagṛhe viharati sma gṛdhrakūṭe parvate mahatā bhikṣu saṃghena sārdham anekaiḥ ca bodhisattva śata sahasraiḥ sarvaiḥ kumāra bhūtaiḥ 
SA_K12_bsu055_u-5	tatra khalu bhagavān śakraṃ devānāmindramāmantrayate sma //	tatra khalu bhagavān śakram devānām indram āmantrayate sma 
SA_K12_bsu055_u-6	ayaṃ kauśika prajñāpāramitāyāḥ arthaḥ - prajñāpāramitā na dvayena draṣṭavyā na advayena /	ayam kauśika prajñāpāramitāyāḥ arthaḥ prajñāpāramitā na dvayena draṣṭavyā na advayena 
SA_K12_bsu055_u-7	na nimittato na animittataḥ /	na nimittataḥ na animittataḥ 
SA_K12_bsu055_u-8	na āyūhato na nirāyūhataḥ /	na āyūhataḥ na nirāyūhataḥ 
SA_K12_bsu055_u-9	notkṣepato na prakṣepataḥ /	na utkṣepataḥ na prakṣepataḥ 
SA_K12_bsu055_u-10	na saṃkleśato na asaṃkleśataḥ /	na saṃkleśataḥ na asaṃkleśataḥ 
SA_K12_bsu055_u-11	na vyavadānato na avyavadānataḥ /	na vyavadānataḥ na a vyavadānataḥ 
SA_K12_bsu055_u-12	notsargato na anutsargataḥ /	na utsargataḥ na an utsargataḥ 
SA_K12_bsu055_u-13	na sthānato na asthānataḥ /	na sthānataḥ na asthānataḥ 
SA_K12_bsu055_u-14	na yogato na ayogataḥ /	na yogataḥ na a yogataḥ 
SA_K12_bsu055_u-15	na saṃbandhato na asaṃbandhataḥ /	na saṃbandhataḥ na asaṃbandhataḥ 
SA_K12_bsu055_u-16	na pratyayato na apratyayataḥ /	na pratyayataḥ na a pratyayataḥ 
SA_K12_bsu055_u-17	na dharmato na adharmataḥ /	na dharmataḥ na adharmataḥ 
SA_K12_bsu055_u-18	na tathata(yā)	na tathatayā 
SA_K12_bsu055_u-19	na atathata(yā)	na atathatayā 
SA_K12_bsu055_u-20	na bhūtakoṭyā na abhūtakoṭyā(vedi)tavyā //	na bhūtakoṭyā na abhūtakoṭyā veditavyā 
SA_K12_bsu055_u-21	evamevāyaṃ sa kauśika prajñāpāramitāyāḥ arthaḥ /	evam eva ayam sa kauśika prajñāpāramitāyāḥ arthaḥ 
SA_K12_bsu055_u-22	tadyathā sarvadharmasamatvāt prajñāpāramitā samā /	tat yathā sarva dharma sama tvāt prajñāpāramitā samā 
SA_K12_bsu055_u-23	sarvadharmaviviktatvāt prajñāpāramitā viviktā /	sarva dharma vivikta tvāt prajñāpāramitā viviktā 
SA_K12_bsu055_u-24	sarvadharmācalatvāt prajñāpāramitā acalā /	sarva dharma acala tvāt prajñāpāramitā acalā 
SA_K12_bsu055_u-25	sarvadharmāmanyatvāt prajñāpāramitā amanyatā /	sarva dharma a manya tvāt prajñāpāramitā a manya 
SA_K12_bsu055_u-26	sarvadharmābhīrutvāt prajñāpāramitā abhīru /	sarva dharma abhīru tvāt prajñāpāramitā abhīru 
SA_K12_bsu055_u-27	sarvadharmācchambhitatayā prajñāpāramitā acchambhī /	sarva dharma ācchambhita tayā prajñāpāramitā a chambhī 
SA_K12_bsu055_u-28	sarvadharmaikarasatvāt prajñāpāramitā ekarasā /	sarva dharma eka rasa tvāt prajñāpāramitā ekarasā 
SA_K12_bsu055_u-29	sarvadharmānutpādatvāt prajñāpāramitā anutpādā /	sarva dharma anutpāda tvāt prajñāpāramitā anutpādā 
SA_K12_bsu055_u-30	sarvadharmānirodhatvāt prajñāpāramitā anirodhā /	sarva dharma anirodha tvāt prajñāpāramitā anirodhā 
