segmentnr	original	analyzed
SA_MB_mahaalak-0	Muktabodha E-text in UTF-8	muktabodha etext in utf
SA_MB_mahaalak-1	###########################################################################MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww.muktabodha.org©2011 Muktabodha Indological Research Institute  All Rights Reserved.E-texts may be viewed only online or downloaded for private study.E-texts may not, under any circumstances, be copied, republished,reproduced, distributed or sold, either in original or altered form, withoutthe express permission of Muktabodha Indological Research Institute in writing.Data-entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.Catalog number : M00407	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /
SA_MB_mahaalak-2	Uniform title: mahālakṣmīpūjāvidhiḥ	uniform title mahālakṣmī pūjā vidhiḥ 
SA_MB_mahaalak-3	Manuscript : NGMCP 1696/2310 Reel no: B 375/47	reel no  b 
SA_MB_mahaalak-4	Description: Ritual manual on the worship of mahālakṣmī	description ritual manual on the worship of mahālakṣmī 
SA_MB_mahaalak-5	Notes: Data entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski.	notes data entered by the staff muktabodha under the direction of mark s g dyczkowski 
SA_MB_mahaalak-6	Revision 0: April  28, 2017	roution april 
SA_MB_mahaalak-7	Publication country : India	publication country india 
SA_MB_mahaalak-8	1a) oṃ namaḥ śrīmahālakṣmīdevyaiḥ || brahmane namaḥ || oṃ gurubhyo namaḥ || oṃ gaṇapataye namaḥ || oṃ iṣṭadevatebhyo	a om namaḥ śrī mahālakṣmī devyaiḥ brahmane namaḥ om gurubhyaḥ namaḥ om gaṇapataye namaḥ om iṣṭadevatebhyaḥ 
SA_MB_mahaalak-9	namaḥ ||  iti gurupūjānamaskāraṃ kṛtvā || oṃ ādhārasaktaye namaḥ || oṃ bhaktyoṃ kavacāya namaḥ || puṣpamekasirasaṃ	namaḥ iti guru pūjā namaskāram kṛtvā om ādhāra saktaye namaḥ om bhaktyā om kavacāya namaḥ puṣpam eka sirasam 
