segmentnr	original	analyzed
SA_T02_bsa048_u-0	Caryāmelāvaṇapradīpaḥ	         
SA_T02_bsa048_u-1	1. prathamaḥ paricchedaḥ	prathamaḥ paricchedaḥ 
SA_T02_bsa048_u-2	om namaḥ śrīvajrasattvāya /	om namaḥ śrī vajra sattvāya 
SA_T02_bsa048_u-3	namata khasamaniḥsvabhāvaśuddhaṃ namatāśeṣamanakṣaramavācyam /	namata kha sama niḥsvabhāva śuddham namata aśeṣam anakṣaram avācyam 
SA_T02_bsa048_u-4	namatānāgatasarvagaṃ sugataṃ namata samastāśeṣasarvaśūnyam //	namata anāgata sarvagam sugatam namata samasta aśeṣa sarva śūnyam 
SA_T02_bsa048_u-5	“arthapratiśaraṇena bhavitavyaṃ śabdastu yathā tathā” iti /	artha pratiśaraṇena bhavitavyam śabdaḥ tu yathā tathā iti 
SA_T02_bsa048_u-6	tantre-	tantre 
SA_T02_bsa048_u-7	caturaśītisāhasre dharmaskandhe mahāmuneḥ /	caturaśīti sāhasre dharma skandhe mahā muneḥ 
SA_T02_bsa048_u-8	tattvaṃ vai ye na jānanti sarve te niṣphalāya vai // iti /	tattvam vai ye na jānanti sarve te niṣphalāya vai iti 
SA_T02_bsa048_u-9	ata āha-	atas āha 
SA_T02_bsa048_u-10	ādikarmikasandhānaṃ paramārthāvatāraṇe /	ādi karmika sandhānam parama artha avatāraṇe 
SA_T02_bsa048_u-11	upāyaścaiva saṃbuddhaiḥ sopānamiva nirmitaḥ // iti /	upāyaḥ ca eva saṃbuddhaiḥ sopānam iva nirmitaḥ iti 
SA_T02_bsa048_u-12	prabodhanamelāvaṇasaṃśayaparicchedaḥ prathamaḥ // 1 //	        
SA_T02_bsa048_u-13	2. dvitīyaḥ paricchedaḥ	dvitīyaḥ paricchedaḥ 
SA_T02_bsa048_u-14	pañcaskandhāḥ samāsena pañcabuddhāḥ prakīrtitāḥ /	pañca skandhāḥ samāsena pañca buddhāḥ prakīrtitāḥ 
SA_T02_bsa048_u-15	vajra-āyatanānyeva bodhisattvāgryamaṇḍalam //	vajra āyatanāni eva bodhisattva agrya maṇḍalam 
SA_T02_bsa048_u-16	pṛthivī locanā khyātā abdhāturmāmakī smṛtā /	pṛthivī locanā khyātā abdhātuḥ māmakī smṛtā 
SA_T02_bsa048_u-17	pāṇḍarākhyā bhavettejastārā vāyuḥ prakīrtitā //	pāṇḍara ākhyā bhavet tejaḥ tārā vāyuḥ prakīrtitā 
SA_T02_bsa048_u-18	rūpaśabdādibhirmantrī devatāṃ bhāvayet sadā //	rūpa śabda ādibhiḥ mantrī devatām bhāvayet sadā 
SA_T02_bsa048_u-19	ityuktaṃ bhagavatā śrīguhyasamājamahāyogatantre /	iti uktam bhagavatā śrī guhyasamājamahāyogatantre 
SA_T02_bsa048_u-20	kulāḥ śatavidhāḥ proktāḥ saṃkṣepeṇa tu pañcadhā /	śatavidhāḥ proktāḥ saṃkṣepeṇa tu pañcadhā 
SA_T02_bsa048_u-21	punastrividhatāṃ yānti kāyavākcittabhedataḥ //	punar trividha tām yānti kāya vāc citta bhedataḥ 
SA_T02_bsa048_u-22	“pañcaskandhāḥ samāsena pañcabuddhāḥ prakīrtitāḥ / “	pañca skandhāḥ samāsena pañca buddhāḥ prakīrtitāḥ 
SA_T02_bsa048_u-23	pañcahṛdayamāśritya pañcatanuvinirgatam /	pañca hṛdayam āśritya pañca tanu vinirgatam 
SA_T02_bsa048_u-24	pañcavāyusamāyuktaṃ pañcakāmopabhogakṛta // iti /	pañca vāyu samāyuktam pañca kāma upabhoga kṛtaḥ iti 
SA_T02_bsa048_u-25	prakramaṇāt prāṇāyāmāccendriyadvāraistantubhiḥ /	prakramaṇāt prāṇāyāmāt ca indriya dvāraiḥ tantubhiḥ 
SA_T02_bsa048_u-26	prakramate sadā kālaṃ prāṇa ityabhidhīyate //	prakramate sadā kālam prāṇaḥ iti abhidhīyate 
SA_T02_bsa048_u-27	vātamūtrapurīṣāṇāṃ śukrādīnāṃ tathaiva ca /	vāta mūtra purīṣāṇām śukra ādīnām tathā eva ca 
SA_T02_bsa048_u-28	apanayanādapāno 'yaṃ yogibhirlakṣyate sadā //	apanayanāt apānaḥ yam yogibhiḥ lakṣyate sadā 
SA_T02_bsa048_u-29	aśitaṃ khāditaṃ lehyaṃ peyaṃ coṣyañca sarvataḥ /	aśitam khāditam lehyam peyam coṣyam ca sarvatas 
SA_T02_bsa048_u-30	samānayati yo nityaṃ samāna iti cocyate //	samānayati yaḥ nityam samānaḥ iti ca ucyate 
SA_T02_bsa048_u-31	ūrdhvagamāt saṃharaṇād bhakṣyabhojyādibhakṣaṇāt /	ūrdhva gamāt saṃharaṇāt bhakṣya bhojya ādi bhakṣaṇāt 
SA_T02_bsa048_u-32	udānakarmavijño 'yaṃ jñānena sahayogataḥ //	udāna karma vijñaḥ yam jñānena saha yogataḥ 
SA_T02_bsa048_u-33	vyāpanaṃ dhāraṇaṃ caiva gamanāgamanādikam /	vyāpanam dhāraṇam ca eva gamana āgamana ādikam 
SA_T02_bsa048_u-34	sarvasandhiṣu vyāptatvād vyāna ityabhidhīyate //	sarva sandhiṣu vyāpta tvāt vyānaḥ iti abhidhīyate 
SA_T02_bsa048_u-35	pṛthivī locanā khyātā abdhāturmāmakī smṛtā /	pṛthivī locanā khyātā abdhātuḥ māmakī smṛtā 
SA_T02_bsa048_u-36	tejaḥ pāṇḍarā khyātā vāyustārā prakīrtitā //	tejaḥ pāṇḍarā khyātā vāyuḥ tārā prakīrtitā 
SA_T02_bsa048_u-37	skandhaśca dhātuśca tathaivendriyaṃ ca pañcaiva pañcaiva kṛtaprabhedāḥ /	skandhaḥ ca dhātuḥ ca tathā eva indriyam ca pañca eva pañca eva kṛta prabhedāḥ 
SA_T02_bsa048_u-38	tathāgatādhiṣṭhita ekaikaśaḥ saṃsārakarmāṇi kuto bhavanti //	tathāgata dhiṣṭhite ekaikaśas saṃsāra karmāṇi kutas bhavanti 
SA_T02_bsa048_u-39	tathā sabāhyā viṣayāśca pañca ekaikaśaḥ pañcatathāgataiśca /	tathā sa bāhyāḥ viṣayāḥ ca pañca ekaikaśas pañca tathāgataiḥ ca 
SA_T02_bsa048_u-40	svakasvakā nityamadhiṣṭhitāste jñānatrayaṃ pañcasamāśritaṃ ca //	svaka svakāḥ nityam adhiṣṭhitāḥ te jñāna trayam pañca samāśritam ca 
SA_T02_bsa048_u-41	khadhātumadhyagataṃ cintenmaṇḍalaṃ sarvavajrajam /	kha dhātu madhya gatam cintet maṇḍalam sarva vajra jam 
SA_T02_bsa048_u-42	saṃhāraṃ ca prakurvīta yadīcchecchāntavajradhṛg // iti /	saṃhāram ca prakurvīta yadi icchet śānta vajra dhṛk iti 
SA_T02_bsa048_u-43	pañcātmakaṃ pañcabhireva bhūtairdṛṣṭaṃ narāṇāṃ niyataṃ śarīram /	pañca ātmakam pañcabhiḥ eva bhūtaiḥ dṛṣṭam narāṇām niyatam śarīram 
SA_T02_bsa048_u-44	tabhdāvabhāvairniyataṃ svacittaṃ prabhāvayantaḥ prabhavanti buddhāḥ // iti /	ta bhdāva bhāvaiḥ niyatam sva cittam prabhāvayantaḥ prabhavanti buddhāḥ iti 
SA_T02_bsa048_u-45	khasamatantre 'pyāha-	kha sama tantre pi āha 
SA_T02_bsa048_u-46	pañcabuddhātmaku sarvajago 'yaṃ paśyasu citraku nāṭaku divyam /	yam divyam 
SA_T02_bsa048_u-47	yatra hi eku mahāsuhanāmā nṛtyati eku aneka rasena // iti /	yatra hi eku mahāsuhanāmā nṛtyati eku aneka rasena iti 
SA_T02_bsa048_u-48	“saṃkṣepeṇa tu pañcadhā“	saṃkṣepeṇa tu pañcadhā 
SA_T02_bsa048_u-49	kāyavākcittanidhyaptaiḥ svabhāvo nopalabhyate /	kāya vāc citta nidhi aptaiḥ svabhāvaḥ nā upalabhyate 
SA_T02_bsa048_u-50	mantramūrtiprayogeṇa na bodhirna ca bhāvanā //	mantra mūrti prayogeṇa na bodhiḥ na ca bhāvanā 
SA_T02_bsa048_u-51	vicāryedaṃ samāsena kāyavākcittalakṣaṇam /	vicārya idam samāsena kāya vāc citta lakṣaṇam 
