segmentnr	original	analyzed
SA_T02_n2988u-0	śrīmadindrabhūtiviracitā Jñānasiddhiḥ |	śrīmat indrabhūti viracitā jñānasiddhiḥ 
SA_T02_n2988u-1	prathamaḥ paricchedaḥ ||	prathamaḥ paricchedaḥ 
SA_T02_n2988u-2	namo vajrasattvāya |	namaḥ vajra sattvāya 
SA_T02_n2988u-3	praṇipatya jagannāthaṁ sarvajinavarārcitam |	praṇipatya jagannātha sarva jina vara arcitam 
SA_T02_n2988u-4	sarvabuddhamayaṁ siddhivyāpinaṁ gaganopamam || 1 ||	sarva buddha maya siddhi vyāpina gagana upamam 
SA_T02_n2988u-5	sarvadaṁ sarvasattvebhyaḥ sarvajñaṁ varavajriṇam |	sarva da sarva sattvebhyaḥ sarvajña vara vajriṇam 
SA_T02_n2988u-6	bhaktyā'haṁ sarvabhāvena vakṣye tatsādhanaṁ param || 2 ||	bhaktyā āha sarva bhāvena vakṣye tat sādhana param 
SA_T02_n2988u-7	aśeṣayogatantroktaṁ vajrayānamanuttaram |	aśeṣa yoga tantra ukta vajrayānam anuttaram 
SA_T02_n2988u-8	ye na jānanti muḍhāste bhramantīha bhavārṇave || 3 ||	ye na jānanti muḍhāḥ te bhramanti iha bhava arṇave 
SA_T02_n2988u-9	ye tu sattvāḥ samāruḍhāḥ sarvasaṅkalpavarjitāḥ |	ye tu sattvāḥ samāruḍhāḥ sarva saṅkalpa varjitāḥ 
SA_T02_n2988u-10	te spṛśanti parāṁ bodhiṁ janmanīhaiva sādhakāḥ || 4 ||	te spṛśanti parā bodhi janmani iha eva sādhakāḥ   
SA_T02_n2988u-11	mudrāmaṇḍalamantrādyairjāpabhāvanatatparaiḥ |	mudrā maṇḍala mantra ādyaiḥ jāpa bhāvana tatparaiḥ 
SA_T02_n2988u-12	naiva siddhiṁ parāṁ yānti kalpāsaṅkhyeyakoṭibhiḥ || 5 ||	na eva siddhi parāḥ yānti kalpa asaṅkhyeya koṭibhiḥ 
SA_T02_n2988u-13	rūpayauvanasampatterbhogaiśvaryabalasya ca janmagotrapravṛttasya na citte mānamudvahet || 6 ||	rūpa yauvana sampatteḥ bhoga aiśvarya balasya ca janma gotra pravṛttasya na citte mānam udvahet  /
SA_T02_n2988u-14	(1) matimān paṇḍito'smīti sarvaśilpakalāsu ca |	matimān paṇḍitaḥ asmi iti sarva śilpa kalāsu ca 
SA_T02_n2988u-15	kuśalaḥ pārthivaścāhamiti citte na yojayet || 7 ||	kuśalaḥ pārthivaḥ ca aham iti citte na yojayet  /
SA_T02_n2988u-16	śīlavān śrutavān vīro [rūpā] dyairapi saṁyutaḥ |	śīlavān śrutavān vīraḥ rūpā dyaiḥ api sayutaḥ 
SA_T02_n2988u-17	[svamukteḥ] paramukteśca nātmānamupalabhyate || 8 ||	sva mukteḥ para mukteḥ ca na ātmānam upalabhyate 
SA_T02_n2988u-18	sarvasattvamanovyāpī vajrasattvaḥ svayaṁ sthitaḥ |	sarva sattva manaḥ vyāpī vajra sattvaḥ sthitaḥ 
SA_T02_n2988u-19	iti sañcintya yogātmā na kañcidavakalpayet || 9 ||	iti sañcintya yoga ātmā na kañcid avakalpayet 
SA_T02_n2988u-20	bālā mūrkhā daridraśca duḥśīlā rogapīḍitāḥ |	bālāḥ mūrkhāḥ daridraḥ ca duḥśīlāḥ roga pīḍitāḥ 
SA_T02_n2988u-21	evamādyairanekaiśca saṁyuktān nāvamānayet || 10 ||	evamādyaiḥ anekaiḥ ca sayuktān na avamānayet 
SA_T02_n2988u-22	bhakto ratnatraye śrāddho bodhicittavibhūṣitaḥ |	           
SA_T02_n2988u-23	sarvasattvānukampī ca samayī saṁvare sthitaḥ || 11 ||	sarva sattva anukampī ca samayī sa vare sthitaḥ 
SA_T02_n2988u-24	śuṣkalohitamāṁsaṁ ca bodhicittavimiśritam |	śuṣka lohitam āsa ca bodhi citta vimiśritam 
SA_T02_n2988u-25	mahodakasamāyuktaṁ bhakṣayet tattvavit sadā || 12 ||	mahodaka samāyukta bhakṣayet tattva vid sadā 
SA_T02_n2988u-26	naraśvahayagodīpaṁ kariṇāṁ gardabhasya ca |	nara śva haya go dīpa kariṇā gardabhasya ca 
SA_T02_n2988u-27	bhakṣayet tattvasiddhyarthaṁ sarvasaṅkalpavarjitam || 13 ||	bhakṣayet tattva siddhi artha sarva saṅkalpa varjitam 
SA_T02_n2988u-28	ghātayet tribhavo[tpattiṁ] paravittāni hārayet |	ghātayet tri bhava utpatti para vittāni hārayet 
SA_T02_n2988u-29	kāmayet paradārānvai mṛṣāvādamudīrayet || 14 ||	kāmayet para dārān vai mṛṣāvādam udīrayet  /
SA_T02_n2988u-30	karmaṇā yena vai sattvāḥ kalpakoṭiśatānyapi |	karmaṇā yena vai sattvāḥ kalpa koṭi śatāni api 
SA_T02_n2988u-31	pacyante narake ghore tena yogī vimucyate || 15 ||	pacyante narake ghore tena yogī vimucyate  /
SA_T02_n2988u-32	mahopāyasamāyukto yogī lokārthakārakaḥ |	mahā upāya samāyuktaḥ yogī loka artha kārakaḥ 
SA_T02_n2988u-33	[nākāryaṁ] vidyate tasya sarvasattvajugupsitam || 16 ||	na akārya vidyate tasya sarva sattva jugupsitam 
