segmentnr	original	analyzed
SA_T11_bsa0553u-0	Kṣaṇabhaṅgasidviḥ vyatirekātmikā /	           
SA_T11_bsa0553u-1	vyatirekātmikā vyāptirākṣiptānvayarūpiṇī /	vyatireka ātmikā vyāptiḥ ākṣipta anvaya rūpiṇī 
SA_T11_bsa0553u-2	baidhamyaivati dṛṣṭānte sattve hetorihocyate //	baidhamyā eva iti dṛṣṭānte sattve hetoḥ iha ucyate 
SA_T11_bsa0553u-3	yatsattat kṣaṇikaṃ yathā ghaṭaḥ santaścāmīvivādāspadībhūtāḥ padārthā iti svabhāvo hetuḥ /	yat sat tat kṣaṇikam yathā ghaṭaḥ santaḥ ca amī vivāda āspadībhūtāḥ padārthāḥ iti svabhāvaḥ hetuḥ 
SA_T11_bsa0553u-4	na tāvadasyāsidviḥ sambhavati /	na tāvat asya asidviḥ sambhavati 
SA_T11_bsa0553u-5	yathāyogaṃ pratyakṣānumāṇapramāṇapratīte dharmmiṇi sattvaśabdenābhipretasyārthakriyākāritvalakṣaṇasya sādhanasya pramāṇasamadhigatatvāt /	yathāyogam pratyakṣa anumāṇa pramāṇa pratīte dharmmiṇi sattva śabdena abhipretasya arthakriyā kāri tva lakṣaṇasya sādhanasya pramāṇa samadhigata tvāt 
SA_T11_bsa0553u-6	na ca virudvānaikāntikate /	na ca virudva anaikāntika te 
SA_T11_bsa0553u-7	vyāpakānupalambhātmanā viparyyayabādhakapramāṇena vyāpteḥ prasādhanāt /	vyāpaka anupalambha ātmanā viparyyaya bādhaka pramāṇena vyāpteḥ prasādhanāt 
SA_T11_bsa0553u-8	byāpakañcārthakriyākāritvasya kramākramikāryyaviṣayatvameva /	byāpakam ca arthakriyā kāri tvasya kramākrami kāryya viṣaya tvam eva 
SA_T11_bsa0553u-9	na punaḥ kāraṇagatau kāryyagatau vā kramākramāvasya vyāpakau /	na punar kāraṇa gatau kāryya gatau vā kramākramau asya vyāpakau 
SA_T11_bsa0553u-10	kṛtvā karaṇalakṣaṇasya kramasya kṣaṇike 'sambhavāt /	kṛtvā karaṇa lakṣaṇasya kramasya kṣaṇike sambhavāt 
SA_T11_bsa0553u-11	kāryyagatābhyāṃ kramākramābhyāṃ kāraṇaśaktervyāptayogāt /	kāryya gatābhyām krama akramābhyām kāraṇa śakteḥ vyāpta yogāt 
SA_T11_bsa0553u-12	tasmāt kāraṇagatayā kramākramikāryyaviṣayatayā vyāpyamānā kāraṇaśaktiḥ kramākramavyāptetyucyate /	tasmāt kāraṇa gatayā kramākrami kāryya viṣaya tayā vyāpyamānā kāraṇa śaktiḥ kramākrama vyāptā iti ucyate 
SA_T11_bsa0553u-13	viṣayeṇa viṣayinirddeśāt /	viṣayeṇa viṣayi nirddeśāt 
SA_T11_bsa0553u-14	vyavahāralāghavārthaṃ /	vyavahāra lāghava artham 
