segmentnr	original	analyzed
SA_XX_n557u-0	|| aṣṭasāhasrikā prajñāpāramitā ||	aṣṭasāhasrikā prajñāpāramitā 
SA_XX_n557u-1	om namo bhagavatyai āryaprajñāpāramitāyai |	om namaḥ bhagavatyai ārya prajñāpāramitāyai 
SA_XX_n557u-2	1 sarvākārajñatācaryā prathamaḥ parivartaḥ |	sarva ākāra jña tā caryā prathamaḥ parivartaḥ 
SA_XX_n557u-3	evaṃ mayā śrutam |	evam mayā śrutam 
SA_XX_n557u-4	ekasmin samaye bhagavān rājagṛhe viharati sma gṛdhakūṭe parvate mahatā bhikṣusaṃghena sārdhamardhatrayodaśabhirbhikṣuśataiḥ,	ekasmin samaye bhagavān rājagṛhe viharati sma gṛdhakūṭe parvate mahatā bhikṣu saṃghena sārdham ardha trayodaśabhiḥ bhikṣu śataiḥ 
SA_XX_n557u-5	sarvairarhadbhiḥ kṣīṇāsravairniḥkleśairvaśībhūtaiḥ suvimuktacittaiḥ suvimuktaprajñairājñairājāneyairmahānāgaiḥ kṛtakṛtyaiḥ kṛtakaraṇīyairapahṛtabhārairanuprāptasvakārthaiḥ parikṣīṇabhavasaṃyojanaiḥ samyagājñāsuvimuktacittaiḥ sarvacetovaśiparamapāramiprāptairekaṃ pudgalaṃ sthāpayitvā yaduta āyuṣmantamānandam ||	sarvaiḥ arhadbhiḥ kṣīṇa āsravaiḥ niḥkleśaiḥ vaśībhūtaiḥ su vimukta cittaiḥ su vimukta prajñaiḥ ājñaiḥ ājāneyaiḥ mahā nāgaiḥ kṛtakṛtyaiḥ kṛta karaṇīyaiḥ apahṛta bhāraiḥ anuprāpta svaka arthaiḥ parikṣīṇa bhava saṃyojanaiḥ samyagājñā su vimukta cittaiḥ sarva cetaḥ vaśi parama pārami prāptaiḥ ekam pudgalam sthāpayitvā yat uta āyuṣmantam ānandam 
SA_XX_n557u-6	tatra khalu bhagavānāyuṣmantaṃ subhūtiṃ sthaviramāmantrayate sma-pratibhātu te subhūte bodhisattvānāṃ mahāsattvānāṃ prajñāpāramitāmārabhya yathā bodhisattvā mahāsattvāḥ prajñāpāramitā niryāyuriti ||	tatra khalu bhagavān āyuṣmantam subhūtim sthaviram āmantrayate sma pratibhātu te subhūte bodhisattvānām mahāsattvānām prajñāpāramitām ārabhya yathā bodhisattvāḥ mahāsattvāḥ prajñāpāramitāḥ niryāyuḥ iti 
SA_XX_n557u-7	atha khalvāyuṣmataḥ śāriputrasyaitadabhavat-kimayamāyuṣmān subhūtiḥ sthavira ātmīyena svakena prajñāpratibhānabalādhānena svakena prajñāpratibhānabalādhiṣṭhānena bodhisattvānāṃ mahāsattvānāṃ prajñāpāramitāmupadekṣyati utāho buddhānubhāveneti?	atha khalu āyuṣmataḥ śāriputrasya etat abhavat kim ayam āyuṣmān subhūtiḥ sthaviraḥ ātmīyena svakena prajñā pratibhāna bala ādhānena svakena prajñā pratibhāna bala adhiṣṭhānena bodhisattvānām mahāsattvānām prajñāpāramitām upadekṣyati uta aho buddha anubhāvena iti 
SA_XX_n557u-8	atha khalvāyuṣmān subhūtirbuddhānubhāvena āyuṣmataḥ śāriputrasya imamevarūpaṃ cetasaiva cetaḥparivitarkamājñāya āyuṣmantaṃ śāriputrametadavocat-yatkiṃcidāyuṣman śāriputra bhagavataḥ śrāvakā bhāṣante deśayanti upadiśanti udīrayanti prakāśayanti saṃprakāśayanti,	atha khalu āyuṣmān subhūtiḥ buddha anubhāvena āyuṣmataḥ śāriputrasya imam eva rūpam cetasā eva cetaḥ parivitarkam ājñāya āyuṣmantam śāriputram etat avocat yat kiṃcid āyuṣman śāriputra bhagavataḥ śrāvakāḥ bhāṣante deśayanti upadiśanti udīrayanti prakāśayanti saṃprakāśayanti 
SA_XX_n557u-9	sa sarvastathāgatasya puruṣakāro veditavyaḥ |	sa sarvaḥ tathāgatasya puruṣakāraḥ veditavyaḥ 
