segmentnr	original	analyzed
SA_XX_tarkrplu-0	[M16a, Sh33] [1] tatra pratyakṣaṃ kalpanāpoḍham abhrāntam,	            
SA_XX_tarkrplu-1	[2] Cf. NB I s. 4-6; PVin I 40, 1-9; PVinT 44b1-5; NBT 41, 5-42,2.	ro-0 se-1 fl-
SA_XX_tarkrplu-2	ālocanājñānaṃ nirvikalpakam,	        
SA_XX_tarkrplu-3	tataḥ paraṃ jātyādiyojanātmakaṃ savikalpakam.[3]	tatas param jāti ādi yojana ātmakam 
SA_XX_tarkrplu-4	[3] Cf. ŚV IV 112ab, 120; TS 1285, 1287; TBh 12, 6-7; VR 44, 10-12.	ro-0 cs-1 fl-fl-fl-
SA_XX_tarkrplu-5	avyapadeśyam avikalpakaṃ vyavasāyātmakam.[4]aparam,	avyapadeśyam avikalpakam 
SA_XX_tarkrplu-6	[4] Cf. NS 1, 1, 4; TR 43, 20-21; VR 44, 10.	ro-0 fl-1 fl-2
SA_XX_tarkrplu-7	“na so'sti pratyayo loke yaḥ śabdānugamād ṛte/	na saḥ usti pratyayaḥ loke yaḥ śabda anugamāt ṛte 
SA_XX_tarkrplu-8	anuviddham[5]iva jñānaṃ sarvaṃ śabdena bhāsate[6]//“[7]	jñānam sarvam śabdena 
SA_XX_tarkrplu-9	[5] Sh anubiddham.	anubiddham 
SA_XX_tarkrplu-10	[6] M bhāṣate.	m bhāṣate 
SA_XX_tarkrplu-11	[7] = VP I 131. Cf. PVinT 50a8-b4, 53b4-6.	R vp i 
SA_XX_tarkrplu-12	iti[8]nyāyāt sarvam eva śabdānuviddham,	sarvam eva śabda anuviddham 
SA_XX_tarkrplu-13	iti bhāṭṭa[9]śaivavaiyākaraṇāḥ[10].	iti 
SA_XX_tarkrplu-14	[8] M ito.	m i taḥ 
SA_XX_tarkrplu-15	[9] M bhaṭṭa-.	m bhaṭṭa 
SA_XX_tarkrplu-16	[10] Cf. TRD 76, 4: “naiyāyikamatasya śaivaśāsanasya...”	naiyāyika matasya śaiva śāsanasya 
SA_XX_tarkrplu-17	puruṣapravṛttyaṅgaṃ hi pramāṇam[11],	puruṣa pravṛtti aṅgam hi 
SA_XX_tarkrplu-18	tadaṅgatā ca saṃgatā tasya[12]vikalpakatvenaiva. na,	tad aṅga tā ca saṃgatā na 
SA_XX_tarkrplu-19	arthasāmarthyena samudbhavāt.[13]tatrārthaḥ[14]pṛthivyādibhūtacatuṣṭayam. tatra pṛthvī[15]	artha sāmarthyena tatra 
SA_XX_tarkrplu-20	[11] Cf. PV II 3: dhīpramāṇatā pravṛttes tatpradhānatvād; PVinT97a4f.	           
SA_XX_tarkrplu-21	[12] Sh saṅgatā tvasya.	sh saṅga tā tvasya 
SA_XX_tarkrplu-22	[13] Cf. PVin I 40, 10-11 (v. 4cd).	ro-0 co-1 co 
SA_XX_tarkrplu-23	[14] Sh na cārthaḥ.	na ca arthaḥ 
SA_XX_tarkrplu-24	[15] Sh pṛvivī.	sh pṛvivī 
SA_XX_tarkrplu-25	mahāsanniveśavatī mṛd[16]rūparasagandhakaṭhinasparśādisvabhāvā,	mahā sanniveśavatī 
SA_XX_tarkrplu-26	tatpradeśaviṣayasamudbhūtāś ca pāṣāṇaśoṇamaṇiveṇuvīraṇaprabhṛtayaḥ. evam āpaḥ[17]	tad pradeśa viṣaya samudbhūtāḥ ca pāṣāṇa śoṇa maṇi veṇu vīraṇa prabhṛtayaḥ evam 
SA_XX_tarkrplu-27	[16] M & Sh mṛt/.	m sh mṛd 
SA_XX_tarkrplu-28	[17] M āpa.	m āpa 
SA_XX_tarkrplu-29	śuklamadhuraśītadravasvabhāvāḥ sarasvatsaritsaraḥprabhṛtibhiḥ svabhāvair vivartante,	śukla madhura śīta drava svabhāvāḥ sarasvat sarit saraḥ prabhṛtibhiḥ svabhāvaiḥ vivartante 
SA_XX_tarkrplu-30	kārakādikaṃ[18]ca tatkāryam. evam uṣṇeraṇasparśarūpaśabdasvabhāvo vahnyādiko[19][20]'pi.	tat kāryam evam uṣṇa īraṇa sparśa rūpa śabda svabhāvaḥ 
SA_XX_tarkrplu-31	[18] Sh karakā-.	karakā 
SA_XX_tarkrplu-32	[19] Sh bahny-.	sh bahni 
SA_XX_tarkrplu-33	tasyālambanapratyayatvena[21]janyaṃ pāṣāṇādyākārajñānaṃ[22]niyamitapratibhāsatayā śabdasaṃsargāyogyam.	        
SA_XX_tarkrplu-34	[21] M -pratyakṣayatvena;	m pratyakṣaya tvena 
SA_XX_tarkrplu-35	Sh -pratyakṣayatnena.	pratyakṣa yatnena 
SA_XX_tarkrplu-36	[22] Sh -rakajñā-.	sh ra ka jñā 
SA_XX_tarkrplu-37	kathan [Sh34] dharmidharmābhidhānārthakriyāyojanā[M16b]yāṃ[23]yogyaṃ[24]pravartakam iti cet,	kathan iti ced 
SA_XX_tarkrplu-38	[23] Sh kiṃ khalu --- sādharmyābhidhānā-.	kim khalu sādharmya abhidhānā 
SA_XX_tarkrplu-39	[24] M & Sh -yām ayogyaṃ.	yām ayogyam 
SA_XX_tarkrplu-40	taddṛṣṭāv eva dṛṣṭeṣu saṃvitsāmarthyabhāvinaḥ[25]/	tad dṛṣṭau eva dṛṣṭeṣu 
SA_XX_tarkrplu-41	smaraṇād abhilāṣeṇa vyavahāraḥ pravartate//[26]	smaraṇāt abhilāṣeṇa vyavahāraḥ 
SA_XX_tarkrplu-42	[25] M -rthyaṃbhāvi-.	rthyaṃbhāvi 
SA_XX_tarkrplu-43	[26] = PVin I v. 18.Cf. TR 12,3-23.	R pvin i v 
SA_XX_tarkrplu-44	na vikalpakam[27]apy adhyakṣam[28]. svalpakālāvasthitatvena nirodhanād[29] ūrdhvasvabalotpannavyavahāro smārtavikalpam[30]apekṣate. tad evam	na su alpa kāla avasthita tvena tat evam 
SA_XX_tarkrplu-45	[27] Sh savikalpa-.	sa vikalpa 
SA_XX_tarkrplu-46	[28] M apyakṣadhyakṣaṃ.	m 
SA_XX_tarkrplu-47	[29] Or nirodhād ?. M nirodhānād ; Sh nidhānād.	oḥ nirodhāt nirodhānāt sh nidhānāt 
SA_XX_tarkrplu-48	[30] M -hārakasmārtta- ;	    
SA_XX_tarkrplu-49	Sh -hārakarmāt tu vika-.	hāra karmāt tu vika 
SA_XX_tarkrplu-50	nirvikalpake'py astu vyavahārakam. tataś ca jñānair eva parasparam ālocy eva vyavahāryavyahārakair upadarśakopadarśyamānavyavasthā yādṛśī sthāpitā,	nirvikalpake api astu vyavahārakam tatas ca jñānaiḥ eva parasparam ālocī eva vyavahārya vyahārakaiḥ upadarśaka upadarśyamāna vyavasthā yādṛśī sthāpitā 
SA_XX_tarkrplu-51	kevalam anuvadāmas tādṛśīm aparavyutpattaye.	kevalam anuvadāmaḥ tādṛśīm apara vyutpattaye 
SA_XX_tarkrplu-52	tasmiṃś ca vikalpe'vidyānubhavavāsanopanīte[31][32]dravyam,	tasmin ca 
SA_XX_tarkrplu-53	tadāśritāś ca jātyādayo 'vidyābalena kalpitāḥ. kutaś cid anubhavasambandhāś ca saṃsthānopādhipāṣāṇarūparasādisvabhāvā[33]vibhāvyante.	tad āśritāḥ ca jāti ādayaḥ vidyā balena kalpitāḥ kutas cit anubhava sambandhāḥ ca 
SA_XX_tarkrplu-54	dravyādāv upalabdhilakṣaṇaprāptānupalabdhatvena bādhanād avidyātvam. upalambhasambhāvitatvāc[34]	dravya ādau upalabdhi lakṣaṇa prāpta anupalabdha tvena bādhanāt avidyā tvam 
SA_XX_tarkrplu-55	ca rūpāder arthakatvam[35][36],	ca rūpa ādeḥ 
SA_XX_tarkrplu-56	tato dravyāder apūrvārthatve'py anarthatvād aprāmāṇyam. rūpādau gṛhītagrahaṇāt smārtatvam.[37] na cāprasiddhaviśeṣyādikaṃ[38]durmativispanditam.	tatas dravya ādeḥ apūrva artha tve pi anartha tvāt aprāmāṇyam rūpa ādau gṛhīta grahaṇāt na 
SA_XX_tarkrplu-57	[31] M & Sh -nubhavavyasano-. (Cf. TR 39, 1-2; 43,	ro 
SA_XX_tarkrplu-58	4: avidyānubhavavāsanā-)	        
SA_XX_tarkrplu-59	[32] Cf. PV I 68-91, 205; PVSV 42, 13-18; 50, 17-20.	ro-0 fl-1 fl-2 
SA_XX_tarkrplu-60	[33] Cf. NBT 41, 5-42,2. Cf. TBh 66, 11f.	ro-0 fl-1 fl-2 
SA_XX_tarkrplu-61	[34] M & Sh -bhavita-.	m sh bhavita 
SA_XX_tarkrplu-62	[35] M arthakaṃtvaṃ.	arthakaṃtvam 
SA_XX_tarkrplu-63	[36] Cf. PVSV ad PV I 215; PV III 6.	cf pv ad pv iii
SA_XX_tarkrplu-64	[37] Cf. HB* 2, 20-3,16.	ro-0 fl-
SA_XX_tarkrplu-65	[38] M -siddharaviśe- ;	m 
SA_XX_tarkrplu-66	Sh -siddhe viśe.	siddhe viśe 
SA_XX_tarkrplu-67	sādharmyādidṛgapekṣāyāṃ hi tathālakṣitaṃ rajataśuktivat.[39]	sādharmya ādi dṛś apekṣāyām hi tathā lakṣitam 
SA_XX_tarkrplu-68	[39] Cf. PV III 360, 362.	ro-0 fl-3 
SA_XX_tarkrplu-69	[40]astīyam api yā tv antarupaplavasamudbhavā[41]//	api yā tu 
SA_XX_tarkrplu-70	doṣodbhavā[42]prakṛtyā sā vitathapratibhāsinī/	sā vitatha pratibhāsinī 
SA_XX_tarkrplu-71	[41] M antarūpa-.	m anta rūpa 
SA_XX_tarkrplu-72	[42] M & Sh -bhavāt.	bhavāt 
SA_XX_tarkrplu-73	[43] M -distaimi- ; Sh -di sauṣirā-.	distaimi sh di sauṣirā 
SA_XX_tarkrplu-74	[44] = PV III 361cd-362 = PVin I 53cd-54.Cf. PVSV 50, 17f.	R se 
SA_XX_tarkrplu-75	ekaṃ dharmiṇam uddiśya nānādharmasamāśrayam/	ekam dharmiṇam uddiśya nānā dharma samāśrayam 
SA_XX_tarkrplu-76	vidhāv ekasya tadbhājam ivānyeṣām[45]upekṣakam//	vidhau ekasya tad bhājam 
SA_XX_tarkrplu-77	[45] M -nyaiṣām.	m nyaiṣām 
SA_XX_tarkrplu-78	niṣedhe tadviviktañ ca tadanyeṣām apekṣakam/	niṣedhe tad viviktam ca tad anyeṣām apekṣakam 
SA_XX_tarkrplu-79	[Sh35] vyavahāram asatyārthaṃ prakalpayati dhīr yathā//	vyavahāram asatya artham prakalpayati dhīḥ yathā 
SA_XX_tarkrplu-80	taṃ tathaivāvikalpyārthabhedāśrayam[46]upāgatāḥ/	tam 
SA_XX_tarkrplu-81	anādivāsanodbhūtaṃ bādhante'rthaṃ na laukikam//[47]	anādi vāsanā udbhūtam bādhanta irtham na 
SA_XX_tarkrplu-82	[46] Sh -vikalpārtha” bhe-.	vikalpa artha bhe 
SA_XX_tarkrplu-83	[47] = PV IV 232-4 = PVin II v.23-25 (= 24-26. Cf. Ch. Lindtner,	ro-0 fl-1 fl-2 fl-3 fl-4 
SA_XX_tarkrplu-84	Marginalia to Dharmakīrti's Pramāṇaviniścaya I-II, WZKS 28, 1984). Cf. PVin II-2 p. 43.	dharma kīrti pramāṇa viniścaya 
SA_XX_tarkrplu-85	yady ayam avidyāvirbhūtadravyādivivarto vikalpaḥ,	             
SA_XX_tarkrplu-86	katham akhilajantusantānasambhavī,	katham akhila jantu santāna sambhavī 
SA_XX_tarkrplu-87	kathañ ca mahadbhir api śāstrakṛdbhir anuvartitaḥ,	katham ca mahadbhiḥ api śāstra kṛdbhiḥ anuvartitaḥ 
SA_XX_tarkrplu-88	kathañ ca bhavatām api pratipadyāpy avidyātvaṃ tathaiva dravyādivyavahārābhiniveśaḥ. niyatasvalakṣaṇapratibhāsajanitatvāt sarvasantānasambhavī,	katham ca bhavatām api avidyā tvam tathā eva dravya ādi vyavahāra abhiniveśaḥ niyata sva lakṣaṇa pratibhāsa janita tvāt sarva santāna sambhavī 
SA_XX_tarkrplu-89	svalakṣaṇasyaiva dravyāditvena pratyākalanāt. tatprāptau tadarthakriyāpratilambhe samāptatvād abhilāṣasya[48]bādhakānavadhānam.	sva lakṣaṇasya eva dravya ādi tvena pratyākalanāt tad prāptau tad arthakriyā pratilambhe samāpta tvāt 
SA_XX_tarkrplu-90	[48] M abhilāsasya;	m abhilāsasya 
SA_XX_tarkrplu-91	Sh abhilāpasya.	abhilāpasya 
SA_XX_tarkrplu-92	śāstrakārair api vikalpapratyayasyaiva sukhakāṅkṣadbhis[49]tathaiva vyavasthāpitam-	śāstra kāraiḥ api vikalpa pratyayasya eva vyavasthāpitam 
SA_XX_tarkrplu-93	[49] Sh svargaṃkāṅ-.	sh 
SA_XX_tarkrplu-94	vikalpavyavahāreṣu samānau bālapaṇḍitau/[50]	vikalpa vyavahāreṣu samānau 
SA_XX_tarkrplu-95	[50] Cf. Tattvopaplavasiṃha (E. Franco,	tattva upaplava siṃha 
SA_XX_tarkrplu-96	“Perception,	perception 
SA_XX_tarkrplu-97	Knowledge and Disbelief“, Stuttgart, 1987)	knowledge and disbelief 
SA_XX_tarkrplu-98	, p. 68, 7: “lokavyavahāraṃ prati sādṛśau bālapaṇḍitau”;	loka vyavahāram prati sādṛśau bāla paṇḍitau 
SA_XX_tarkrplu-99	Traikālyaparīkṣā (Dignāga)	traikālya parīkṣā dignāga 
SA_XX_tarkrplu-100	, v. 4 (= VP III-3-55)	Ro-0 
SA_XX_tarkrplu-101	cd: jñānaṃ praty abhilāsaṃ ca sādṛśaṃ bālapaṇḍitau“.	jñānam prati abhilāsam ca sādṛśam bāla paṇḍitau 
SA_XX_tarkrplu-102	kevalaṃ bādhitatvavyavasāyāt paṇḍitas taditaro bālaḥ. mokṣākāṅkṣayā pratikṣaṇakṣīṇatām abhilakṣya “pratyakṣasya parīkṣitaṃ sākṣātkaraṇaṃ[51]dravyādikaṃ prati nāstī“ty ākhyātam.	kevalam bādhita tva vyavasāyāt paṇḍitaḥ tad itaraḥ bālaḥ mokṣa ākāṅkṣayā prati kṣaṇa kṣīṇa tām abhilakṣya pratyakṣasya parīkṣitam prati na asti iti ākhyātam 
SA_XX_tarkrplu-103	[51] Sh -karaśaṃ.	karaśam 
SA_XX_tarkrplu-104	śāstrakārāṇām apy artheṣv atrā[M17b]nyāviparītasvabhāvopasaṃhārasambhavāt. śāstraṃ [52] hi mohanivartanam[53]ārabdham. sthūlaparāmarśād[54]vyāmohaḥ,	śāstra kārāṇām api artheṣu śāstram hi 
SA_XX_tarkrplu-105	sa ca sūkṣmāvāntaraparāmarśād[55] apasarati.	sa ca apasarati 
SA_XX_tarkrplu-106	[52] M om. ḥ.	m om ḥ 
SA_XX_tarkrplu-107	[53] Cf. TR 11, 2: “śāstraṃ mohanivartanam”; 11,	        
SA_XX_tarkrplu-108	13-14: “vyāmohāpohayarabdham eva śastram“.	eva śastram 
SA_XX_tarkrplu-109	[55] Sh -marśad.	sh marśat 
SA_XX_tarkrplu-110	yathā rūpam iti cakṣurvijñānajanakatvena saṅketaḥ kṛtaḥ evaṃ svagrāhīndriyajñānāpekṣayā	yathā rūpam iti cakṣuḥ vijñāna janaka tvena saṅketaḥ kṛtaḥ evam sva grāhi indriya jñāna apekṣayā 
SA_XX_tarkrplu-111	rasādike'pi vākyam[56]. tato ghaṭapaṭapaṅkapallavādiṣu tadanyavyāvṛttena rūpeṇa rūpādayo	rasa ādike api tatas ghaṭa paṭa paṅka pallava ādiṣu tad anya vyāvṛttena rūpeṇa rūpa ādayaḥ 
SA_XX_tarkrplu-112	'bhinnāḥ[57]vyavahriyante. vyavahārahetur ekapratyavamarśapratyayaḥ,	           
SA_XX_tarkrplu-113	ekasya pratyava[Sh36]marśa[58]ekatvāropī[59]pratyavamarśa ity arthaḥ. sa cāpy avidyāvaśād[60] ekatvāropī. tadbalāt sāmānyaṃ kalpayanti,	ekasya iti arthaḥ sa ca api ekatva āropī tad balāt sāmānyam kalpayanti 
SA_XX_tarkrplu-114	arūpādirūpasāmānyānupalambhāntaraparāmarśāt[61][62] tanniṣedhaḥ.	      
SA_XX_tarkrplu-115	[56] Sh vācyam.	vācyam 
SA_XX_tarkrplu-116	[57] M om. ḥ.	m om ḥ 
SA_XX_tarkrplu-117	[58] Sh -marśaḥ.	sh marśaḥ 
SA_XX_tarkrplu-118	[59] M -āroropī.	m āroropī 
SA_XX_tarkrplu-119	[60] M & Sh cāpi vidyā-.	ca api vidyā 
SA_XX_tarkrplu-120	[61] Sh svarūpā-.	sh sva rūpā 
SA_XX_tarkrplu-121	[62] Cf. TR 38, 11: “dravyam arūpādirūpam”; NC 780,	dravyam arūpa ādi rūpam 
SA_XX_tarkrplu-122	2: “na sāmānyākhyaḥ,	na sāmānya ākhyaḥ 
