segmentnr	original	analyzed	translated
['MBRudraYamalaHK-0']	Muktabodha Etext in UTF	muktabodha etext in utf	Muktabodha Text in UTF-8
['MBRudraYamalaHK-1']	MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww /muktabodha /org Muktabodha Indological Research Institute All Rights Reserved /Etexts may be viewed only online or downloaded for private study /Etexts may not / under any circumstances / be copied / republished /reproduced / distributed or sold / either in original or altered form / withoutthe express permission of Muktabodha Indological Research Institute in writing /Dataentered by the staff of Muktabodha under the direction of Mark S / G / Dyczkowski /Catalog number /	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /	Muktabodha Indological Research Institute www.muktabodha.org Muktabodha Indological Research Institute. All Rights Reserved. Texts may be viewed online or downloaded for private study. Texts may not be distributed or sold in any form, including email, without the express written permission of Muktabodha Indological Research Institute. Text entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski. Catalog Number:
['MBRudraYamalaHK-2']	Uniform title / rudrayamalatantra uttarakāṇḍa	uniform title rudrayamalatantra uttara kāṇḍa 	Uniform Title: Rudrayamalatantrottarakhanda
['MBRudraYamalaHK-3']	Editor /Malaviya S /	e t itoḥ malaviyaḥ s 	Editor: Malaviya S.
['MBRudraYamalaHK-4']	Description / This etext was created from electronic typesetting files in devanagari of Dr / S / Malaviya and converted into roman transliteration by programs written by the staff of Muktabodha /	description this etext was created from electronic typesetting files in devanagari of dr s malaviya and converted into roman transliteration by programs written by the staff of muktabodha 	Description: This text was created from electronic typesetting files in Devanagari of Dr. S. Malaviya and converted into Roman transliteration by programs written by the staff of Muktabodha.
['MBRudraYamalaHK-5']	Notes / Licenced for noncommercial use under the Creative Commons Licence /	notes liced for noncommercial use under the creative commons licence 	Notes: Licensed for non-commercial use under the Creative Commons License.
['MBRudraYamalaHK-6']	Revision / June / this is a reformatted version of revision /	revision june  this is a reformatted vession of revision 	Revision: June. This is a reformatted version of revision.
['MBRudraYamalaHK-7']	Publisher / Internet publisher / Muktabodha Indological Research Institut	publisheḥ internet publisheḥ muktabodha indological research institut 	Publisher: Internet Publisher. Muktabodha Indological Research Institute
['MBRudraYamalaHK-8']	Publication year /	publication year 	Publication year: 2010
['MBRudraYamalaHK-9']	Publication country / United States	publication country united states 	Publication country: United States
['MBRudraYamalaHK-10']	atha prathamaḥ paṭalaḥ	atha prathamaḥ paṭalaḥ 	Now, the first chapter
['MBRudraYamalaHK-11', 'MBRudraYamalaHK-12']	bhairava uvāca🔽parā śrīparameśānīvadanāmbhojaniḥsṛtam /	bhairavaḥ uvāca               	Bhairava said🔽The great tantra Shri Yamala, which emerged from the lotus face of the supreme goddess,
['MBRudraYamalaHK-13']	śrīyāmalaṃ mahātantraṃ svatantraṃ viṣṇuyāmalam // //	śrī yāmalam mahā tantram svatantram viṣṇuyāmalam 	The independent Vishnu Yamala tantra,
['MBRudraYamalaHK-14']	śaktiyāmalamākhyātaṃ brahmaṇaḥ stutihetunā /	śaktiyāmalam ākhyātam brahmaṇaḥ stuti hetunā 	Is known as Shakti Yamala, due to Brahma's praise.
['MBRudraYamalaHK-15']	brahmayāmalavedāṅgaṃ sarvañca kathitaṃ priye // //	brahma yāmala vedāṅgam sarvañca kathitam priye 	The entire Vedanga Brahma Yamala has been told, O beloved.
['MBRudraYamalaHK-16']	idānīmuttarākāṇḍaṃ vada śrīrudrayāmalam /	idānīm uttarā kāṇḍam vada śrī rudrayāmalam 	Now tell the Uttara Kanda, the Shri Rudra Yamala.
['MBRudraYamalaHK-17']	yadi bhāgyavaśād devi / tava śrīmukhapaṅkaje // //	yadi bhāgya vaśāt devi tava śrī mukha paṅkaje 	If by the grace of fate, O Goddess, in your lotus face,
['MBRudraYamalaHK-18']	yāni yāni svatantrāṇi saṃdattāni mahītale /	yāni yāni svatantrāṇi saṃdattāni mahī tale 	The independent ones that have been given on the earth,
['MBRudraYamalaHK-19']	prakāśaya mahātantraṃ nānyatantreṣu tṛptimān // //	prakāśaya mahā tantram na anya tantreṣu tṛptimān 	Reveal the great Tantra, not satisfied with other Tantras.
['MBRudraYamalaHK-20']	sarvavedāntavedeṣu kathitavyaṃ tataḥ param /	sarva vedānta vedeṣu kathitavyam tatas param 	Then it should be told in all the Vedanta Vedas.
['MBRudraYamalaHK-21']	tadā te bhaktavargāṇāṃ siddhiḥ sañcarate dhruvam // //	tadā te bhakta vargāṇām siddhiḥ sañcarate dhruvam 	Then the Siddhi of your groups of devotees certainly circulates.
['MBRudraYamalaHK-22']	yadi bhakte dayā bhadre / vada tripurasundari	yadi bhakte dayā bhadre vada tripurasundari 	If you have compassion for the devotee, O good one, tell me, O Tripura Sundari,
['MBRudraYamalaHK-23']	mahābhairavavākyañca paṅkajāyatalocanā // //	mahā bhairava vākyam ca paṅkaja āyata locanā 	And the words of Maha Bhairava, O lotus-eyed one.
['MBRudraYamalaHK-24']	śrutvovāca mahākālī kathayāmāsa bhairavam /	śrutvā uvāca mahākālī kathayāmāsa bhairavam 	Having heard, Maha Kali spoke and told Bhairava.
['MBRudraYamalaHK-25']	bhairavī uvāca	bhairavī uvāca 	Bhairavi said:
