segmentnr	original	analyzed	translated
['MBkaalikaarahasyamHK-0']	Muktabodha Etext in UTF	muktabodha etext in utf	Muktabodha Text in UTF-8
['MBkaalikaarahasyamHK-1']	MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww /muktabodha /org Muktabodha Indological Research Institute All Rights Reserved /Etexts may be viewed only online or downloaded for private study /Etexts may not / under any circumstances / be copied / republished /reproduced / distributed or sold / either in original or altered form / withoutthe express permission of Muktabodha Indological Research Institute in writing /Dataentered by the staff of Muktabodha under the direction of Mark S / G / Dyczkowski /Catalog number /	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /	Muktabodha: The Indological Research Institute www.muktabodha.org Muktabodha: The Indological Research Institute. All Rights Reserved. Texts may be downloaded for private study but not distributed without permission. They are sold at cost only to cover handling and postage. For further information, please email to: info@muktabodha.org or visit our website: www.muktabodha.org or write to this address: The Director, The Indological Research Institute, 14, Kilpauk 4th Street, Typed by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski. Catalogue Number:
['MBkaalikaarahasyamHK-2', 'MBkaalikaarahasyamHK-3']	Uniform title / kālikārahasya🔽Manuscript / IFP/EFEO transcript	uniform title kālikārahasya  manuscript 	Uniform Title: Kālikā-Rahasya🔽Manuscript: IFP.Efeo Transcript
['MBkaalikaarahasyamHK-4']	Notes / Copied from IFP /EFEO transcript which itself is a copy of Adyar library manuscript /	notes copied from ifpefeo transcript  which itself is a copy of adyar library manuscript 	Notes: Copied from IFP.Efeo transcript which itself is a copy of Adyar Library manuscript.
['MBkaalikaarahasyamHK-5']	Data entered by the staff of Muktabodha under the supervision of Mark S / G / Dyczkowski /	data entered by the staff of muktabodha under the supervision of mark s g dyczkowski 	Therefore entered by the staff of Muktabodha under the supervision of Mark S. G. Dyczkowski.
['MBkaalikaarahasyamHK-6']	Revision / Sept / /	revision 	Revision. Sept.
['MBkaalikaarahasyamHK-7']	Publication country / India	publication country india 	Publication country. India
['MBkaalikaarahasyamHK-8']	kālikārahasya	kālikārahasya 	Kali Secret
['MBkaalikaarahasyamHK-9']	śubhamastu	śubham astu 	May there be auspiciousness
['MBkaalikaarahasyamHK-10', 'MBkaalikaarahasyamHK-11']	avibhamastu //🔽śrī kailāsadharāgrasaudhanilayaṃ śītāṃśu bimbasphuranmāṇikya	avibhamaḥ tu  śrī kailāsa dharā agra saudha nilayam śītāṃśu bimba sphurat māṇikya 	May there be non-confusion.🔽The one who resides in the excellent abode on the peak of Kailash, shining with the orb of the cool-rayed moon,
['MBkaalikaarahasyamHK-12']	sphuṭasatkirīṭamabhavan mandāramālānvitam /	sphuṭa sat kirīṭam abhavat mandāra mālā anvitam 	with a splendid crown of real jewels, adorned with a garland of mandara flowers,
['MBkaalikaarahasyamHK-13']	śobhantaṃ pramadairmahābalayutai śeṣāsurāścāsuraiḥ	śobhantam pramadaiḥ mahā bala yutaiḥ śeṣa asurāḥ ca asuraiḥ 	shining with the great powerful Pramathas, Shesha, Asuras and Asuras,
['MBkaalikaarahasyamHK-14']	gaurīmantrarahasya vittamamajaṃ pañcānanaṃ śaṅkaram /	gaurī mantra rahasya vittamam ajam pañcānanam śaṅkaram 	The unborn Shankara, the knower of the secret mantras of Gauri,
['MBkaalikaarahasyamHK-15']	śṛṇvatāṃ cāpi manobhīṣṭaphalapradāḥ / santyāgamoktā	śṛṇvatām ca api manaḥ bhīṣṭa phala pradāḥ santi āgama uktā 	are also bestowers of the desired fruits to those who listen. They are mentioned in the Agamas
['MBkaalikaarahasyamHK-16']	nigamacoditā mokṣadāyakāḥ / gāyatrī bagalā balā śyāmalā	                                              	and are givers of liberation when enjoined by the Vedas. Gayatri, Bagala, Bala, Shyamala,
['MBkaalikaarahasyamHK-17', 'MBkaalikaarahasyamHK-18']	nakulī tathā /🔽dhenuvāgeśvarī caiva vārāhī kavirājarājeśvarī caiva tathā	nakulī tathā  dhenu vāgeśvarī ca eva vārāhī kavi rāja rāja īśvarī ca eva tathā 	Nakuli,
