segmentnr	original	analyzed	translated
['MBpranotisini_6_HK-0']	Muktabodha Etext in UTF	muktabodha etext in utf	Muktabodha Text in UTF-8
['MBpranotisini_6_HK-1']	MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww /muktabodha /org Muktabodha Indological Research Institute All Rights Reserved /Etexts may be viewed only online or downloaded for private study /Etexts may not / under any circumstances / be copied / republished /reproduced / distributed or sold / either in original or altered form / withoutthe express permission of Muktabodha Indological Research Institute in writing /Dataentered by the staff of Muktabodha under the direction of Mark S / G / Dyczkowski /Catalog number /	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /	Muktabodha Indological Research Institute www.muktabodha.org Muktabodha Indological Research Institute. All Rights Reserved. Texts may be viewed online or downloaded for private study. Texts may not be distributed or sold in any form, including email, without the express written permission of Muktabodha Indological Research Institute. Text entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski. Catalog Number:
['MBpranotisini_6_HK-2']	Uniform title / prāṇatoṣiṇī part	uniform title prāṇatoṣiṇī part 	Uniform Title: Pranatosini Part
['MBpranotisini_6_HK-3']	Author /rāmatoṣaṇa compiler	authoḥ rāmatoṣaṇa compileḥ 	Author: Ramatoshana Compiler
['MBpranotisini_6_HK-4']	Description / Compiled by rāmatoṣaṇa bhaṭṭācārya Originally published by kalikātā in Bengali script in the tantrasārādivividhatantrasaṃgraha	description compiled by rāmatoṣaṇa bhaṭṭācārya originally published by kalikātā in bengali script in the tantrasāra ādi vividha tantra saṃgraha 	Description. Compiled by Ramatoshon Bhattacharaya. Originally published in Bengali script in Calcutta. Tantra Sāra and Various Tantra Collections
['MBpranotisini_6_HK-5']	Notes / Dataentered by the staff of Muktabodha under the supervision of Mark S / G / Dyczkowski /	notes data entered by the staff muktabodha under the supervision of mark s g dyczkowski 	Notes. Entered by the staff of Muktabodha under the supervision of Mark S. G. Dyczkowski.
['MBpranotisini_6_HK-6']	Revision / Feb / / /	roution 	Revision. Feb.
['MBpranotisini_6_HK-7']	Publisher / kalikātā	publisheḥ kalikātā 	Publisher. Calcutta
['MBpranotisini_6_HK-8']	Publication year / Pre	publication year 	Publication year. Pre
['MBpranotisini_6_HK-9']	Publication country / India	publication country india 	Publication country. India
['MBpranotisini_6_HK-10', 'MBpranotisini_6_HK-11']	Prāṇatoṣiṇī🔽śrīrāmatoṣaṇa bhaṭṭācaryyeṇa	prāṇa toṣiṇī  śrī rāmatoṣaṇa bhaṭṭa ācaryyeṇa 	Pranatosini🔽By Sri Ramatoshon Bhattacarya
['MBpranotisini_6_HK-12']	ṭantraśāstrāt saṃkalayya viracitā /	ṭantra śāstrāt saṃkalayya viracitā 	Compiled from the Tantra Shastra and composed.
['MBpranotisini_6_HK-13']	Vi / e upādhidhāriṇā paṇḍitakulapatinā	upādhi dhāriṇā paṇḍita kula patinā 	By the title-holder, the learned Kulapati
['MBpranotisini_6_HK-14']	śrījīvānandavidyāsāgarabhaṭṭāacaryyeṇa prakāśitā /	śrī jīvānanda vidyāsāgara bhaṭṭāa caryyeṇa prakāśitā 	Published by Sri Jivananda Vidyasagara Bhattacarya.
['MBpranotisini_6_HK-15']	Kalikātānagare	kalikātā nagare 	In the city of Calcutta
['MBpranotisini_6_HK-16']	Kalikātā yantre mudritā	kalikātā yantre mudritā 	Printed in the Calcutta Press
['MBpranotisini_6_HK-17']	atha dvārakāśilālakṣaṇam // skandapurāṇe //	atha dvārakā śilā lakṣaṇam skandapurāṇe 	Now, the definition of the stone with the door-like cavity, in the Skanda Purana:
['MBpranotisini_6_HK-18']	cakre tu dṛśyate liṅgaṃ śilāyāṃ nārada / kvacit / śrīdharaḥ sa tu	cakre tu dṛśyate liṅgam śilāyām nārada kvacid śrīdharaḥ sa tu 	O Narada, the Linga is seen in the stone, sometimes. He is Sri Hari.
