segmentnr	original	analyzed	translated
['MBsarvollaasatantraHK-0']	Muktabodha Etext in UTF	muktabodha etext in utf	Muktabodha Text in UTF-8
['MBsarvollaasatantraHK-1']	MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww /muktabodha /org Muktabodha Indological Research Institute All Rights Reserved /Etexts may be viewed only online or downloaded for private study /Etexts may not / under any circumstances / be copied / republished /reproduced / distributed or sold / either in original or altered form / withoutthe express permission of Muktabodha Indological Research Institute in writing /Dataentered by the staff of Muktabodha under the direction of Mark S / G / Dyczkowski /Catalog number /	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /	Muktabodha: The Indological Research Institute www.muktabodha.org Muktabodha: The Indological Research Institute. All Rights Reserved. Texts may be viewed online or downloaded for private study. Texts may not be modified or distributed in any form without the express written permission of the Muktabodha Research Institute. Entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski. Catalog Number:
['MBsarvollaasatantraHK-2']	Uniform title / sarvollasatantra	uniform title 	Uniform Title: Sarvollasa-tantra
['MBsarvollaasatantraHK-3']	Author /sarvānanda	authoḥ sarvānanda 	Author: Sarvananda
['MBsarvollaasatantraHK-4']	Alternate name /sarvānandanātha	alternate name sarvānandanātha 	Alternate Name: Sarvanandanatha
['MBsarvollaasatantraHK-5']	Editor /gopīnātha kavirāja	gopīnātha kavi rāja 	Editor: Gopinarayana Kaviraja
['MBsarvollaasatantraHK-6']	Notes / Transcribed by the staff of Muktabodha under the direction of Mark Dyczkowski /	notes transcribed by the staff of muktabodha under the direction of mark dyczkowski 	Notes: Transcribed by the staff of Muktabodha under the direction of Mark Dyczkowski.
['MBsarvollaasatantraHK-7']	Revision / Sept / /	revision 	Revision: September 2008.
['MBsarvollaasatantraHK-8']	Publication year /	publication year 	Publication year: 2008.
['MBsarvollaasatantraHK-9']	Publication country / India	publication country india 	Publication country: India.
['MBsarvollaasatantraHK-10']	srīgurave namaḥ /	srī gurave namaḥ 	Salutations to the female guru.
['MBsarvollaasatantraHK-11']	atha śrīsarvānandanāthakṛtasarvollāsasya	atha śrī sarva ānandanātha kṛta sarva ullāsasya 	Now, in the Sarvollasas composed by the illustrious Sarvanandanatha,
['MBsarvollaasatantraHK-12']	ullāsanirṇayaḥ //	       	The determination of the Ullasas.
['MBsarvollaasatantraHK-13']	prakṛterlakṣaṇaṃ śāstrardevatāmūrtikalpanaṃ /	prakṛteḥ lakṣaṇam 	The definition of Prakriti, the imagination of the forms of the deities of the scriptures,
['MBsarvollaasatantraHK-14']	ullāse prathame vakṣye nigamāgamalakṣaṇam // //	ullāse prathame vakṣye nigama āgama lakṣaṇam 	In the first Ullasas, I will speak of the definition of the Vedas and Agamas.
['MBsarvollaasatantraHK-15']	vakṣye'haṃ tantranāmāni dvitīyollāsakepi ca /	vakṣye iham tantra nāmāni dvitīya ullāsake api ca 	I will also speak of the names of the Tantras in the second Ullasas,
['MBsarvollaasatantraHK-16']	tricatuḥpañcamolāse sṛṣṭyutpattiṃ vadāmyaham // //	sṛṣṭi utpattim vadāmi aham 	In the third, fourth, and fifth Ullasas, I will speak of the creation and origination.
['MBsarvollaasatantraHK-17']	ṣaṣṭhe sṛṣṭilayaṃ vakṣye saptame bhāvalakṣaṇam /	ṣaṣṭhe sṛṣṭi layam vakṣye saptame bhāva lakṣaṇam 	In the sixth, I will speak of the dissolution of creation, in the seventh, the definition of Bhava,
['MBsarvollaasatantraHK-18', 'MBsarvollaasatantraHK-19']	ācārañcāṣṭame vakṣye kumāryā lakṣaṇaṃ vidhim // //🔽vakṣye'haṃ navamollāse bhāvādināmalakṣaṇam /	ācāran ca aṣṭame vakṣye kumāryāḥ lakṣaṇam vidhim  vakṣye iham navama ullāse bhāva ādi nāma lakṣaṇam 	In the eighth, I will speak of the conduct and the definition of the rite of the virgin.🔽In the ninth Ullasas, I will speak of the definition of the names such as Bhava and others.
['MBsarvollaasatantraHK-20']	daśame śrīgurordhyānamekādaśe'pi lakṣaṇam // //	daśame śrī guroḥ dhyānam ekādaśe api lakṣaṇam 	In the tenth, the meditation of the illustrious guru, in the eleventh, the definition.
['MBsarvollaasatantraHK-21']	dvādaśe vaiṣṇavācāraṃ tato bhaktiṃ trayodaśe /	dvādaśe vaiṣṇava ācāram tatas bhaktim trayodaśe 	In the twelfth, the conduct of the Vaishnavas, then devotion in the thirteenth,
['MBsarvollaasatantraHK-22']	vakṣye caturdaśollāse balilakṣaṇamuttamam // //	vakṣye caturdaśa ullāse bali lakṣaṇam uttamam 	In the fourteenth Ullasas, I will speak of the excellent definition of the bali offering.
['MBsarvollaasatantraHK-23']	aṣṭāṅgayogasaṃsiddhiṃ vaiṣṇavācārameva ca /	aṣṭāṅga yoga saṃsiddhim vaiṣṇava ācāram eva ca 	I will describe the perfection of the eight-limbed yoga, the conduct of the devotees of Vishnu,
['MBsarvollaasatantraHK-24']	vakṣye pañcadaśollāse śaivācāraṃ tathaiva ca // //	vakṣye pañcadaśa ullāse śaiva ācāram tathā eva ca 	And likewise the conduct of the Shaivas in the fifteenth Uल्लास.
['MBsarvollaasatantraHK-25']	bibhāvau vīrapaśavorllakṣaṇaṃ pañcatattvakam /	bibhāvau vīra paśavoḥ lakṣaṇam pañca tattvakam 	The characteristics of the Vīra and Paśu, the five principles,
['MBsarvollaasatantraHK-26']	tattvasyaivānukalpañca tilakañcaiva ṣoḍaśe // //	tattvasya eva anukalpam ca tilakam ca eva ṣoḍaśe 	And the substitute for the principle, and the tilaka in the sixteenth.
['MBsarvollaasatantraHK-27']	ullāse saptadaśake yantrarājasya lakṣaṇam /	ullāse saptadaśake yantrarājasya lakṣaṇam 	In the seventeenth Uल्लास, the characteristics of the king of yantras,
['MBsarvollaasatantraHK-28']	śāktācārakramaṃ vakṣye vāmadakṣiṇabhedataḥ // //	śākta ācāra kramam vakṣye vāma dakṣiṇa bhedataḥ 	I will describe the sequence of conduct in Shaktism, divided into left and right.
['MBsarvollaasatantraHK-29']	nindakasya paśoścāpi aṣṭādaśe nirūpitam /	nindakasya paśoḥ ca api aṣṭādaśe nirūpitam 	In the eighteenth, the condemnation of the critic and the Paśu,
['MBsarvollaasatantraHK-30']	lakṣaṇaṃ sādhakānāñca divyacakrasya lakṣaṇam // //	lakṣaṇam sādhakānām ca divya cakrasya lakṣaṇam 	The characteristics of the aspirants, and the characteristics of the divine wheel.
['MBsarvollaasatantraHK-31']	vīracakrakramaṃ vakṣye ullāse'pyūnaviṃśatau /	vīracakra kramam vakṣye ullāse pi ūnaviṃśatau 	I will describe the sequence of the Vīra wheel in the nineteenth Uल्लास,
['MBsarvollaasatantraHK-32']	cakrasthānamāsanañca cakramadhye praveśanam // //	cakra sthānam āsanam ca cakra madhye praveśanam 	The place of the wheel, the seat, and the entry into the middle of the wheel.
['MBsarvollaasatantraHK-33', 'MBsarvollaasatantraHK-34']	vakṣye'haṃ devacakrasya lakṣaṇañcaiva viṃśatau /🔽jātyabhedaṃ cakramadhye tathā dravyanirūpaṇam // //	vakṣye iham deva cakrasya lakṣaṇam ca eva viṃśatau  jāti abhedam cakra madhye tathā dravya nirūpaṇam 	I will describe the characteristics of the divine wheel in the twentieth,
['MBsarvollaasatantraHK-35']	kh	kh 	The non-distinction of caste in the middle of the wheel, and likewise the determination of substances.
['MBsarvollaasatantraHK-36']	guroḥ kṛpāprasādena taṃ vakṣye'pyekaviṃśatau /	guroḥ kṛpā prasādena tam vakṣye api ekaviṃśatau 	By the grace of the guru, I will describe that in the twenty-first,
['MBsarvollaasatantraHK-37']	dvāviṃśatikollāse pātrādhārau ca lakṣaṇau // //	dvāviṃśatika ullāse pātra ādhārau ca lakṣaṇau 	In the twenty-second Uल्लास, the characteristics of the vessel and the support.
['MBsarvollaasatantraHK-38']	ādyatattvasyamāhātmyaṃ vakṣye'haṃ trayoviṃśatau /	ādya tattvasya māhātmyam vakṣye iham trayoviṃśatau 	I will describe the greatness of the primordial reality in the twenty-third (chapter).
['MBsarvollaasatantraHK-39']	dravyābhedaṃ śaktiśuddhiṃ caturviṃśatike'pi ca // //	dravya abhedam śakti śuddhim caturviṃśatike api ca 	And in the twenty-fourth (chapter), the non-difference of substances and the purification of power.
['MBsarvollaasatantraHK-40']	pañcaviṃśatikollāse cādyatattvasya śodhanam /	            	In the twenty-fifth chapter, the purification of the primordial reality.
['MBsarvollaasatantraHK-41']	ānandabhairavadhyānaṃ tathaivānandabhairavīm // //	ānandabhairava dhyānam tathā eva ānandabhairavīm 	The meditation on Anandabhairava and Anandabhairavi.
['MBsarvollaasatantraHK-42']	ṣaḍviṃśatau pravakṣyāmi saṃkṣepe dravyaśodhanam /	ṣaḍviṃśatau pravakṣyāmi saṃkṣepe dravya śodhanam 	In the twenty-sixth, I will briefly describe the purification of substances.
['MBsarvollaasatantraHK-43']	māṃsaṃ matsyañca mudrāñca lakṣaṇaṃ śodhanaṃ tathā // //	māṃsam matsyam ca mudrām ca lakṣaṇam śodhanam tathā 	Meat, fish, mudra, characteristics, and purification.
['MBsarvollaasatantraHK-44']	gurupādarajo dhyātvā vakṣye'haṃ saptaviṃśatau /	guru pāda rajaḥ dhyātvā vakṣye iham saptaviṃśatau 	Having meditated on the dust at the feet of the guru, I will speak in the twenty-seventh.
['MBsarvollaasatantraHK-45']	vakṣye'haṃ lakṣaṇaṃ śakteraṣṭāviṃśatike'pi ca // //	vakṣye iham lakṣaṇam śakteḥ aṣṭāviṃśatike api ca 	And in the twenty-eighth, I will describe the characteristics of power.
['MBsarvollaasatantraHK-46']	ūnaviṃśadikollāse vakṣye'haṃ śaktiśodhanam /	ūnaviṃśa dika ullāse vakṣye iham śakti śodhanam 	In the nineteenth chapter, I will speak of the purification of power.
['MBsarvollaasatantraHK-47']	vidhānaṃ samvidāpānamullāse triṃśadike'pi ca // //	vidhānam samvid āpānam ullāse ca 	The procedure, the secret, and the exhalation, in the thirtieth chapter.
['MBsarvollaasatantraHK-48']	śrīcakrasya ca pātrasya cādhārasya ca lakṣaṇam /	śrī cakrasya ca pātrasya ca ādhārasya ca lakṣaṇam 	The characteristics of the Shrichakra, the vessel, and the pedestal.
['MBsarvollaasatantraHK-49']	ekatriṃśadikolāse vakṣye nānāprakārakam // //	vakṣye nānā prakārakam 	In the thirty-first chapter, I will describe various types.
['MBsarvollaasatantraHK-50']	sādhakasya ca pātrāṇi dvātriṃśati nirūpaṇam /	sādhakasya ca pātrāṇi dvātriṃśati nirūpaṇam 	And the qualifications of the aspirant, in the thirty-second.
['MBsarvollaasatantraHK-51']	vaṭukādivalistritriṃśadike parikīrtitaḥ // //	vaṭuka ādi valiḥ tri triṃśat ike parikīrtitaḥ 	The bali offering to Vatuk and others is proclaimed in the thirty-third.
['MBsarvollaasatantraHK-52']	nyāsaṃ tarpaṇakaṃ karma catustriṃśati lakṣaṇam /	nyāsam tarpaṇakam karma catustriṃśati lakṣaṇam 	The Nyasa and Tarpanakarma (ritualistic libation) are the thirty-fourth characteristics.
['MBsarvollaasatantraHK-53']	pañcatriṃśadike vakṣye prāthanaṃ pātravandanam // //	pañcatriṃśadike vakṣye prāthanam pātra vandanam 	In the thirty-fifth chapter, I will describe the invocation and worship of the vessel.
['MBsarvollaasatantraHK-54']	ṣaṭtriṃśati mahollāse niyamaṃ pātralakṣaṇam /	            	In the thirty-sixth chapter of the great Ullasas, I will describe the rules and characteristics of the vessel.
['MBsarvollaasatantraHK-55']	saptatriṃśadikollāse śrīgurordhyānalakṣaṇam // //	            	In the thirty-seventh chapter of the Ullasas, I will describe the characteristics of meditation on the revered Guru.
['MBsarvollaasatantraHK-56']	aṣṭaviṃśadikollāse madhudānapramāṇakam /	            	In the thirty-eighth chapter, I will describe the measurement of the offering of honey.
['MBsarvollaasatantraHK-57']	ūnacatvāriṃśadīti pañcamasya vidhānakam // //	ūnacatvāriṃśatī iti pañcamasya vidhānakam 	In the thirty-ninth chapter, I will describe the procedure of the fifth.
['MBsarvollaasatantraHK-58']	catvāriṃśadikollāse vakṣye krīḍādilakṣaṇam /	             	In the fortieth chapter, I will describe the characteristics of play and other things.
['MBsarvollaasatantraHK-59']	ekacatvāriṃśadīti pañcamānāndalakṣaṇam // //	ekacatvāriṃśadī iti pañcama ānānda lakṣaṇam 	In the forty-first chapter, I will describe the characteristics of the bliss of the fifth.
['MBsarvollaasatantraHK-60']	dvācatvāriṃśadīti sādhakānandalakṣaṇam /	           	In the forty-second chapter, I will describe the characteristics of the bliss of the aspirant.
['MBsarvollaasatantraHK-61', 'MBsarvollaasatantraHK-62']	ānandaṃ navapātrasya tricatvāriṃśadīti ca // //🔽g	ānandam nava pātrasya ca  g 	The bliss of the nine vessels is in the forty-third chapter.
['MBsarvollaasatantraHK-63']	caucatvāriṃśadullāse pañcamasya ca lakṣaṇam /	caucatvāriṃśat ullāse pañcamasya ca lakṣaṇam 	In the forty-fourth chapter, I will describe the characteristics of the fifth.
['MBsarvollaasatantraHK-64']	pañcacatvāriṃśadīti ānandastotramuttamam // //	ānanda stotram uttamam 	In the forty-fifth chapter, I will describe the excellent hymn of bliss.
['MBsarvollaasatantraHK-65']	abhiṣekakramaṃ vakṣye ṣaṭcatvāriṃśadīti ca /	abhiṣeka kramam vakṣye ca 	In the forty-sixth chapter, I will describe the sequence of consecration.
['MBsarvollaasatantraHK-66']	saptacatvāriṃśadīti dakṣiṇācārabhāvakam // //	dakṣiṇa ācāra bhāvakam 	In the forty-seventh chapter, I will describe the practice of the right conduct.
['MBsarvollaasatantraHK-67']	aṣṭacatvāriṃśadīti vāmācāraṃ viśeṣakam /	vāma ācāram viśeṣakam 	In the forty-eighth chapter, I will describe the special left conduct.
['MBsarvollaasatantraHK-68']	puṣpapramāṇaṃ tatraiva pañcadhā saptadheti ca // //	puṣpa pramāṇam tatra eva pañcadhā saptadhā iti ca 	The measure of flowers there is fivefold and sevenfold.
['MBsarvollaasatantraHK-69', 'MBsarvollaasatantraHK-70']	ūnapañcāśadullāse vidhānaṃ puṣpaśodhanaṃ /🔽vakṣye pañcāśadullāse lakṣaṇaṃ kulayoṣitām // //	ūnapañcāśat ullāse vidhānam puṣpa śodhanam  vakṣye pañcāśat ullāse lakṣaṇam kula yoṣitām 	In the forty-ninth Uल्लास, the procedure for purifying flowers,🔽I will describe in the fiftieth Uल्लास the characteristics of the women of the Kula.
['MBsarvollaasatantraHK-71']	ekapañcāśadullāse maithunasya ca lakṣaṇam /	ekapañcāśat ullāse maithunasya ca lakṣaṇam 	In the fifty-first Uल्लास, the characteristics of sexual union,
['MBsarvollaasatantraHK-72']	dvāpañcāśadikollāse śaktijñānaṃ prakāśakam // //	           	In the fifty-second Uल्लास, the knowledge of Śakti is illuminating.
['MBsarvollaasatantraHK-73']	tripañcāśadikollāse siddhāntācāralakṣaṇam /	           	In the fifty-third Uल्लास, the characteristics of the practice of the conclusion,
['MBsarvollaasatantraHK-74']	catuḥpañcāśadulāse pūrṇānandaviśeṣakam // //	         	In the fifty-fourth Uल्लास, the special full bliss,
['MBsarvollaasatantraHK-75']	pañcapañcāśadullase pūrṇānandasya lakṣaṇam /	           	In the fifty-fifth Uल्लास, the characteristics of full bliss,
['MBsarvollaasatantraHK-76']	ṣaṭpañcāśadikolāse śaktyānandasya lakṣaṇam // //	ṣaṭpañcāśat ikolāse śakti ānandasya lakṣaṇam 	In the fifty-sixth Uल्लास, the characteristics of the bliss of Śakti,
['MBsarvollaasatantraHK-77']	saptapañcāśadullāse śaktimāhātmyamuttamam /	saptapañcāśat ullāse śakti māhātmyam uttamam 	In the fifty-seventh Uल्लास, the excellent greatness of Śakti,
['MBsarvollaasatantraHK-78']	aṣṭapañcāśadullāse haṃsabījasya lakṣaṇam // //	aṣṭapañcāśat ullāse haṃsa bījasya lakṣaṇam 	In the fifty-eighth Uल्लास, the characteristics of the seed of the Gander,
['MBsarvollaasatantraHK-79']	dhyānatrasya māhātmyaṃ vakṣye'hamūnaṣaṣṭike /	māhātmyam vakṣye iham ūna ṣaṣṭike 	I will describe the greatness of the three meditations in the fifty-ninth,
['MBsarvollaasatantraHK-80']	divyācārakramaṃ vakṣye ṣaṣṭamullāse suniścitam // //	divya ācāra kramam vakṣye ṣaṣṭam ullāse su niścitam 	I will describe the sequence of divine conduct in the sixty-first Uल्लास, well-determined.
['MBsarvollaasatantraHK-81']	kaulācāra ekaṣaṣṭau kathito granthakṛdbudhaḥ /	kaulācāraḥ ekaṣaṣṭau kathitaḥ granthakṛt budhaḥ 	In the sixty-first, the wise author has described the conduct of the Kaula,
['MBsarvollaasatantraHK-82']	prakṛterlakṣaṇaṃ yad yat svarūpañca dviṣaṣṭike // //	prakṛteḥ lakṣaṇam yat yat svarūpam ca dvi ṣaṣṭike 	The characteristics and nature of Prakṛti in the sixty-second,
['MBsarvollaasatantraHK-83']	triṣaṣṭau brahmaṇaḥ jñānaṃ jīvanmuktastataḥ param /	triṣaṣṭau brahmaṇaḥ jñānam jīvanmuktaḥ tatas param 	The sixty-three are the knowledge of Brahman, beyond that is the liberated while living.
['MBsarvollaasatantraHK-84']	catuḥṣaṣṭau samāptaśca granthollāsayathoditaḥ // //	catuḥṣaṣṭau samāptaḥ ca grantha ullāsa yathā uditaḥ 	The sixty-four are complete, as stated in the chapter.
['MBsarvollaasatantraHK-85', 'MBsarvollaasatantraHK-86']	ityullāsanirṇayaḥ samāptaḥ /🔽sarvollāsatantram /	iti ullāsa nirṇayaḥ samāptaḥ          	Thus the determination of the chapter is complete.🔽The Tantra of all Ullasas.
['MBsarvollaasatantraHK-87']	śrīsarvānandanāthaviracitam /	śrī sarva ānandanātha viracitam 	Composed by the venerable Sarvanandnatha.
['MBsarvollaasatantraHK-88']	prathamollāsaḥ /	prathama ullāsaḥ 	The first chapter.
['MBsarvollaasatantraHK-89']	śrīgurave namaḥ kh / namaḥ parama devatāyai /	śrī gurave namaḥ kh namaḥ parama devatāyai 	Salutations to the venerable Guru. Salutations to the supreme deity.
['MBsarvollaasatantraHK-90']	praṇamya g / gh / namāmi prakṛtiṃ nityāṃ jagadātmasvarūpiṇīm /	praṇamya namāmi prakṛtim nityām jagat ātma svarūpiṇīm 	Having bowed down, I praise the eternal Prakrit, who is in the form of the Self of the universe.
['MBsarvollaasatantraHK-91']	sarvollāsaṃ mahollāsaṃ mahollāse vadāmyaham // //	sarvollāsam mahollāsam mahollāse vadāmi aham 	In the great Ullasas, I will speak of the great Ullasas of all Ullasas.
['MBsarvollaasatantraHK-92']	nigamādāgamācchāstrād bhāvācāraṃ samuddhṛtam /	nigamāt āgamāt śāstrāt bhāva ācāram samuddhṛtam 	The conduct of existence is extracted from the Vedas, Agamas, and Shastras.
['MBsarvollaasatantraHK-93']	śrīsarvānandanāthoktaṃ śrīdevyāścaraṇāmbuje // //	             	It is spoken by the venerable Sarvanandnatha at the lotus feet of the venerable Devi.
['MBsarvollaasatantraHK-94']	gaṇeśatantre śrīśiva uvāca 	gaṇeśatantre śrī śivaḥ uvāca 	In the Ganesha Tantra, Lord Shiva said:
['MBsarvollaasatantraHK-95']	tvaṃ devi paramā nityā triguṇā triguṇātmikā /	tvam devi paramā nityā triguṇā triguṇa ātmikā 	O Devi, you are the supreme, eternal, three-guṇa, and three-guṇa-natured.
['MBsarvollaasatantraHK-96']	prakṛterlakṣaṇaṃ kiñcittava sthāne vadāmyaham // //	prakṛteḥ lakṣaṇam kiñcid tava sthāne vadāmi aham 	I will tell you a little about the characteristics of Prakrit in your place.
['MBsarvollaasatantraHK-97']	ekādhikye guṇānāñcedvikṛtiḥ syānmaheśvari /	eka ādhikye guṇānām ced vikṛtiḥ syāt maheśvari 	If there is an excess of one of the guṇas, there will be a change, O Maheśvari.
['MBsarvollaasatantraHK-98']	triguṇānāṃ samānānāṃ prakṛtiḥ sūkṣmarūpiṇau // //	triguṇānām samānānām prakṛtiḥ sūkṣma rūpiṇau 	The Prakrit of the three guṇas that are equal is in a subtle form.
['MBsarvollaasatantraHK-99']	same'pi nityā yā devī viṣame sādhyanityakā /	same api nityā yā devī viṣame sādhya nityakā 	Even in equality, the eternal Devi is in inequality, the eternal one to be accomplished.
['MBsarvollaasatantraHK-100']	nityānityaprabodhārthaṃ heturjñeyaḥ parasparam // //	nitya anitya prabodha artham hetuḥ jñeyaḥ parasparam 	For the sake of understanding the eternal and non-eternal, the cause should be known mutually.
['MBsarvollaasatantraHK-101']	kecit / sthūlaṃ nityarūpaṃ kecit / sūkṣmaṃ prakalpayet /	kecid sthūlam nitya rūpam kecid sūkṣmam prakalpayet 	Some conceive the gross as eternal, some the subtle.
['MBsarvollaasatantraHK-102']	nityānityaṃ jagat sarvamātmarūpeṇa bhāvitam // //	nitya anityam jagat sarvam ātma rūpeṇa bhāvitam 	The entire world, whether eternal or non-eternal, is contemplated in the form of the Self.
['MBsarvollaasatantraHK-103', 'MBsarvollaasatantraHK-104']	p / 🔽ātmā ca parameśāni tridhārūpaṃ sanātanam /	p  ātmā ca parameśāni tridhā rūpam sanātanam 	P.🔽The Self, O Supreme Goddess, is of three kinds: eternal,
['MBsarvollaasatantraHK-105', 'MBsarvollaasatantraHK-106']	paramātmā ca vāhyātmā jīvātmeti prakīrtitam // //🔽jīvātmā liṅgarūpī ca śuddhadīpaśikhākṛtiḥ /	paramātmā ca vāhyātmā jīvātmā iti prakīrtitam              	The Supreme Self, the external Self, and the individual Self are proclaimed.🔽The individual Self is in the form of the Linga, with the form of a pure lamp flame.
['MBsarvollaasatantraHK-107']	tejodhyānaṃ mahadrūpaṃ tejīyaḥ sūkṣmarūpakam // //	tejodhyānam mahat rūpam tejīyaḥ sūkṣma rūpakam 	The meditation on light is of a great form, the most radiant is of a subtle form.
['MBsarvollaasatantraHK-108']	hetunā bhāṣitaṃ yadyattattat sthūlaṃ maheśvari /	hetunā bhāṣitam yat yat tat tat sthūlam maheśvari 	Whatever is said with a reason, O Mahesvari, that is gross.
['MBsarvollaasatantraHK-109']	tejodhyānaṃ vinā kaścid / dhyānamātraṃ nacecchive // //	tejodhyānam vinā kaścid dhyāna mātram na ced śive   	Without the meditation on light, no one desires mere meditation, O Shiva.
['MBsarvollaasatantraHK-110']	yathā dhṛtasya takrasya heturdughaṃ maheśvari /	yathā dhṛtasya takrasya hetuḥ dugham maheśvari 	Just as curd is the cause of butter, O Mahesvari,
