segmentnr	original	analyzed	translated
['MBsvacchandapaddhatiHK-0']	Muktabodha Etext in UTF	muktabodha etext in utf	Muktabodha Text in UTF-8
['MBsvacchandapaddhatiHK-1']	MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww /muktabodha /org Muktabodha Indological Research Institute All Rights Reserved /Etexts may be viewed only online or downloaded for private study /Etexts may not / under any circumstances / be copied / republished /reproduced / distributed or sold / either in original or altered form / withoutthe express permission of Muktabodha Indological Research Institute in writing /Dataentered by the staff of Muktabodha under the direction of Mark S / G / Dyczkowski /Catalog number /	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /	Muktabodha Indological Research Institute www.muktabodha.org Muktabodha Indological Research Institute. All Rights Reserved. Texts may be viewed online or downloaded for private study. Texts may not be otherwise copied, republished, redistributed, or resold, either in whole or in part, in any form, without the prior written permission of Muktabodha Indological Research Institute. Entered by the Muktabodha staff under the direction of Mark S. G. Dyczkowski. Catalogue number:
['MBsvacchandapaddhatiHK-2']	Uniform title / svacchandapaddhati	uniform title svacchandapaddhati 	Uniform title: Svacchandapaddhati
['MBsvacchandapaddhatiHK-3']	Author /cidānandanātha	authoḥ cidānandanātha 	Author: Cidānandanātha
['MBsvacchandapaddhatiHK-4']	Editor /Prof / Sītalāprasad ūpādhyāya	editoḥ prof 	Editor: Prof. Sitālaprasāda Upādhyāya
['MBsvacchandapaddhatiHK-5', 'MBsvacchandapaddhatiHK-6']	Manuscript / khistejī se ka🔽Manuscript / saṃ / vi / kha	manuscript khistejī se ka  sam vi      kha 	Manuscript: Khistēji S. K.🔽Manuscript: S. V. K
['MBsvacchandapaddhatiHK-7']	Manuscript / saṃ vi / ga	sam vi     ga 	Manuscript: S. V. G
['MBsvacchandapaddhatiHK-8']	Notes / This text has been edited by Prof / Sītalāprasad ūpādhyāya present head of the Tantrayoga department of Saṃpūrnānanda Sanskrit University / Varanasi /	notes this text has been edited by prof sītalāprasad upādhyāya present head of the tantrayoga department of saṃpūrnānanda sanskrit univesity varanasi 	Notes: This text has been edited by Prof. Sitalapa Prasada Upadhyaya, present head of the Tantra Yoga Department of Sampurnaananda Sanskrit University, Varanasi.
['MBsvacchandapaddhatiHK-9']	Muktabodha acknowledges most grateful his generous contribution /	muktabodha acknowldges most grateful his generous contribution 	Muktabodha acknowledges his most grateful contribution.
['MBsvacchandapaddhatiHK-10']	Revision / October /	revision october 	Revision: October.
