segmentnr	original	analyzed	translated
['SA_GE07_bhg4c05u-0']	BhG /	bhg 	BhG.
['SA_GE07_bhg4c05u-1']	arjuna uvāca	arjunaḥ uvāca 	Arjuna said:
['SA_GE07_bhg4c05u-2']	saṃnyāsaṃ karmaṇāṃ kṛṣṇa punar yogaṃ ca śaṃsasi /	saṃnyāsam karmaṇām kṛṣṇa punar yogam ca śaṃsasi 	O Krsna, you recommend renunciation of actions and also yoga.
['SA_GE07_bhg4c05u-3']	yac chreya etayor ekaṃ tan me brūhi suniścitam ////	yat śreyaḥ etayoḥ ekam tat me brūhi su niścitam 	Tell me definitely which one of these two is better.
['SA_GE07_bhg4c05u-4']	śrīdharaḥ /	       	Sridhara.
['SA_GE07_bhg4c05u-5']	nivārya saṃśayaṃ jiṣṇoḥ karmasaṃnyāsayogayoḥ /	nivārya saṃśayam jiṣṇoḥ karma saṃnyāsa yogayoḥ 	Having removed Arjuna's doubt regarding renunciation of actions and yoga,
['SA_GE07_bhg4c05u-6']	jitendriyasya ca yateḥ pañcame muktim abravīt //	jita indriyasya ca yateḥ pañcame muktim abravīt 	he spoke of liberation in the fifth chapter for the self-controlled and disciplined one.
['SA_GE07_bhg4c05u-7']	ajñānasambhūtaṃ saṃśayaṃ jñānāsinā chittvā karmayogam ātiṣṭha ity uktam /	ajñāna sambhūtam saṃśayam jñāna asinā chittvā karma yogam ātiṣṭhe iti uktam 	It was said, Having cut off doubt born of ignorance with the sword of knowledge, engage in the yoga of action.
['SA_GE07_bhg4c05u-8']	tatra pūrvāparavirodhaṃ manvāno 'rjuna uvāca saṃnyāsam iti /	tatra pūrva apara virodham manvānaḥ rjunaḥ uvāca saṃnyāsam iti 	Thinking of contradiction between the earlier and later statements, Arjuna said, Renunciation, etc.
['SA_GE07_bhg4c05u-9']	yas tv ātmaratir eva syād ity ādinā sarvaṃ karmākhilaṃ pārtha ity ādinā ca karmasaṃnyāsaṃ kathayasi /	yaḥ tu ātma ratiḥ eva syāt iti ādinā sarvam karma akhilam pārthaḥ iti ādinā ca karma saṃnyāsam kathayasi 	You speak of renunciation of all actions by But one who is delighted in the Self alone, etc. and by All this entire action, O son of Prtha, etc.
['SA_GE07_bhg4c05u-10']	jñānāsinā saṃśayaṃ chittvā yogam ātiṣṭha iti punar yogaṃ ca kathayasi /	jñāna asinā saṃśayam chittvā yogam ātiṣṭhe iti punar yogam ca kathayasi 	And again you speak of yoga by Having cut off doubt with the sword of knowledge, engage in yoga.
