segmentnr	original	analyzed	translated
['SA_GK16_visah__u-0']	Viśvanātha kavirāja /	viśvanātha kavi rāja 	Vishvanatha Kaviraja.
['SA_GK16_visah__u-1']	Sāhityadarpaṇa	      	Mirror of Poetry
['SA_GK16_visah__u-2']	prathamaḥ paricchedaḥ	prathamaḥ paricchedaḥ 	First Chapter
['SA_GK16_visah__u-3']	granthārambhe nirvinghena prāripsitaparisamāptikāmo vāṅbhayādhikṛtatayā vāgdevatāyāḥ sāṃmukhyamādhatte	grantha ārambhe nirvinghena prāripsita parisamāpti kāmaḥ vāc bhaya adhikṛta tayā vāgdevatāyāḥ sāṃmukhyam ādhatte 	At the beginning of the text, one who desires to complete what is intended without obstacles, by virtue of being in charge of speech, directs one's attention to the deity of speech.
['SA_GK16_visah__u-4']	śaradindusundararuciścetasi sā me giraṃ devī /	śarad indu sundara ruciḥ cetasi sā me giram devī 	May that goddess of speech, whose radiance is beautiful like the autumn moon, in my mind,
['SA_GK16_visah__u-5']	apahṛtya tamaḥ saṃtatamarthānakhilānprakāśayatu // / //	apahṛtya tamaḥ saṃtatam arthān akhilān prakāśayatu 	having removed all darkness, illuminate all objects.
['SA_GK16_visah__u-6']	asya granthasya kāvyāṅgatayā kāvyaphalaireva phalavattvamiti kāvyaphalānyāha	asya granthasya kāvya aṅga tayā kāvya phalaiḥ eva phalavat tvam iti kāvya phalāni āha 	Since this text is a part of poetry, it is fruitful only by the fruits of poetry. Therefore, he mentions the fruits of poetry.
['SA_GK16_visah__u-7']	caturvargaphalaprāptiḥ sukhādalpadhiyāmapi /	caturvarga phala prāptiḥ sukhāt alpa dhiyām api 	The attainment of the fruits of the four goals is even for those of little intelligence from poetry itself.
['SA_GK16_visah__u-8']	kāvyādeva yatastena tatsvarūpaṃ nirūpyate // / //	kāvyāt eva yatas tena tad svarūpam nirūpyate 	Therefore, its nature is being determined.
['SA_GK16_visah__u-9']	caturvargaphalaprāptihi kovyato rāmādivatpravatitavyaṃ na rāvaṇādivat ityādiḥ kṛtyākṛtyapravṛttinivṛttyupadeśadvāreṇa supratītaiva /	caturvarga phala prāpti hi kovyataḥ rāma ādi vat pravatitavyam na rāvaṇa ādi vat ityādiḥ kṛtyā akṛtya pravṛtti nivṛtti upadeśa dvāreṇa su pratītā eva 	The attainment of the fruits of the four goals from poetry is well known through the teaching of engagement and disengagement in what should be done and what should not be done, by acting like Rama and not like Ravana.
['SA_GK16_visah__u-10']	uktaṃ ca bhāmahena	uktam ca bhāmahena 	And it is said by Bhamha:
['SA_GK16_visah__u-11']	dharmārthakāmamokṣeṣu vaicakṣaṇyaṃ kalāsu ca /	dharma artha kāma mokṣeṣu vaicakṣaṇyam kalāsu ca 	Skill in dharma, artha, kama and moksha, and in the arts,
['SA_GK16_visah__u-12']	karoti kīrtiṃ prītiṃ ca sādhukāvyaniṣevaṇam //	karoti kīrtim prītim ca sādhu kāvya niṣevaṇam 	Is brought about by the practice of good poetry, it brings fame and joy.
['SA_GK16_visah__u-13']	iti /	iti 	Thus.
['SA_GK16_visah__u-14']	kiñca kāvyāddharmaprāptirbhagavannārāyaṇacaraṇāravindastavādinā /	kiñca kāvyāt dharma prāptiḥ bhagavat nārāyaṇa caraṇa aravinda stava ādinā 	Moreover, the attainment of Dharma from poetry is well-known, as stated in the hymn to the lotus feet of Lord Narayana, etc.
['SA_GK16_visah__u-15']	ekaḥ śabdaḥ suprayuktaḥ samyagjñātaḥ svarge loke kāmadhugbhavati ityādivedavākyebhyaśca suprasiddhaiva /	ekaḥ śabdaḥ su prayuktaḥ samyak jñātaḥ svarge loke kāmadhuk bhavati ityādi veda vākyebhyaḥ ca su prasiddhā eva 	And from the Vedic statements such as A single word, when used well and fully understood, becomes the wish-fulfilling cow in the heavenly world, etc., the attainment of Dharma is well-established.
['SA_GK16_visah__u-16']	arthaprāptiśca pratyakṣasiddhā /	artha prāptiḥ ca pratyakṣa siddhā 	And the attainment of wealth is directly perceived.
['SA_GK16_visah__u-17']	kāmaprāptiścārthadvāraiva /	kāma prāptiḥ ca artha dvārā eva 	And the attainment of desire is only through wealth.
['SA_GK16_visah__u-18']	mokṣaprāptiścaitajjanyadharmaphalānanusaṃdhānāt /	mokṣa prāptiḥ ca etad janya dharma phala an anusaṃdhānāt 	And the attainment of liberation is due to not pursuing the fruits of Dharma generated by that,
['SA_GK16_visah__u-19']	mokṣopayogivākye vyutpattyādhāyakatvācca /	mokṣa upayogi vākye vyutpatti ādhāyaka tvāt ca 	and also due to the usefulness of the statements related to liberation in imparting knowledge.
