segmentnr	original	analyzed	translated
['SA_GK19_maghspvu-0']	Māgha / Śiśupālavadha	māgha śiśupāla vadha 	Mahakavi, Shishupalavadha
['SA_GK19_maghspvu-1', 'SA_GK19_maghspvu-2']	śriyaḥ pati śrīmati śāsituṃ jagajjagannivāso vasudevasadmani /🔽vasan dadarśāvatarantamambarāddhiraṇyagarbhāṅgabhuvaṃ muniṃ hariḥ // / //	śriyaḥ pati śrīmati śāsitum jagat jagannivāsaḥ vasudeva sadmani  vasan dadarśa avatarantam ambarāt hiraṇyagarbha aṅga bhuvam munim hariḥ 	The lord of Shri, the abode of the universe, residing in the abode of Vasudeva to rule the world,🔽Hari saw the sage Hiranyagarbha's son descending from the sky.
['SA_GK19_maghspvu-3']	gataṃ tiraścīnamanūrusāradheḥ prasiddhamūrdhvajvalanaṃ havirbhujaḥ /	gatam tiraścīnam anūru sāradheḥ prasiddham ūrdhva jvalanam havirbhujaḥ 	The one who has gone obliquely, the one whose body is not of human form, the one whose upward flame is well-known, the consumer of oblations,
['SA_GK19_maghspvu-4']	patatyadho dhāma visāri sarvataḥ kimedatityākulamīkṣitaṃ janaiḥ // / //	patati adhas dhāma visāri sarvatas kim eda titya ākulam īkṣitam janaiḥ 	Falling downwards, the abode spreading everywhere - people looked at it with confusion, thinking What is this?
['SA_GK19_maghspvu-5', 'SA_GK19_maghspvu-6']	cayastaviṣāmityavadhāritaṃ purā tataḥ śarīrīti vibhāvitākṛtim /🔽vibhurvibhaktāvayavaṃ pumāniti kramādamuṃ nārada ityabodhi saḥ // / //	cayaḥ taviṣām iti avadhāritam purā tatas śarīrī iti vibhāvita ākṛtim  vibhuḥ vibhakta avayavam pumān iti kramāt amum nāradaḥ iti abodhi saḥ 	The one who was previously determined as the collection of the powerful ones, then the one whose form was discerned as the embodied one,🔽The all-pervading one, the one with distinct limbs, the one who is a man - Narada gradually understood him as such.
['SA_GK19_maghspvu-7']	navānadho 'dho bṛhataḥ payodharān samūḍhakarpūraparāgapāṇḍuram /	navān adhas dhas bṛhataḥ payodharān samūḍha karpūra parāga pāṇḍuram 	Below the nine great clouds, pale like collected camphor powder,
['SA_GK19_maghspvu-8', 'SA_GK19_maghspvu-9']	kṣaṇaṃ kṣaṇotkṣiptagajendrakṛttinā sphuṭopamaṃ bhūtisitena śamghunā // / //🔽dadhānamambhoruhakesaradyutīrjaṭāḥ śaraccandra marīcirociṣam /	kṣaṇam kṣaṇa utkṣipta gaja indra kṛttinā sphuṭa upamam bhūti sitena śamghunā  dadhānam ambhoruha kesara dyutīḥ jaṭāḥ śarad candra marīci rociṣam 	For a moment, with the elephant skin thrown up, clearly resembling the white ash.🔽Wearing matted locks with the luster of lotus filaments, shining like the rays of the autumn moon,
['SA_GK19_maghspvu-10']	vipākastuṅgāstuhinasthalīruho dharādarendraṃ vratatītatīriva // / //	vipākaḥ tuṅgāḥ tuhina sthalīruhaḥ dharā ādara indram vratatītatīḥ iva 	The tall snow-peaked mountains, like the banks of the flowing river of the earth's lord.
['SA_GK19_maghspvu-11', 'SA_GK19_maghspvu-12', 'SA_GK19_maghspvu-13']	piśaṅgamauñjīyujamarjunacchaviṃ vasānameṇājinamañnadyuti /🔽suvarmasūtrākalitādharāmbarāṃ viḍambayantaṃ śitivāsasastanum // / //🔽vihaṅgarājāṅgaruhairivāyatairhiraṇmayorvīruhavallitatnubhiḥ /	piśaṅga mauñjī yujam arjuna chavim vasānam eṇa ajinam añna dyuti  suvarma sūtra ākalita adhara ambarām viḍambayantam śitivāsasaḥ tanum  vihaṅga rāja aṅgaruhaiḥ iva āyataiḥ hiraṇmaya urvīruha valli tatnubhiḥ 	Wearing a deer-skin robe of the color of the Arjuna tree, tawny with the Munja grass girdle, and shining like the morning sun,🔽Imitating the body of the dark-robed one, with a lower garment adorned with golden threads,🔽With a sacred thread made of the long and golden feathers of the king of birds, resembling the tendrils of creepers,
['SA_GK19_maghspvu-14', 'SA_GK19_maghspvu-15', 'SA_GK19_maghspvu-16']	kṛtopavītaṃ himaśubhramuccakairghanaṃ ghanānte taṭitāṃ gaṇairiva // / //🔽nisargacitrojvalasūkṣmapakṣmaṇā lasadbisacchedasitāṅgasaṅginā /🔽cakāsataṃ cārucamūrucarmaṇā kuthena nāgendramivendravāhanam // / //	kṛta upavītam hima śubhram uccakais ghanam ghana ante taṭitām gaṇaiḥ iva  nisarga citra ujvala sūkṣma pakṣmaṇā lasat bisa cheda sita aṅga saṅginā  cakāsatam cāru camūru carmaṇā kuthena nāga indram iva indravāhanam 	Shining brightly like a mass of white clouds at the end of the rainy season, surrounded by groups of clouds,🔽With eyes that are naturally variegated, bright, and have fine eyelashes, shining with the white pollen of lotuses clinging to its limbs,🔽Shining with a beautiful antelope skin, like Indra's elephant with a golden skin,
