segmentnr	original	analyzed	translated
['SA_GK20_mmatvipu-0']	śrīḥ //	śrīḥ 	Lakshmi.
['SA_GK20_mmatvipu-1']	mattavilāsaprahasanaṃ	matta vilāsa prahasanam 	The Comedy of the Drunken Gamblers
['SA_GK20_mmatvipu-2']	śrīmahendravikramavarmapraṇītam / 	        	Composed by the illustrious Mahendravikramavarma.
['SA_GK20_mmatvipu-3', 'SA_GK20_mmatvipu-4']	nāndyante tataḥ praviśati sūtradhāraḥ /🔽Sūtradhāraḥ bhāṣāveṣavapuḥkriyāguṇakṛtān āśritya bhedān gataṃ	nāndī ante tatas praviśati sūtradhāraḥ  sūtradhāraḥ bhāṣā veṣa vapuḥ kriyā guṇa kṛtān āśritya bhedān gatam 	After the prologue, the stage manager enters.🔽The stage manager: This play, which has become🔽Diverse through the differences of language, costume, body, action, and quality,
['SA_GK20_mmatvipu-5']	bhāvāveśavaśād anekarasatāṃ trailokyayātrāmayam /	bhāva āveśa vaśāt aneka rasa tām trailokya yātrām ayam 	And has many flavors due to the influence of emotions,🔽The divine Kapalika, who is himself the spectator,
['SA_GK20_mmatvipu-6', 'SA_GK20_mmatvipu-7']	nṛttaṃ niṣpratibaddhabodhamahimā yaḥ 🔽prekṣakaś ca svayaṃ	nṛttam niṣpratibaddha bodha mahimā yaḥ  prekṣakaḥ ca svayam 	Whose greatness is unobstructed knowledge,
['SA_GK20_mmatvipu-8', 'SA_GK20_mmatvipu-9']	sa vyāptāvanibhājanaṃ diśatu vo divyaḥ kapālī yaśaḥ // //🔽bhoḥ / samāsāditaḥ khalu mayā yavīyasīṃ bhāryāṃ adhikṛtya samutpannavyalīkāyāṃ jyeṣṭhāyāṃ me kuṭumbinyāṃ yuktataraḥ prasādanopāyaḥ /	sa vyāpta avani bhājanam diśatu vaḥ divyaḥ kapālī yaśaḥ  / bhoḥ samāsāditaḥ khalu mayā yavīyasīm bhāryām adhikṛtya samutpanna vyalīkāyām jyeṣṭhāyām me kuṭumbinyām yuktataraḥ prasādana upāyaḥ 	May he bestow fame upon you, who pervades the world with his dance.🔽Oh! I have indeed found a most suitable means of reconciliation with my elder wife, who has become offended due to my taking a younger wife.
['SA_GK20_mmatvipu-10']	yac cirasyādya vayaṃ prekṣādhikāre pariṣadā niyuktāḥ smaḥ /	yat cirasya adya vayam prekṣā adhikāre pariṣadā niyuktāḥ smaḥ 	And today, after a long time, we have been appointed by the assembly to the position of spectators.
['SA_GK20_mmatvipu-11']	tad yāvad enām upasarpāmi /	tat yāvat enām upasarpāmi 	So I shall approach her.
['SA_GK20_mmatvipu-12']	parikramya CDEH nepathyābhimukham avalokya	parikramya nepathya abhimukham avalokya 	Circumambulating and looking towards the wings
['SA_GK20_mmatvipu-13']	ārye / itas tāvat /	ārye itas tāvat 	Noble lady, come here.
['SA_GK20_mmatvipu-14']	praviśya	praviśya 	Entering
['SA_GK20_mmatvipu-15']	Naṭī saroṣam ayya/	naṭī sa roṣam ayya 	The actress angrily: Noble lady!
['SA_GK20_mmatvipu-16']	kiṃ cirassa kālassa jovvaṇaguṇa /	kim cirassa kālassa 	How long is the youthfulness quality?
['SA_GK20_mmatvipu-17']	guṇṇa Hbharamattavilāsappahasaṇaṃ o /daṃ	guṇṇa 	To display the laughter of the playful pride of the fullness of youth.
['SA_GK20_mmatvipu-18']	seduṃ āado si /	sedum si 	You have come to display it.
['SA_GK20_mmatvipu-19']	ārya/ kiṃ cirasya kālasya yauvanaguṇabharamattavilāsaprahasanaṃ darśayitum āgato 'si /	ārya kim cirasya kālasya yauvana guṇa bhara matta vilāsa prahasanam darśayitum āgataḥ si 	Noble sir, after such a long time you have come to display the laughter of the playful pride of the fullness of youth.
['SA_GK20_mmatvipu-20', 'SA_GK20_mmatvipu-21']	Sūtradhāraḥ yathāha bhavatī /🔽Naṭī tāe eva dāva /	sūtradhāraḥ yathā āha bhavatī  naṭī tāe eva 	Stage Director: As you say, madam.🔽Actress: Show it to me right now.
['SA_GK20_mmatvipu-22']	dāṇiṃ D daṃsehi /	dāṇim d daṃsehi 	Now show it.
['SA_GK20_mmatvipu-23']	jā tue ramaidavvā /	jā tue 	You should enjoy it.🔽Show it to me right now.
['SA_GK20_mmatvipu-24']	tayaiva tāvad darśaya /	tayā eva tāvat darśaya 	Now show it.
['SA_GK20_mmatvipu-25']	yā tvayā ramayitavyā /	yā tvayā ramayitavyā 	You should enjoy it with me.
['SA_GK20_mmatvipu-26', 'SA_GK20_mmatvipu-27']	Sūtradhāraḥ tvayā saha darśayiṣyāmīti /🔽Naṭī kiṃ tāe evva ṇiutto si /	sūtradhāraḥ tvayā saha darśayiṣyāmi iti  naṭī kim tāe evva ṇiuttaḥ si 	Stage Director: I will show it with you.🔽Actress: Are you appointed by her alone?
['SA_GK20_mmatvipu-28']	kiṃ tayaiva niyukto 'si /	kim tayā eva niyuktā u si 	Are you appointed by her alone?
['SA_GK20_mmatvipu-29']	Sūtradhāraḥ evam etat /	sūtradhāraḥ evam etat 	Stage Director: That is so.
['SA_GK20_mmatvipu-30', 'SA_GK20_mmatvipu-31']	api ca / tatra gatā mahāntam anugrahaṃ lapsyase /🔽Naṭī tava evva khu edaṃ jujjai /	api ca tatra gatā mahāntam anugraham lapsyase  naṭī tava evva khu edam jujjai 	Moreover, having gone there, you will receive great favor.🔽Actress: This is proper only for you.
['SA_GK20_mmatvipu-32']	tavaiva / tathaivaṃ G khalv etad yujyate /	tava eva tathā evam khalu etat yujyate 	This is proper only for you.
['SA_GK20_mmatvipu-33']	Sūtradhāraḥ bhavati/	sūtradhāraḥ bhavati 	Stage Director: It is so.
['SA_GK20_mmatvipu-34']	kim iva na yujyate /	kim iva na yujyate 	What is not proper?
['SA_GK20_mmatvipu-35']	tvatprayogaparitoṣitā pariṣad anurahīṣyatīti /	tvad prayoga paritoṣitā pariṣad anurahīṣyati iti 	The audience, satisfied by your performance, will be favorably disposed.
['SA_GK20_mmatvipu-36']	Naṭī saharṣam evaṃ /	naṭī sa harṣam evam 	Actress, delighted: So it is.
['SA_GK20_mmatvipu-37']	laddho ayyamissāṇaṃ pasādo /	laddhaḥ ayya missāṇam pasādaḥ 	The favor of the noble couple is obtained.
['SA_GK20_mmatvipu-38']	evam / labdha āryamiśrāṇāṃ prasādaḥ /	evam labdhaḥ āryamiśrāṇām prasādaḥ 	So it is. The favor of the noble couple is obtained.
['SA_GK20_mmatvipu-39']	Sūtradhāraḥ bāḍham / labdhaḥ /	sūtradhāraḥ bāḍham labdhaḥ 	Stage Director: Very well. I have obtained it.
['SA_GK20_mmatvipu-40']	Naṭī jai evaṃ /	naṭī jai evam 	Actress: So be it.
['SA_GK20_mmatvipu-41']	kiṃ de piakkhāṇiaṃ demi /	kim de piakkhāṇiam demi 	What do you want to hear?
['SA_GK20_mmatvipu-42']	yady evaṃ / kiṃ te priyākhyānikaṃ /	yadi evam kim te priya ākhyānikam 	If that is so, what do you want to hear?
['SA_GK20_mmatvipu-43']	priyākhyānitakaṃ G dadāmi /	priyā ākhyānitakam g dadāmi 	I will tell you a love story.
['SA_GK20_mmatvipu-44']	Sūtradhāraḥ alaṃ priyākhyānikapunaruktena /	sūtradhāraḥ alam priya ākhyānika punaruktena 	Stage Director: Enough of repeating the love story.🔽Look.
['SA_GK20_mmatvipu-45']	paśya / kutaḥ E /	paśya kutaḥ e 	From where🔽does the line of horripilation on the cheeks
['SA_GK20_mmatvipu-46', 'SA_GK20_mmatvipu-47']	udbhinnaromāñcakapolarekham🔽āvirmayūkhasmitam añcitabhru /	udbhinna romāñca kapola rekham  āvis mayūkha smitam añcita bhru 	and the smile with shining rays and arched brows
['SA_GK20_mmatvipu-48']	labdhvā priye durlabham ānanaṃ te	labdhvā priye durlabham ānanam te 	come, having obtained your beloved's face, which is difficult to obtain?
['SA_GK20_mmatvipu-49', 'SA_GK20_mmatvipu-50']	bhūyo 'pi kiṃ prārthayitavyam asti // //🔽Naṭī kiṃ dāṇi ayyeṇa paujjidavvaṃ /	bhūyas pi kim prārthayitavyam asti  naṭī kim dāṇi ayyeṇa paujjidavvam 	What else is there to be desired again?🔽Actress: What should my lord do now?
['SA_GK20_mmatvipu-51']	kim idānīm āryeṇa prayoktavyam /	kim idānīm āryeṇa prayoktavyam 	What should my lord do now?
['SA_GK20_mmatvipu-52']	nāṭakaṃ nāṭayitavyam G /	nāṭakam nāṭayitavyam g 	The play should be performed.
['SA_GK20_mmatvipu-53']	sūtradhāraḥ nanu tvayaivābhihitaṃ mattavilāsaprahasanam iti /	sūtradhāraḥ nanu tvayā eva abhihitam matta vilāsa prahasanam iti 	Stage Director: Didn't you yourself say it is a farce about a drunken man?
['SA_GK20_mmatvipu-54']	Naṭī ṇūṇaṃ imassiṃ /	naṭī imassim 	Actress: Surely.
['SA_GK20_mmatvipu-55', 'SA_GK20_mmatvipu-56']	imasmi Unni pakkhavādī me kovo /🔽jeṇa abhippāāṇurūvaṃ /	imasmi unni pakkhavādī me kovo  jeṇa abhippā anurūvam 	In this case, my anger is partial.🔽By whom I have been spoken to in accordance with my intention.
