segmentnr	original	analyzed	translated
['SA_GP12_dbhp_dgu-0']	Devīgītā	devī gītā 	Devi Gita
['SA_GP12_dbhp_dgu-1']	atha prathamo 'dhyāyaḥ 	atha prathamaḥ dhyāyaḥ 	Now, the first chapter
['SA_GP12_dbhp_dgu-2']	saptamaḥ skandhaḥ	saptamaḥ skandhaḥ 	The seventh section
['SA_GP12_dbhp_dgu-3']	atha ekatriṃśo 'dhyāyaḥ	atha ekatriṃśaḥ dhyāyaḥ 	Now, the thirty-first chapter
['SA_GP12_dbhp_dgu-4']	janamejaya uvāca	janamejayaḥ uvāca 	Janamejaya said
['SA_GP12_dbhp_dgu-5']	dharādharādhīśa maulāvāvirāsītparaṃ mahaḥ /	dharādhara adhīśa maulau āvirāsīt param mahaḥ 	On the head of the lord of mountains, the supreme light appeared.
['SA_GP12_dbhp_dgu-6']	yaduktaṃ bhavatā pūrvaṃ vistarāttadvadasva me // / / / //	yat uktam bhavatā pūrvam vistarāt tat vadasva me     	What was said by you before, please tell me in detail.
['SA_GP12_dbhp_dgu-7']	ko virajyeta matimānpibañchaktikathāmṛtam /	kaḥ virajyeta matimān piban śakti kathā amṛtam 	Who would lose interest, the wise one drinking the nectar of Shaktis' stories?
['SA_GP12_dbhp_dgu-8']	sudhāṃ tu pibatāṃ mṛtyuḥ sa naitacchṛṇvato bhavet // / / / //	sudhām tu pibatām mṛtyuḥ sa nā etat śṛṇvataḥ bhavet      	For those drinking nectar, death would not come to him who listens to this.
['SA_GP12_dbhp_dgu-9']	vyāsa uvāca	vyāsaḥ uvāca 	Vyasa said
['SA_GP12_dbhp_dgu-10']	dhanyo 'si kṛtakṛtyo 'si śikṣito 'si mahātmabhiḥ /	dhanyaḥ si kṛtakṛtyaḥ si śikṣitaḥ si mahātmabhiḥ 	You are blessed, you have done your duty, you have been taught by the great souls.
['SA_GP12_dbhp_dgu-11', 'SA_GP12_dbhp_dgu-12']	bhāgyavānasi yaddevyāṃ nirvyājā bhaktirasti te // / / / //🔽śṛṇu rājanpurā vṛttaṃ satīdehe 'gnibharjite /	bhāgyavān asi yat devyām nirvyājā bhaktiḥ asti te  śṛṇu rājan purā vṛttam satī dehe gni bharjite 	You are fortunate that you have unfeigned devotion to the Goddess.🔽Listen, O king, to what happened in the past, when Sati's body was burnt by fire.
['SA_GP12_dbhp_dgu-13']	bhrāntaḥ śivastu babhrāma kvaciddeśe sthiro 'bhavat // / / / //	bhrāntaḥ śivaḥ tu babhrāma kvacid deśe sthiraḥ bhavat      	Shiva wandered, confused, and became stable in some place.
['SA_GP12_dbhp_dgu-14']	prapañcabhānarahitaḥ samādhigatamānasaḥ /	                	Devoid of worldly thoughts, with a mind absorbed in meditation,
['SA_GP12_dbhp_dgu-15']	dhyāyandevīsvarūpaṃ tu kālaṃ ninye sa ātmavān // / / / //	dhyāyan devī sva rūpam tu kālam ninye saḥ ātmavān     	He passed the time, contemplating the form of the Goddess, self-possessed.
['SA_GP12_dbhp_dgu-16']	saubhāgyarahitaṃ jātaṃ trailokyaṃ sacarācaram /	saubhāgya rahitam jātam trailokyam sacarācaram 	The three worlds, with the moving and unmoving, became devoid of good fortune.
['SA_GP12_dbhp_dgu-17']	śaktihīnaṃ jagatsarvaṃ sābdhidvīpaṃ saparvatam // / / / //	śakti hīnam jagat sarvam sa abdhi dvīpam sa parvatam 	The entire world, with its oceans, islands, and mountains, became devoid of power.
['SA_GP12_dbhp_dgu-18', 'SA_GP12_dbhp_dgu-19']	ānandaḥ śuṣkatāṃ yātaḥ sarveṣāṃ hṛdayāntare /🔽udāsīnāḥ sarvalokāścintājarjaracetasaḥ // / / / //	ānandaḥ śuṣka tām yātaḥ sarveṣām hṛdaya antare  udāsīnāḥ sarva lokāḥ cintā jarjara cetasaḥ     	Bliss became dried up within the hearts of all.🔽All people became indifferent, their minds shattered by worry.
['SA_GP12_dbhp_dgu-20', 'SA_GP12_dbhp_dgu-21']	sadā duḥkhodadhau magnā rogagrastāstadābhavan /🔽grahāṇāṃ devatānāṃ ca vaiparītyena vartanam // / / / //	sadā duḥkha udadhau magnāḥ roga grastāḥ tadā abhavan  grahāṇām devatānām ca vaiparītyena vartanam 	They became constantly immersed in an ocean of sorrow, afflicted by disease.🔽The behavior of the planets and deities became contrary.
['SA_GP12_dbhp_dgu-22']	adhibhūtādhidaivānāṃ satyabhāvānnṛpābhavan /	adhibhūta adhidaivānām satya bhāvāt nṛpa abhavan 	The kings became devoid of truthfulness towards the overlord and the overlord of the deities.
['SA_GP12_dbhp_dgu-23']	atha 'sminneva kāle tu tārakākhyo mahasuraḥ // / / / //	atha smin eva kāle tu tāraka ākhyaḥ mahā asuraḥ 	Then, at this very time, the great demon named Tāraka,
['SA_GP12_dbhp_dgu-24']	brahmadattavaro daityo 'bhavattrailokyanāyakaḥ /	brahma datta varaḥ daityaḥ bhavat trailokya nāyakaḥ 	the demon who was granted a boon by Brahmā, became the leader of the three worlds.
['SA_GP12_dbhp_dgu-25']	śivaurasastu yaḥ putraḥ sa te hantā bhaviṣyati // / / / //	śivaurasaḥ tu yaḥ putraḥ sa te hantā bhaviṣyati      	He will be killed by your son born from Śiva.
['SA_GP12_dbhp_dgu-26']	iti kalpitamṛtyuḥ sa devadevairmahāsuraḥ /	iti kalpita mṛtyuḥ sa devadevaiḥ mahā asuraḥ 	 Thus, the great demon, whose death was ordained by the gods,
['SA_GP12_dbhp_dgu-27']	śivairasasutābhāvājjagarja ca nananda ca // / / / //	śivairasa sutā bhāvāt jagarja ca nananda ca  /	roared and rejoiced due to the absence of a son born from Śiva.
['SA_GP12_dbhp_dgu-28']	tena copadrutāḥ sarve svasthānātpracyutāḥ surāḥ /	tena ca upadrutāḥ sarve sva sthānāt pracyutāḥ surāḥ 	All the gods, afflicted by him, were expelled from their abodes.
['SA_GP12_dbhp_dgu-29']	śivairasasutābhāvāccintāmāpurduratyayām // / / / //	śiva airasa sutā bhāvāt cintām āpuḥ duratyayām     	Due to the absence of a son born from Śiva, they became overwhelmed by unbearable anxiety.
['SA_GP12_dbhp_dgu-30']	nāṅganā śaṅkarasyāsti kathaṃ tatsutasambhāvaḥ /	nā aṅganā śaṅkarasya asti katham tad suta sambhāvaḥ 	Śaṅkara does not have a wife, how can he be considered the father of that (son)?
['SA_GP12_dbhp_dgu-31']	asmākaṃ bhāgyahīnānāṃ kathaṃ kāryaṃ bhaviṣyati // / / / //	asmākam bhāgya hīnānām katham kāryam bhaviṣyati 	How will our fate be?
['SA_GP12_dbhp_dgu-32']	iti cintāturāḥ sarve jagmurvaikuṇṭhamaṇḍale /	iti cintā āturāḥ sarve jagmuḥ vaikuṇṭha maṇḍale 	Thus, all of them, distressed with anxiety, went to the Vaikuntha region.
['SA_GP12_dbhp_dgu-33']	śaśaṃsurharimekānte sa copāyaṃ jagāda ha // / / / //	śaśaṃsuḥ harim ekānte sa ca upāyam jagāda ha 	In complete solitude, they reported to Hari, and he spoke of a means.
['SA_GP12_dbhp_dgu-34']	kutaścintāturāḥ sarve kāmakalpadrumā śivā /	kutas cintā āturāḥ sarve kāma kalpadrumā śivā 	From somewhere, all of them, distressed with anxiety, are the wish-fulfilling tree of desire, auspicious.
['SA_GP12_dbhp_dgu-35']	jāgarti bhūvaneśānī maṇidvīpādhivāsinī // / / / //	jāgarti bhūvaneśānī maṇidvīpa adhivāsinī 	The goddess of the earth, residing in the island of jewels, is awake.
['SA_GP12_dbhp_dgu-36']	asmākamanayādeva tadupekṣāsti nānyathā /	asmākam anayāt eva tad upekṣā asti nā anyathā 	For us, O god, there is only indifference towards her, not otherwise.
['SA_GP12_dbhp_dgu-37']	śikṣaiveyaṃ jaganmātrā kṛtāsmacchikṣaṇāya // / / / //	śikṣā evā iyam jaganmātrā kṛtā asmad śikṣaṇāya 	This is indeed the instruction given by the mother of the world for our training.
['SA_GP12_dbhp_dgu-38']	lālane tāḍane māturnā kāruṇyaṃ yathārbhake /	lālane tāḍane mātuḥ nā kāruṇyam yathā arbhake 	Just as a mother has no compassion in beating or fondling a child,
['SA_GP12_dbhp_dgu-39']	tadvadeva jaganmāturniyantrā guṇadoṣayoḥ // / / / //	tadvat eva jaganmātuḥ niyantrā guṇa doṣayoḥ 	in the same way, the mother of the world is the controller of virtues and faults.
['SA_GP12_dbhp_dgu-40']	aparādho bhavatyeva tanayasya pade pade /	aparādhaḥ bhavati eva tanayasya pade pade 	The son is always guilty at every step.
