segmentnr	original	analyzed	translated
['SA_GP12_mtp176pu-0']	The transliteration emulates Devanagari script /	the transliteration emulates devanagari script 	The transliteration emulates Devanagari script.
['SA_GP12_mtp176pu-1']	Therefore / word boundaries are usually not marked by blanks	therefore word boundaries are usually not marked by blanks 	Therefore, word boundaries are usually not marked by blanks.
['SA_GP12_mtp176pu-2']	MatsyaPurāṇa	matsyapurāṇa 	Matsya Purana
['SA_GP12_mtp176pu-3']	pracaṇḍatāṇḍavāṭope prakṣiptā yena diggajāḥ /	pracaṇḍa tāṇḍava āṭope prakṣiptāḥ yena diggajāḥ 	By whom the elephants of the directions were thrown into the violent Tandava dance,
['SA_GP12_mtp176pu-4']	bhavantu vighnabhaṅgāya bhavasya caraṇāmbujāḥ // / //	bhavantu vighna bhaṅgāya bhavasya caraṇa ambujāḥ 	May the lotus feet of Bhava be for the destruction of obstacles.
['SA_GP12_mtp176pu-5']	pātālādutpatiṣṇor makaravasatayo yasya pucchābhighātād ūrdhvaṃ brahmāṇḍakhaṇḍavyatikaravihitavyatyayenāpatanti /	pātālāt utpatiṣṇoḥ makara vasatayaḥ yasya puccha abhighātāt ūrdhvam brahmāṇḍa khaṇḍa vyatikara vihita vyatyayena āpatanti 	From the tail of which, as it rises from the nether world, the stars fall down again, having been turned back by the collision with the fragments of the universe,
['SA_GP12_mtp176pu-6']	viṣṇormatsyāvatāre sakalavasumatīmaṇḍalaṃ vyaśnuvānās tasyāsyodīritānāṃ dhvanir apaharatād aśriyaṃ vaḥ śrutīnām // / //	viṣṇoḥ matsyāvatāre sakala vasumatī maṇḍalam vyaśnuvānāḥ tasya āsya udīritānām dhvaniḥ apaharatāt aśriyam vaḥ śrutīnām 	May the sound of the churning of its mouth, as it devours the entire circle of the earth in Vishnu's fish incarnation, remove your ears' poverty.
['SA_GP12_mtp176pu-7']	nārāyaṇaṃ namaskṛtya naraṃ caiva narottamam /	nārāyaṇam namaskṛtya naram ca eva narottamam 	Having bowed to Narayana, and also to Nara, the best of men,
['SA_GP12_mtp176pu-8']	devīṃ sarasvatīṃ caiva tato jayam udīrayet // / //	devīm sarasvatīm ca eva tatas jayam udīrayet 	And to the goddess Saraswati, one should then utter Victory!
['SA_GP12_mtp176pu-9']	ajo 'pi yaḥ kriyāyogān nārāyaṇa iti smṛtaḥ /	ajaḥ pi yaḥ kriyā yogāt nārāyaṇaḥ iti smṛtaḥ 	He who, though unborn, is known as Narayana by the yoga of action,
['SA_GP12_mtp176pu-10']	triguṇāya trivedāya namas tasmai svayambhuve // / //	triguṇāya tri vedāya namaḥ tasmai svayambhuve 	Salutations to that self-existent one, who has three qualities and three Vedas.
