segmentnr	original	analyzed	translated
['SA_GR14_astavgpu-0']	aṣṭāvakragītā	aṣṭāvakragītā 	The Songs of Ashtavakra
['SA_GR14_astavgpu-1']	janaka uvāca	janakaḥ uvāca 	Janaka said:
['SA_GR14_astavgpu-2']	kathaṃ jñānam avāpto 'ti kathaṃ muktir bhaviṣyati /	katham katham muktiḥ bhaviṣyati 	How did you attain knowledge? How will you attain liberation?
['SA_GR14_astavgpu-3']	vairāgyaṃ ca kathaṃ prāptam etad brūhi mama prabho // / //	vairāgyam ca katham prāptam etat brūhi mama prabho 	How did you attain detachment? Please tell me this, O Lord.
['SA_GR14_astavgpu-4', 'SA_GR14_astavgpu-5']	aṣṭāvakra uvāca🔽muktim icchasi cet tāta viṣayān viṣavat tyaja /	aṣṭāvakraḥ uvāca  muktim icchasi ced tāta viṣayān viṣa vat tyaja 	Ashtavakra said:🔽If you desire liberation, O son, abandon sense objects as if they were poison.
['SA_GR14_astavgpu-6']	kṣamārjavadayātoṣasatyaṃ pīyūṣavad bhaja // / //	kṣamā ārjava dayā toṣa satyam pīyūṣavat bhaja 	Serve forgiveness, simplicity, compassion, contentment, and truth as if they were nectar.
['SA_GR14_astavgpu-7']	na pṛthvī na jalaṃ nāgnir na vāyur dyaur na vā bhavān /	na pṛthvī na jalam na agniḥ na vāyuḥ dyauḥ na vā bhavān 	The earth, water, fire, air, sky, and you are not the self.
['SA_GR14_astavgpu-8']	eṣāṃ sākṣiṇam ātmānaṃ cidrūpaṃ viddhi muktaye // / //	eṣām sākṣiṇam ātmānam cit rūpam viddhi muktaye 	Know the self, which is the witness of these, to be of the nature of consciousness, for liberation.
['SA_GR14_astavgpu-9']	yadi dehaṃ pṛthak kṛtya citi viśrāmya tiṣṭhasi /	yadi deham pṛthak kṛtya citi viśrāmya tiṣṭhasi 	If you rest and abide in consciousness, having separated from the body,
['SA_GR14_astavgpu-10']	adhunaiva sukhī śānto bandhamukto bhaviṣyasi // / //	adhunā eva sukhī śāntaḥ bandha muktaḥ bhaviṣyasi 	you will be happy, peaceful, and liberated from bondage, right now.
['SA_GR14_astavgpu-11']	na tvaṃ viprādiko varṇo nāśramī nākṣagocaraḥ /	na tvam vipra ādikaḥ varṇaḥ na āśramī na akṣa gocaraḥ 	You are not a Brahmin or any other caste, not in any stage of life, not within the range of the senses.
['SA_GR14_astavgpu-12']	asaṅgo 'si nirākāro viśvasākṣī sukhī bhava // / //	a saṅgaḥ si nirākāraḥ viśva sākṣī sukhī bhava 	You are unattached, formless, the universal witness, and should be happy.
['SA_GR14_astavgpu-13']	dharmādharmau sukhaṃ duḥkhaṃ mānasāni na te vibho /	dharma adharmau sukham duḥkham mānasāni na te vibho 	O Lord, dharma, adharma, happiness, and sorrow are not in your mind.
['SA_GR14_astavgpu-14']	na kartāsi na bhoktāsi mukta evāsi sarvadā // / //	na kartāsi na bhoktāsi muktaḥ eva asi sarvadā 	You are not an agent, not an experiencer, and are always liberated.
['SA_GR14_astavgpu-15']	eko draṣṭāsi sarvasya muktaprāyo 'si sarvadā /	ekaḥ draṣṭāsi sarvasya mukta prāyaḥ si sarvadā 	You are the sole seer of all, and are almost liberated at all times.
['SA_GR14_astavgpu-16']	ayam eva hi te bandho draṣṭāraṃ paśyasītaram // / //	ayam eva hi te bandhaḥ draṣṭāram paśyasi itaram 	This very bondage of yours is seeing the other seer.
['SA_GR14_astavgpu-17']	ahaṃ kartety ahaṃmānamahākṛṣṇāhidaṃśitaḥ /	aham kartā iti ahaṃmāna mahā kṛṣṇa ahi daṃśitaḥ 	Bitten by the great black serpent of the ego, thinking I am the doer,
['SA_GR14_astavgpu-18']	nāhaṃ karteti viśvāsāmṛtaṃ pītvā sukhī bhava // / //	na aham kartā iti viśvāsa amṛtam pītvā sukhī bhava 	Drink the nectar of the conviction I am not the doer and be happy.
['SA_GR14_astavgpu-19']	eko viśuddhabodho 'ham iti niścayavahninā /	ekaḥ viśuddha bodhaḥ ham iti niścaya vahninā 	By the fire of the conviction I am alone, pure consciousness,
['SA_GR14_astavgpu-20']	prajvālyājñānagahanaṃ vītasokaḥ sukhī bhava // / //	prajvālya ajñāna gahanam vīta sokaḥ sukhī bhava 	Igniting the dense ignorance, be free from sorrow and happy.
['SA_GR14_astavgpu-21']	yatra viśvam idaṃ bhāti kalpitaṃ rajjusarpavat /	yatra viśvam idam bhāti kalpitam rajju sarpa vat 	Where this entire universe shines as imagined, like a snake on a rope,
['SA_GR14_astavgpu-22']	ānandaparamānandaḥ sa bodhas tvaṃ sukhaṃ cara // / //	ānanda parama ānandaḥ sa bodhaḥ tvam sukham cara 	That supreme bliss of bliss, that consciousness, you are. Move happily.
['SA_GR14_astavgpu-23']	muktābhimānī mukto hi baddho baddhābhimāny api /	mukta abhimānī muktaḥ hi baddhaḥ baddha abhimānī api 	One who is proud of being liberated is indeed liberated, but one who is proud of being bound is also bound.
['SA_GR14_astavgpu-24']	kiṃ vadantīha satye 'yaṃ yā matiḥ sā gatir bhavet // / //	kim vadanti iha satye yam yā matiḥ sā gatiḥ bhavet 	What is said here? The truth is that one's state of mind becomes one's destination.
['SA_GR14_astavgpu-25']	ātmā sākṣī vibhuḥ pūrṇa eko muktaś cid akriyaḥ /	ātmā sākṣī vibhuḥ pūrṇaḥ ekaḥ muktaḥ cit akriyaḥ 	The Self is the witness, the all-pervading, the complete, the one, the liberated, the consciousness, the inactive,
['SA_GR14_astavgpu-26', 'SA_GR14_astavgpu-27']	asaṅgo nispṛhaḥ śānto bhramāt saṃsāravān iva // / //🔽kūṭasthaṃ bodham advaitam ātmānaṃ paribhāvaya /	a saṅgaḥ nispṛhaḥ śāntaḥ bhramāt saṃsāravān iva  kūṭastham bodham advaitam ātmānam paribhāvaya 	The unattached, the desireless, the peaceful, as if having worldly existence due to delusion.🔽Contemplate the Self as the unchanging, non-dual consciousness.
['SA_GR14_astavgpu-28']	ābhāso 'haṃ bhramaṃ muktvā bhāvaṃ bāhyam athāntaraṃ // / //	ābhāsaḥ ham bhramam muktvā bhāvam bāhyam atha antaram 	I am the manifestation, free from delusion, of the external and internal existence.
['SA_GR14_astavgpu-29']	dehābhimānapāśena ciraṃ baddho 'si putraka /	deha abhimāna pāśena ciram baddhaḥ si putraka 	O son, you have been bound for a long time by the noose of identification with the body.
['SA_GR14_astavgpu-30']	bodho 'haṃ jñānakhaḍgena tan niṣkṛtya sukhī bhava // / //	bodhaḥ ham jñāna khaḍgena tat niṣkṛtya sukhī bhava 	I am enlightenment. With the sword of knowledge, destroy that and be happy.
['SA_GR14_astavgpu-31']	niḥsaṅgo niṣkriyo 'si tvaṃ svaprakāśo nirañjanaḥ /	niḥsaṅgaḥ niṣkriyaḥ si tvam sva prakāśaḥ nirañjanaḥ 	You are detached, inactive, self-luminous, and free from passion.
['SA_GR14_astavgpu-32']	ayam eva hi te bandhaḥ samādhim anutiṣṭhasi // / //	ayam eva hi te bandhaḥ samādhim anutiṣṭhasi 	This alone is your bondage that you practice concentration.
['SA_GR14_astavgpu-33']	tvayā vyāptam idaṃ viśvaṃ tvayi protaṃ yathārthataḥ /	tvayā vyāptam idam viśvam tvayi protam yathārthataḥ 	This universe is pervaded by you, truly interwoven with you.
['SA_GR14_astavgpu-34']	śudddhabuddhasvarūpas tvaṃ /	śuddha buddha sva rūpaḥ tvam 	You are of the nature of pure consciousness.
['SA_GR14_astavgpu-35']	mā gamaḥ kṣudracittatām // / //	mā gamaḥ kṣudra citta tām 	Do not fall into a petty state of mind.
['SA_GR14_astavgpu-36']	nirapekṣo nirvikāro nirbharaḥ śītalāśayaḥ /	           	Indifferent, changeless, full, with a cool disposition,
['SA_GR14_astavgpu-37']	agādhabuddhir akṣubdho bhava cinmātravāsanaḥ // / //	agādha buddhiḥ a kṣubdhaḥ bhava cit mātra vāsanaḥ 	with unfathomable intellect, undisturbed, be inclined towards pure consciousness.
['SA_GR14_astavgpu-38']	sākāram anṛtaṃ viddhi nirākāraṃ tu niścalam /	sa ākāram anṛtam viddhi nirākāram tu niścalam 	Know the formless to be true, the form to be false and unsteady.
['SA_GR14_astavgpu-39']	etattattvopadeśena na punarbhavasambhavaḥ // / //	etad tattva upadeśena na punarbhava sambhavaḥ 	By the instruction of this truth, there is no possibility of rebirth.
['SA_GR14_astavgpu-40']	yathaivādarśam adhyasthe rūpe 'ntaḥ paritas tu saḥ /	yathā eva ādarśam adhyasthe rūpe ntar paritas tu saḥ 	Just as the form within a mirror is all around it,
['SA_GR14_astavgpu-41']	tathaivāsmin śarīre 'ntaḥ paritaḥ parameśvaraḥ // / //	tathā eva asmin śarīre ntar paritas parameśvaraḥ 	so is the Supreme Lord all around within this body.
['SA_GR14_astavgpu-42']	ekaṃ sarvagataṃ vyoma bahir antar yathā ghaṭe /	ekam sarva gatam vyoma bahis antar yathā ghaṭe 	Just as space, which is one and all-pervading, is outside and inside a pot,
['SA_GR14_astavgpu-43']	nityaṃ nirantaraṃ brahma sarvabhūtagaṇe tathā // / //	nityam nirantaram brahma sarva bhūta gaṇe tathā 	so is Brahman, which is eternal and uninterrupted, in the entire multitude of beings.
['SA_GR14_astavgpu-44']	janaka uvāca	janakaḥ uvāca 	Janaka said:
['SA_GR14_astavgpu-45']	aho nirañjanaḥ śānto bodho 'haṃ prakṛteḥ paraḥ /	aho nirañjanaḥ śāntaḥ bodhaḥ ham prakṛteḥ paraḥ 	Oh, I am the pure, tranquil consciousness, beyond nature.
['SA_GR14_astavgpu-46']	etāvantam ahaṃ kālaṃ mohenaiva viḍambitaḥ // / //	etāvantam aham kālam mohena eva viḍambitaḥ 	For so long I have been deceived by delusion.
['SA_GR14_astavgpu-47']	yathā prakāśayāmy eko deham enaṃ tathā jagat /	yathā prakāśayāmi ekaḥ deham enam tathā jagat 	As I illuminate this body, so I illuminate the world.
['SA_GR14_astavgpu-48', 'SA_GR14_astavgpu-49']	ato mama jagat sarvam athavā na ca kiṃcana // / //🔽saśarīram aho viśvaṃ parityajya mayādhunā /	atas mama jagat sarvam athavā na ca kiṃcana  sa śarīram aho viśvam parityajya mayā adhunā 	Therefore, the entire world is mine, or rather, it is nothing at all.🔽Having now abandoned this embodied world from somewhere,
['SA_GR14_astavgpu-50']	kutaścit kauśalād eva paramātmā vilokyate // / //	kutaścid kauśalāt eva paramātmā vilokyate 	the supreme self is seen by some skill.
['SA_GR14_astavgpu-51']	yathā na toyato bhinnās taraṅgāḥ phenabudbudāḥ /	yathā na toyataḥ bhinnāḥ taraṅgāḥ phena budbudāḥ 	Just as waves, foam, and bubbles are not different from water,
['SA_GR14_astavgpu-52']	ātmano na tathā bhinnaṃ viśvam ātmavinirgatam // / //	ātmanaḥ na tathā bhinnam viśvam ātma vinirgatam 	the universe is not different from the self, which has emerged from the self.
['SA_GR14_astavgpu-53']	tantumātro bhaved eva paṭo yadvad vicāritaḥ /	tantu mātraḥ bhavet eva paṭaḥ yadvat vicāritaḥ 	Just as a cloth is considered to be made of threads alone,
['SA_GR14_astavgpu-54']	ātmatanmatram evedaṃ tadvad viśvaṃ vicāritam // / //	eva idam tadvat viśvam vicāritam 	so the universe is considered to be made of the self and the self alone.
['SA_GR14_astavgpu-55']	yathaivekṣurase kḷptā tena vyāptaiva śarkarā /	yathā evā ikṣu rase kḷptā tena vyāptā eva śarkarā 	Just as sugar is pervaded by the sugarcane juice in which it is formed,
['SA_GR14_astavgpu-56']	tathā viśvaṃ mayi kḷptaṃ mayā vyāptaṃ nirantaram // / //	tathā viśvam mayi kḷptam mayā vyāptam nirantaram 	so the universe, formed in me, is continuously pervaded by me.
['SA_GR14_astavgpu-57']	ātmājñānāj jagad bhāti ātmajñānān na bhāsate /	ātma ajñānāt jagat bhāti ātma jñānāt na bhāsate 	The world appears due to ignorance of the self; it does not appear due to knowledge of the self.
['SA_GR14_astavgpu-58']	rajjvajñānād ahir bhāti tajjñānād bhāsate na hi // / //	rajju ajñānāt ahiḥ bhāti tad jñānāt bhāsate na hi 	An illusory snake appears due to ignorance of a rope; it does not appear due to knowledge of it.
['SA_GR14_astavgpu-59']	prakāśo me nijaṃ rūpaṃ nātirikto 'smy ahaṃ tataḥ /	prakāśaḥ me nijam rūpam na atiriktaḥ smi aham tatas 	My own form is light; I am not separate from that.
['SA_GR14_astavgpu-60']	yadā prakāśate viśvaṃ tadāham bhāsa eva hi // / //	yadā prakāśate viśvam tadā aham bhāsaḥ eva hi 	When the universe shines forth, then I am indeed light.
['SA_GR14_astavgpu-61']	aho vikalpitaṃ viśvam ajñānān mayi bhāsate /	aho vikalpitam viśvam ajñānāt mayi bhāsate 	Oh, the universe is imagined due to ignorance, it shines in me.
['SA_GR14_astavgpu-62']	rūpyaṃ śuktau phaṇī rajjau vāri sūryakare yathā // / //	rūpyam śuktau phaṇī rajjau vāri sūrya kare yathā 	Like silver in a shell, a snake in a rope, water in a sunbeam.
['SA_GR14_astavgpu-63']	matto vinirgataṃ viśvaṃ mayy eva layam eṣyati /	mattaḥ vinirgatam viśvam mayi eva layam eṣyati 	The universe has emerged from me, it will dissolve in me alone.
['SA_GR14_astavgpu-64']	mṛdi kumbho jale vīciḥ kanake kaṭakaṃ yathā // / //	mṛdi kumbhaḥ jale vīciḥ kanake kaṭakam yathā 	Like a pot in clay, a wave in water, a bracelet in gold.
['SA_GR14_astavgpu-65']	aho ahaṃ namo mahyaṃ /	aho aham namaḥ mahyam 	Oh, I am, I bow to myself.
['SA_GR14_astavgpu-66']	vināśo yasya nāsti me /	vināśaḥ yasya nā asti me 	Who has no destruction for me.
['SA_GR14_astavgpu-67']	brahmādistambaparyantaṃ jagannāśe 'pi tiṣṭhataḥ // / //	brahma ādi stamba paryantam jagat nāśe tiṣṭhataḥ 	Even when the world from Brahma to a blade of grass is destroyed, I remain.
['SA_GR14_astavgpu-68']	aho ahaṃ namo mahyaṃ eko 'haṃ dehavān api /	aho aham namaḥ mahyam ekaḥ ham dehavān api 	Oh, I am, I bow to myself, I am alone, though embodied.
['SA_GR14_astavgpu-69']	kvacin na gantā nāgantā vyāpya viśvam avasthitaḥ // / //	kvacid na gantā na āgantā vyāpya viśvam avasthitaḥ 	I go nowhere, I do not come, pervading the universe, I abide.
['SA_GR14_astavgpu-70']	aho ahaṃ namo mahyaṃ dakṣo nāstīha matsamaḥ /	aho aham namaḥ mahyam dakṣaḥ na asti iha mad samaḥ 	Oh, I am, I bow to myself, there is no one as skillful as me.
['SA_GR14_astavgpu-71']	asaṃspṛśya śarīreṇa yena viśvaṃ ciraṃ dhṛtam // / //	a saṃspṛśya śarīreṇa yena viśvam ciram dhṛtam 	With an untouchable body, by which the universe has been sustained for a long time.
['SA_GR14_astavgpu-72']	aho ahaṃ namo mahyaṃ yasya me nāsti kiṃcana /	aho aham namaḥ mahyam yasya me nā asti kiṃcana 	Oh, I am, I bow to myself, who has nothing for me.
['SA_GR14_astavgpu-73']	athavā yasya me sarvaṃ yad vāṅmanasagocaram // / //	athavā yasya me sarvam yat vāc manasa gocaram 	Or, to whom all that is within the range of speech and mind belongs to me.
