segmentnr	original	analyzed	translated
['SA_GR14_krdipc_u-0']	śrīḥ//	śrīḥ 	Shri.
['SA_GR14_krdipc_u-1']	kramadīpikā	         	Kramadīpikā
['SA_GR14_krdipc_u-2']	śrīmadbhagavatśrīkṛṣṇārādhananirūpaṇapravaṇa āgamanibandhaḥ vidyāvinodaśrīgovindabhaṭṭācāryakṛtavivaraṇasahitā 	                                                                                       	A treatise on the scriptures, inclined towards describing the worship of the glorious Lord Shri Krishna, along with a commentary written by the illustrious Govinda Bhatta Acharya,
['SA_GR14_krdipc_u-3', 'SA_GR14_krdipc_u-4', 'SA_GR14_krdipc_u-5']	prathamaḥ paṭalaḥ🔽veṇuvādavinodalālasaṃ🔽divyagandhapariliptavakṣasam /	prathamaḥ paṭalaḥ  veṇu vāda vinoda lālasam  divya gandha parilipta vakṣasam 	The first chapter🔽I meditate on a certain son of the cowherds, who is fond of the amusement of playing the flute,
['SA_GR14_krdipc_u-6']	vallavīhṛdayavittahāriṇaṃ	           	whose chest is smeared with divine fragrance,
['SA_GR14_krdipc_u-7', 'SA_GR14_krdipc_u-8']	bhāvaye kam api gopanandanam //🔽viśiṣṭaśiṣṭācārānumitaśrutibodhitakartavyatākaprāripsitapratibandhakaduritanivṛttyasādhāraṇakāraṇam	bhāvaye kam api gopa nandanam  viśiṣṭa śiṣṭa ācāra anumita śruti bodhita kartavya tāka prāripsita pratibandhaka durita nivṛtti asādhāraṇa kāraṇam 	who captivates the hearts and wealth of the cowherdesses.🔽The cause that is not shared in the cessation of the evil that obstructs the desired duty that is inferred from the practice of the distinguished virtuous, and is indicated by the Vedas,
['SA_GR14_krdipc_u-9']	iṣṭadevatā'nusmaraṇapūrvakaṃ maṅgalam āśīrvyājena kṛtaṃ śiṣyaśikṣārtham ādau	iṣṭadevatā anusmaraṇa pūrvakam maṅgalam āśīḥ vyājena kṛtam śiṣya śikṣā artham ādau 	The auspicious [verse] preceded by the recollection of the chosen deity, which is done in the form of a blessing for the sake of instructing the disciples at the beginning,
['SA_GR14_krdipc_u-10', 'SA_GR14_krdipc_u-11']	nibadhnāti kalāttamāyety ādinā /🔽kalāttamāyālavakāttamūrtiḥ	nibadhnāti kalāttamāya iti ādinā           	He begins with kalāttamaya and so on.🔽The form of the one whose essence is the most subtle of the arts,
['SA_GR14_krdipc_u-12']	kalakvaṇadveṇuninādaramyaḥ /	         	Delightful with the sound of the tinkling flute,
['SA_GR14_krdipc_u-13', 'SA_GR14_krdipc_u-14']	śrito hṛdi vyākulayaṃs trilokīṃ🔽śriye 'stu gopījanavallabho vaḥ // / //	śritaḥ hṛdi vyākulayan trilokīm  śriye stu gopī jana vallabhaḥ vaḥ 	Residing in the heart, agitating the three worlds,🔽May the beloved of the cowherdesses be for the prosperity of you all.
['SA_GR14_krdipc_u-15']	gopījanavallabho yuṣmākaṃ śriye sampade 'stu bhūyād iti yojanā /	gopī jana vallabhaḥ yuṣmākam śriye sampade stu bhūyāt iti yojanā 	The beloved of the cowherdesses should be for your prosperity, for your abundance, is the construction.
['SA_GR14_krdipc_u-16']	gopījanasya gopāṅganājanasya vallabhaḥ svāmī /	gopī janasya gopa aṅganā janasya vallabhaḥ svāmī 	The lover of the cowherd women, the master of the cowherd women.
