segmentnr	original	analyzed	translated
['SA_GR14_vdhapadu-0']	nārāyaṇaṃ	nārāyaṇam namaskṛtya avdham aṅg 	Nārāyaṇa,
['SA_GR14_vdhapadu-1']	naraṃ caiva	naram ca eva 	and Nara,
['SA_GR14_vdhapadu-2']	devīṃ sarasvatīṃ	devīm sarasvatīm ca eva avdham aṅg 	and the goddess Sarasvatī,
['SA_GR14_vdhapadu-3']	tato jayam	tatas jayam 	then victory,
['SA_GR14_vdhapadu-4']	dvaipāyanauṣṭhapuṭaniḥsṛtam	dvaipāyana oṣṭha puṭa niḥsṛtam 	emerged from the lips of Dvaipāyana,
['SA_GR14_vdhapadu-5']	puṇyaṃ pavitram atha pāpaharaṃ śubhaṃ	puṇyam pavitram atha pāpa haram śubham 	meritorious, purifying, sin-removing, auspicious,
['SA_GR14_vdhapadu-6']	yo bhārataṃ samadhigacchati	yaḥ bhāratam samadhigacchati vācyamānam aṅga 	whoever attains the Bhārata,
['SA_GR14_vdhapadu-7']	kiṃ tasya puṣkarajalair	kim tasya puṣkara jalaiḥ abhiṣecanena avdham aṅg 	what is the use of the waters of Puṣkara
['SA_GR14_vdhapadu-8']	namo vyāsāya	namaḥ vyāsāya 	Salutations to Vyāsa,
['SA_GR14_vdhapadu-9']	sarvajñāya	sarvajñāya 	the omniscient one,
['SA_GR14_vdhapadu-10']	pārāśaryāya	pārāśaryāya 	the son of Parāśara.
['SA_GR14_vdhapadu-11', 'SA_GR14_vdhapadu-12']	namo nārāyaṇāya🔽kṛtābhiṣekaṃ /	namaḥ nārāyaṇāya  kṛta abhiṣekam 	Salutations to Nārāyaṇa.
['SA_GR14_vdhapadu-13']	rājñaḥ pārīkṣitasya /	rājñaḥ pārīkṣitasya 	After the king Parīkṣit had performed his ablutions,
['SA_GR14_vdhapadu-14']	draṣṭum abhyāyayuḥ /	draṣṭum abhyāyayuḥ 	they came to see him.
['SA_GR14_vdhapadu-15']	śaunakādyā /	śaunaka ādyā 	Śaunaka and others.
['SA_GR14_vdhapadu-16']	tān āgatān sa /	tān āgatān sa 	He, having come,
['SA_GR14_vdhapadu-17']	pādyārghyādibhir /	pādya arghya ādibhiḥ 	with water for washing the feet, respectful offerings, etc.,
['SA_GR14_vdhapadu-18']	sukhopaviṣṭān /	sukha upaviṣṭān 	to those who were seated comfortably,
['SA_GR14_vdhapadu-19']	tatkathābhiḥ /	tad kathābhiḥ 	with their stories,
['SA_GR14_vdhapadu-20']	praṇipatya /	praṇipatya 	having bowed down,
['SA_GR14_vdhapadu-21']	śatānīko 'tha /	śatānīkā tha 	Śatānīka then,
['SA_GR14_vdhapadu-22']	nārāyaṇakathāṃ /	nārāyaṇa kathām 	the story of Nārāyaṇa,
['SA_GR14_vdhapadu-23']	yam āśritya /	yam āśritya 	having resorted to which,
['SA_GR14_vdhapadu-24']	mama /	mama 	mine.
['SA_GR14_vdhapadu-25']	vipakṣāpahṛtaṃ /	vipakṣa apahṛtam 	the enemy was removed,
['SA_GR14_vdhapadu-26']	avāpuḥ /	avāpuḥ 	they attained,
['SA_GR14_vdhapadu-27']	mama yena /	mama yena 	by whom my,
['SA_GR14_vdhapadu-28', 'SA_GR14_vdhapadu-29']	parīkṣit /🔽devadevena /	parīkṣit  devadevena 	Parīkṣit,🔽by the god of gods,
['SA_GR14_vdhapadu-30']	tasya devasya /	tasya devasya 	of that god,
['SA_GR14_vdhapadu-31']	śrutaṃ subahuśo /	śrutam su bahuśas 	was heard many times.
['SA_GR14_vdhapadu-32']	kaḥ stotum īśas tam /	kaḥ stotum īśaḥ tam 	Who is able to praise him,
['SA_GR14_vdhapadu-33']	yasyaitat /	yasya etat 	whose this,
['SA_GR14_vdhapadu-34']	brahmāṇḍam udare /	brahmāṇḍam udare 	the universe is in the belly,
['SA_GR14_vdhapadu-35']	rudraḥ krodhodbhavo /	rudraḥ krodha udbhavaḥ 	Rudra is born from anger,
['SA_GR14_vdhapadu-36']	prasādāc ca /	prasādāt ca 	and from favor,
['SA_GR14_vdhapadu-37']	tasya devasya kaḥ /	tasya devasya kaḥ 	of that god,
['SA_GR14_vdhapadu-38']	pravaktuṃ vā /	pravaktum vā 	who is able to speak,
['SA_GR14_vdhapadu-39']	so 'ham icchāmi /	saḥ u ham icchāmi 	I desire.
['SA_GR14_vdhapadu-40']	tasya sarvātmanaḥ /	tasya sarva ātmanaḥ 	of that all-souled one,
['SA_GR14_vdhapadu-41']	śrotum ārādhanaṃ /	śrotum ārādhanam 	to hear the worship,
['SA_GR14_vdhapadu-42']	nistareyaṃ /	nistareyam 	I shall escape.
['SA_GR14_vdhapadu-43']	kenopāyena mantrair /	kena upāyena mantraiḥ 	By what means, by what mantras,
['SA_GR14_vdhapadu-44', 'SA_GR14_vdhapadu-45']	rahasyaiḥ /🔽dānair vratopavāsair /	rahasyaiḥ  dānaiḥ vrata upavāsaiḥ 	By what secrets,🔽By what gifts, vows, fasts,
['SA_GR14_vdhapadu-46']	japyair homair athāpi /	japyaiḥ homaiḥ atha api 	By what recitations, oblations,
['SA_GR14_vdhapadu-47']	ārādhitaḥ /	ārādhitaḥ 	Is he propitiated,
['SA_GR14_vdhapadu-48']	kleśānāṃ hānido /	kleśānām hāni daḥ 	The bestower of the destruction of afflictions,
['SA_GR14_vdhapadu-49']	śakyaḥ /	śakyaḥ 	Is able to be,
['SA_GR14_vdhapadu-50']	tan naḥ śaṃsata /	tat naḥ śaṃsata 	Please tell us that.
['SA_GR14_vdhapadu-51']	vidyānām api sā /	vidyānām api sā 	That is also of the sciences,
['SA_GR14_vdhapadu-52']	śrutānām api tac /	śrutānām api tat 	That is also of the heard,
['SA_GR14_vdhapadu-53']	rahasyānāṃ rahasyaṃ /	rahasyānām rahasyam 	The secret of the secrets,
['SA_GR14_vdhapadu-54']	yena viṣṇuḥ /	yena viṣṇuḥ 	By which Vishnu,
['SA_GR14_vdhapadu-55', 'SA_GR14_vdhapadu-56']	mantrāṇāṃ paramo /🔽vratānāṃ tan /	mantrāṇām paramaḥ  vratānām tan 	The supreme of mantras,🔽That is of the vows,
['SA_GR14_vdhapadu-57']	upoṣitaṃ hi tac /	upoṣitam hi tat 	For that is the fasting,
['SA_GR14_vdhapadu-58']	yena tuṣyati /	yena tuṣyati 	By which he is satisfied,
['SA_GR14_vdhapadu-59']	sā jihvā yā hariṃ /	sā jihvā yā harim 	That is the tongue which praises Hari,
['SA_GR14_vdhapadu-60']	tac cittaṃ yat /	tat cittam yat 	That is the mind which is devoted to him,
['SA_GR14_vdhapadu-61']	tāv eva kevalau /	tau eva kevalau 	Those two alone are the only ones,
['SA_GR14_vdhapadu-62']	yau tatpūjākarau /	yau tad pūjā karau 	Those two which are the doers of his worship,
['SA_GR14_vdhapadu-63']	sujanma deham /	su janma deham 	A good birth is the body,
['SA_GR14_vdhapadu-64', 'SA_GR14_vdhapadu-65']	tad /🔽yad eva /	tat  yat eva 	That is,
['SA_GR14_vdhapadu-66']	viṣṇor /	viṣṇoḥ 	Whatever is of Vishnu,
['SA_GR14_vdhapadu-67']	sā hānis tan mahac /	sā hāniḥ tat mahat 	That is the great loss,
['SA_GR14_vdhapadu-68', 'SA_GR14_vdhapadu-69']	sā /🔽yan muhūrtaṃ kṣaṇaṃ /	sā  yat muhūrtam kṣaṇam 	That is,🔽A moment, a second,
['SA_GR14_vdhapadu-70']	vāsudevo na /	vāsudevaḥ na 	Is not Vāsudeva,
['SA_GR14_vdhapadu-71']	nūnaṃ tat /	nūnam tat 	Surely that is,
['SA_GR14_vdhapadu-72']	athavā /	athavā 	Or rather,
['SA_GR14_vdhapadu-73']	rogo vānyo na sā /	rogaḥ vā anyaḥ na sā 	Any other disease is not that,
['SA_GR14_vdhapadu-74']	yā na vakti harer /	yā na vakti hareḥ 	Which does not speak of Hari,
['SA_GR14_vdhapadu-75']	santy anekā bilās /	santi anekāḥ bilāḥ 	There are many caves,
['SA_GR14_vdhapadu-76']	śrotram apy /	śrotram api 	The ear is also,
['SA_GR14_vdhapadu-77', 'SA_GR14_vdhapadu-78']	dattvāvadhānaṃ yac /🔽vinaiva /	dattvā avadhānam yac  vinā eva 	Giving attention to which,🔽Without even,
['SA_GR14_vdhapadu-79']	puruṣāṇāṃ /	puruṣāṇām 	Of men,
['SA_GR14_vdhapadu-80']	janmany aviphalā /	janmani a viphalā 	The birth is not fruitless,
['SA_GR14_vdhapadu-81']	yā govindāśrayā /	yā govinda āśrayā 	Which is based on Govinda,
['SA_GR14_vdhapadu-82']	apāram /	apāram 	The shoreless,
['SA_GR14_vdhapadu-83']	ekaḥ /	ekaḥ 	The one,
['SA_GR14_vdhapadu-84', 'SA_GR14_vdhapadu-85']	muktitīrasya /🔽sarvaratnamayo /	mukti tīrasya  sarva ratna mayaḥ 	Of liberation,🔽Full of all jewels,
['SA_GR14_vdhapadu-86', 'SA_GR14_vdhapadu-87']	sarvāścaryamayaṃ /🔽sarvatīrthamayī /	sarva āścarya mayam  sarva tīrtha mayī 	Full of all wonders,🔽Full of all holy places,
['SA_GR14_vdhapadu-88']	sarvadevamayo /	sarva deva mayaḥ 	Full of all gods,
['SA_GR14_vdhapadu-89']	evam ādiguṇo /	evam ādi guṇaḥ 	Having such qualities,
['SA_GR14_vdhapadu-90']	śruto me bahuśo /	śrutaḥ me bahuśas 	I have heard it many times.
['SA_GR14_vdhapadu-91']	gīyamānas /	gīyamānaḥ 	Being sung.
['SA_GR14_vdhapadu-92']	so 'ham icchāmi taṃ /	saḥ ham icchāmi tam 	I wish to propitiate him.
['SA_GR14_vdhapadu-93']	nārāyaṇam /	nārāyaṇam 	Narayana.
['SA_GR14_vdhapadu-94']	jagato hṛdy /	jagataḥ hṛdi 	In the heart of the world.
['SA_GR14_vdhapadu-95']	ārādhayitum /	ārādhayitum 	To propitiate.
['SA_GR14_vdhapadu-96']	anantam /	anantam 	The infinite.
['SA_GR14_vdhapadu-97']	śaṃkaraṃ jagataḥ /	śaṃkaram jagataḥ 	The auspicious one of the world.
['SA_GR14_vdhapadu-98', 'SA_GR14_vdhapadu-99']	tan mamādya /🔽prasādayitum /	tat mama adya  prasādayitum 	That for me today.🔽To propitiate.
['SA_GR14_vdhapadu-100']	prasādaṃ kartum /	prasādam kartum 	To do a favor.
['SA_GR14_vdhapadu-101', 'SA_GR14_vdhapadu-102']	tasyaitad vacanaṃ /🔽bhaktim udvahato /	tasya etat vacanam  bhaktim udvahataḥ 	His words.🔽Bearing devotion.
