segmentnr	original	analyzed	translated
['SA_GSP30_parmartu-0']	paraṃ parasthaṃ gahanād anādim ekaṃ niviṣṭaṃ bahudhā guhāsu /	param para stham gahanāt anādim ekam niviṣṭam bahudhā guhāsu 	The Supreme, existing in others, beginningless, one, pervading the caves in many ways,
['SA_GSP30_parmartu-1']	sarvālayaṃ sarvacarācarasthaṃ tvām eva śambhuṃ śaraṇaṃ prapadye // //	sarva ālayam sarva carācara stham tvām eva śambhum śaraṇam prapadye 	The abode of all, present in all moving and unmoving beings, I take refuge in you alone, the auspicious one.
['SA_GSP30_parmartu-2']	garbhādhivāsapūrvakamaraṇāntakaduḥkhacakravibhrāntaḥ /	garbha adhivāsa pūrvaka maraṇa antaka duḥkha cakra vibhrāntaḥ 	Wandering in the cycle of suffering from conception to dwelling in the womb, to birth, and to the suffering at the end of death,
['SA_GSP30_parmartu-3']	ādhāram bhagavantaṃ śiṣyaḥ papraccha paramārtham // //	ādhāram bhagavantam śiṣyaḥ papraccha parama artham 	The disciple asked the Lord, the support, about the supreme truth.
['SA_GSP30_parmartu-4']	ādhārakārikābhiḥ taṃ gurur abhibhāṣati sma tatsāram /	ādhāra kārikābhiḥ tam guruḥ abhibhāṣati sma tat sāram 	The guru spoke to him about the essence of the support with the aphorisms of the support.
['SA_GSP30_parmartu-5']	kathayaty abhinavaguptaḥ śivaśāsanadṛṣṭiyogena // //	kathayati abhinavaguptaḥ śiva śāsana dṛṣṭi yogena 	Abhinavagupta explains it through the yoga of the view of Shiva's teachings.
['SA_GSP30_parmartu-6']	nijaśaktivaibhavabharād a /ṅdacatuṣṭayam idaṃ vibhāgena /	                 	By the abundance of the glory of his own power, this group of four eggs is divided,
['SA_GSP30_parmartu-7']	śaktir māyā prakṛtiḥ pṛthvī ceti prabhāvitaṃ prabhuṇā // //	śaktiḥ māyā prakṛtiḥ pṛthvī ca iti prabhāvitam prabhuṇā 	The power, Maya, Prakriti, and the earth, is manifested by the Lord.
['SA_GSP30_parmartu-8']	tatrāntar viśvam idaṃ vicitratanukaraṇabhuvanasaṃtānam /	tatra antar viśvam idam vicitra tanu karaṇa bhuvana saṃtānam 	Within that, this entire universe with its various bodies, senses, and series of worlds,
['SA_GSP30_parmartu-9', 'SA_GSP30_parmartu-10']	bhoktā ca tatra dehī śiva eva gṛhītapaśubhāvaḥ // //🔽nānāvidhavarṇānāṃ rūpaṃ dhatte yathāmalaḥ sphaṭikaḥ /	bhoktā ca tatra dehī śivaḥ eva gṛhīta paśu bhāvaḥ  nānāvidha varṇānām rūpam dhatte yathā amalaḥ sphaṭikaḥ 	And the enjoyer there is the embodied being, Shiva himself, who has assumed the state of a bound soul.🔽Just as a pure crystal assumes the form of various colors,
