segmentnr	original	analyzed	translated
['SA_GV05_agsas_3u-0']	advaitaprakaraṇaṃ	advaita prakaraṇam 	Chapter on Non-Duality
['SA_GV05_agsas_3u-1']	START MandUpK /	start mandupk 	Start of Mandupk.
['SA_GV05_agsas_3u-2']	oṃkāranirṇaya uktaḥ prapañcopaśamaḥ śivodvaita ātmeti pratijñāmātreṇa /	oṃkāra nirṇayaḥ uktaḥ prapañca upaśamaḥ śiva udvaitaḥ ātmā iti pratijñā mātreṇa 	The determination of Om has been stated, the cessation of the world, the auspicious, non-dual, Self, by mere assertion.
['SA_GV05_agsas_3u-3']	jñāte dvaitaṃ na vidyata iti ca /	jñāte dvaitam na vidyate iti ca 	And when known, duality does not exist.
['SA_GV05_agsas_3u-4']	tatra dvaitābhāvastu vaitathyaprakaraṇena svapnamāyāgandharvanagarādidṛṣṭāntairdṛśyatvādyantavattvādihetubhistarkeṇa ca pratipāditā /	tatra dvaita abhāvaḥ tu vaitathya prakaraṇena svapna māyā gandharvanagara ādi dṛṣṭāntaiḥ dṛśya tva ādi antavat tva ādi hetubhiḥ tarkeṇa ca pratipāditā 	There, the absence of duality is taught by the chapter on untruth, by the examples of dream, illusion, Gandharva city, etc., by the reasons of being visible, having a beginning and end, etc., and by reasoning.
['SA_GV05_agsas_3u-5']	advaitaṃ kimāgamamātreṇa pratipattavyamāhosvittarkeṇāpītyata āha śakyate tarkeṇāpi jñātum /	advaitam kim āgama mātreṇa pratipattavyam āhosvit tarkeṇa api iti atas āha śakyate tarkeṇa api jñātum 	Should non-duality be understood only by scripture or also by reasoning? Therefore it is said: it can be known even by reasoning.
['SA_GV05_agsas_3u-6']	tatkathamityadvaitaprakaraṇamārabhyata upāsyopāsānādibhedajātaṃ sarvaṃ vitathaṃ kevalaścātmādvayaḥ paramārtha iti sthitamatīte prakaraṇe / yataḥ	tat katham iti advaita prakaraṇam ārabhyate upāsya upāsāna ādi bheda jātam sarvam vitatham kevalaḥ ca ātmā advayaḥ paramārthaḥ iti sthitam atīte prakaraṇe yatas 	How is that? The chapter on non-duality begins. All the varieties of meditation, worshipper, worshipped, etc. are false, and the Self alone, non-dual, is the ultimate reality, as established in the previous chapter. Because
['SA_GV05_agsas_3u-7']	upāsanāśrito dharmo jāte brahmaṇi vartate /	upāsana āśritaḥ dharmaḥ jāte brahmaṇi vartate 	The dharma based on meditation exists in the unborn Brahman after creation.
['SA_GV05_agsas_3u-8']	prāgutpatter ajaṃ sarvaṃ tenāsau kṛpaṇaḥ smṛtaḥ // / //	prāc utpatteḥ ajam sarvam tena asau kṛpaṇaḥ smṛtaḥ 	Before creation, all is unborn. Therefore, he is considered miserable.
['SA_GV05_agsas_3u-9']	upāsanāśrita upāsanāmātmano mokṣasādhanatvena gata upāsako 'haṃ mamopāsyaṃ brahma /	upāsana āśritaḥ upāsanām ātmanaḥ mokṣa sādhana tvena gataḥ upāsakaḥ ham mama upāsyam brahma 	The worshipper, who has gone to meditation as the means of attaining liberation for the self, thinks I am the worshipper, Brahman is to be worshipped by me.
['SA_GV05_agsas_3u-10', 'SA_GV05_agsas_3u-11']	tadupāsanaṃ kṛtvā jāte brahmaṇīdānīṃ vartamāno 'jaṃ brahma śarīrapātādūrdhvaṃ pratapatsye prāgutpatteścājamidaṃ sarvamahaṃ ca /🔽yadātmako 'haṃ prāgutpatteridānīṃ jāto jāte brahmaṇi ca vartamāna upāsanayā punastadeva	tat upāsanam kṛtvā jāte brahmaṇi idānīm vartamānaḥ jam brahma śarīrapātāt ūrdhvam pratapatsye prāk utpatteḥ ca ajam idam sarvam aham ca  yad ātmakaḥ ham prāc utpatteḥ idānīm jātaḥ jāte brahmaṇi ca vartamānaḥ upāsanayā punar tat eva 	Having performed that meditation, now born in Brahman, I shall shine forth the unborn Brahman after the fall of the body, and before creation, this all is unborn, and I am that.
['SA_GV05_agsas_3u-12']	pratipatsya ityevamupāsanāśrito dharmaḥ sādhako yenaivaṃ kṣudrabrahmavittenāsau kāraṇena	pratipatsye iti evam upāsana āśritaḥ dharmaḥ sādhakaḥ yena evam kṣudra brahma vittena asau kāraṇena 	In what Self I was before creation, now born, and existing in the born Brahman, by meditation I shall again attain that. Thus the Dharma based on meditation is the means, by which one who knows the lesser Brahman is considered
['SA_GV05_agsas_3u-13']	kṛpaṇo dīno 'lpakaḥ smṛto nityājabrahmadarśibhirityabhiprāyaḥ /	kṛpaṇaḥ dīnaḥ lpakaḥ smṛtaḥ nitya aja brahma darśibhiḥ iti abhiprāyaḥ 	miserable, distressed, and small by those who see the eternal unborn Brahman. This is the intention.
['SA_GV05_agsas_3u-14']	yadvācānabhyuditaṃ yena vāgabhyudyate /	yat vācā an abhyuditam yena vāc abhyudyate 	Or, that which is not uttered by speech, by which speech is uttered,
['SA_GV05_agsas_3u-15']	tadeva brahma tvaṃ viddhi nedaṃ yadidamupāsateke /u / /	tat eva brahma tvam viddhi na idam yat idam upāsate kā iu 	know that alone to be Brahman, not this which is worshipped by some.
['SA_GV05_agsas_3u-16']	ityādiśrutestalavakāraṇām ////	ityādi śruteḥ talava kāraṇām 	Thus it is said in the Upanishad.
['SA_GV05_agsas_3u-17']	START MandUpK /	start mandupk 	The Mimamsa Sutra
['SA_GV05_agsas_3u-18']	sabāhyābhyantaramajamātmānaṃ pratipattumaśaknuvannavidyayā dīnamātmānaṃ manyamāno	sa bāhya abhyantaram ajam ātmānam pratipattum aśaknuvan avidyayā dīnam ātmānam manyamānaḥ 	Being unable to realize the unborn Self as external and internal, considering the Self to be miserable due to ignorance,
['SA_GV05_agsas_3u-19']	jāto 'haṃ jāte brahmaṇi varte tadupāsanāśritaḥ sanbrahma pratipatsya ityevaṃ pratipannaḥ	jātaḥ ham jāte brahmaṇi varte tad upāsana āśritaḥ san brahma pratipatsye iti evam pratipannaḥ 	thinking I am born, I exist in the born Brahman, relying on the meditation on that, I shall attain Brahman,
['SA_GV05_agsas_3u-20']	kṛpaṇo bhavati yasmāt	kṛpaṇaḥ bhavati yasmāt 	one becomes miserable, because
['SA_GV05_agsas_3u-21']	ato vakṣyāmy akārpaṇyam ajāti samatāṃ gatam /	atas vakṣyāmi a kārpaṇyam ajāti sama tām gatam 	Therefore, I will declare the non-miserliness, the unborn, which has attained equality.
['SA_GV05_agsas_3u-22']	yathā na jāyate kiñcij jāyamānaṃ samantataḥ // / //	yathā na jāyate kiñcid jāyamānam samantataḥ 	As nothing is born, being born everywhere...
['SA_GV05_agsas_3u-23']	ato vakṣyāmyakārpaṇyakṛpaṇabhāvamajaṃ brahma /	atas vakṣyāmi a kārpaṇya kṛpaṇa bhāvam ajam brahma 	Therefore, I will declare the unborn non-miserliness, which is Brahman.
['SA_GV05_agsas_3u-24']	taddhi kārpaṇyāspadamyatrānyo 'nyatpaśyatyanyacchṛṇotyanyadvijānāti tadalpaṃ martyamasatchā /u / / /	tat hi kārpaṇya āspadam yatra anyaḥ nyat paśyati anyat śṛṇoti anyat vijānāti tat alpam martyam asat śāu 	For that is the abode of miserliness, where one sees another, hears another, knows another, that is small, mortal, and of false shadow...
['SA_GV05_agsas_3u-25']	ityādiśrutibhyaḥ /	ityādi śrutibhyaḥ 	Thus it is stated in the scriptures.
['SA_GV05_agsas_3u-26', 'SA_GV05_agsas_3u-27']	tadviparītaṃ sabāhyābhyantaramajakārpaṇyaṃ bhūmākhyaṃ brahma /🔽yatprāpyāvidyākṛtasarvakārpaṇyanivṛttistatkārpaṇyaṃ vakṣyāmītyarthaḥ /	tad viparītam sa bāhya abhyantaram aja kārpaṇyam bhūma ākhyam brahma  yat prāpya avidyā kṛta sarva kārpaṇya nivṛttiḥ tat kārpaṇyam vakṣyāmi iti arthaḥ 	The opposite of that is the unborn non-miserliness called the Absolute, which is both internal and external.🔽Having attained that, there is the cessation of all miserliness created by ignorance. That non-miserliness I will declare - this is the meaning.
['SA_GV05_agsas_3u-28']	tadajāti / avidyamānā jātirasya samatāṃ gataṃ sarvasāmyaṃ gatam /	tat ajāti a vidyamānā jātiḥ asya sama tām gatam sarva sāmyam gatam 	That is unborn. It has no birth. It has attained equality, has attained complete sameness.
['SA_GV05_agsas_3u-29']	kasmāt / avayavavaiṣamyābhāvāt /	kasmāt avayava vaiṣamya abhāvāt 	Why? Because there is no inequality of parts.
['SA_GV05_agsas_3u-30']	yaddhi sāvayavaṃ vastu tadavayavavaiṣamyaṃ gacchajjāyata ityucyate /	yat hi sa avayavam vastu tat avayava vaiṣamyam gacchat jāyate iti ucyate 	For a thing that has parts, when it goes to inequality of parts, is said to be born.
['SA_GV05_agsas_3u-31']	idaṃ tu niravayavatvātsamatāṃ gatamiti na kaiścidavayavaiḥ sphuṭatyatojātyakārpaṇyam /	idam tu niravayava tvāt samatām gatam iti na kaiścid avayavaiḥ sphuṭati atojātya kārpaṇyam 	But this, being partless, has attained equality. It is not split by any parts. Therefore, it is unborn non-miserliness.
['SA_GV05_agsas_3u-32']	samantataḥ samantādyathā na jāyate kiñcidalpamapi na sphuṭati rajjusarpavadavidyākṛtadṛṣṭyā	samantataḥ samantāt yathā na jāyate kiñcid alpam api na sphuṭati rajju sarpa vat avidyā kṛta dṛṣṭyā 	That it is not produced at all, not even a little, not even in the form of an illusion, like a snake in a rope, by the view created by ignorance.
['SA_GV05_agsas_3u-33']	jāyamānaṃ yena prakāreṇa na jāyate sarvato 'jameva brahma bhavati tathā taṃ prakāraṃ	jāyamānam yena prakāreṇa na jāyate sarvatas brahma bhavati tathā tam prakāram 	In whatever way it is not produced, Brahman becomes unborn in every way. In that way,
['SA_GV05_agsas_3u-34']	śṛṇvityarthaḥ // //	śṛṇu iti arthaḥ 	listen to that mode, is the meaning.
['SA_GV05_agsas_3u-35']	START MandUpK /	start mandupk 	The Mandukya Upanishad begins:
['SA_GV05_agsas_3u-36']	ajāti brahmakārpaṇyaṃ vakṣyāmīti pratijñātam /	ajāti brahma kārpaṇyam vakṣyāmi iti pratijñātam 	Non-birth, the humility of Brahman, I will declare.
