segmentnr	original	analyzed	translated
['SA_GV05_brup___u-0']	uṣā vā aśvasya medhyasya śiraḥ /	uṣāḥ vai aśvasya medhyasya śiraḥ 	The dawn is the head of the sacrificial horse.
['SA_GV05_brup___u-1', 'SA_GV05_brup___u-2']	sūryaś cakṣur vātaḥ prāṇo vyāttam agnir vaiśvānaraḥ saṃvatsara ātmāśvasya medhyasya /🔽dyauḥ pṛṣṭham antarikṣam udaraṃ pṛthivī pājasyaṃ diśaḥ pārśve avāntaradiśaḥ parśava	sūryaḥ cakṣuḥ vātaḥ prāṇaḥ vyāttam agniḥ vaiśvānaraḥ saṃvatsaraḥ ātmā aśvasya medhyasya  dyauḥ pṛṣṭham antarikṣam udaram pṛthivī pājasyam diśaḥ pārśve avāntaradiśaḥ parśavaḥ 	The sun is its eye, the wind its breath, the open space is its mouth, the all-pervading fire is its body, the year is the soul of the sacrificial horse.🔽The sky is its back, the atmosphere its belly, the earth its chest, the quarters its sides, the intermediate quarters its ribs.
['SA_GV05_brup___u-3']	ṛtavo 'ṅgāni māsāś cārdhamāsāś ca parvāṇy ahorātrāṇi pratiṣṭhā nakṣatrāṇy asthīni nabho māṃsāni /	ṛtavaḥ ṅgāni māsāḥ ca ardha māsāḥ ca parvāṇi ahar rātrāṇi pratiṣṭhāḥ nakṣatrāṇi asthīni nabhaḥ māṃsāni 	The seasons are its limbs, the months and half-months its joints, the days and nights its foundations, the stars its bones, the firmament its flesh.
['SA_GV05_brup___u-4']	ūvadhyaṃ sikatāḥ sindhavo gudā yakṛc ca klomānaś ca parvatā oṣadhayaś ca vanaspatayaś ca lomāni /	ūvadhyam sikatāḥ sindhavaḥ gudāḥ yakṛt ca klomānaḥ ca parvatāḥ oṣadhayaḥ ca vanaspatayaḥ ca lomāni 	The sand is its entrails, the rivers its bowels, the mountains its liver and lungs, the plants and trees its hair.
['SA_GV05_brup___u-5']	udyan pūrvārdho nimlocañ jaghanārdhaḥ /	udyan pūrva ardhaḥ nimlocam jaghana ardhaḥ 	The rising sun is its forepart, the setting sun its hindpart.
['SA_GV05_brup___u-6', 'SA_GV05_brup___u-7']	yad vijṛmbhate tad vidyotate /🔽yad vidhūnute tat stanayati /	yat vijṛmbhate tat vidyotate  yat vidhūnute tat stanayati 	When it yawns, it thunders.
['SA_GV05_brup___u-8']	yan mehati tad varṣati /	yat mehati tat varṣati 	When it shakes itself, it lightens.🔽When it urinates, it rains.
['SA_GV05_brup___u-9']	vāg evāsya vāk // / / //	vāc eva asya vāc 	Its speech is its speech.
['SA_GV05_brup___u-10']	ahar vā aśvaṃ purastān mahimānvajāyata /	ahar vai aśvam purastāt mahimā anvajāyata 	The day was born before the horse as its greatness.
['SA_GV05_brup___u-11']	tasya pūrve samudre yoniḥ /	tasya pūrve samudre yoniḥ 	Its birthplace is the eastern ocean.
['SA_GV05_brup___u-12']	rātrir enaṃ paścān mahimānvajāyata /	rātriḥ enam paścāt mahimā anvajāyata 	The night was born after it as its greatness.
['SA_GV05_brup___u-13']	tasyāpare samudre yonir /	tasya apare samudre yoniḥ 	Its birthplace is the western ocean.
['SA_GV05_brup___u-14']	etau vā aśvaṃ mahimānāv abhitaḥ sambabhūvatuḥ /	etau vai aśvam mahimānau abhitas sambabhūvatuḥ 	These two, the great ones, have come together on both sides of the horse.
['SA_GV05_brup___u-15']	hayo bhūtvā devān avahad vājī gandharvān arvāsurān aśvo manuṣyān /	hayaḥ bhūtvā devān avahat vājī gandharvān arvā asurān aśvaḥ manuṣyān 	Having become a horse, he carried the gods, as a stallion the Gandharvas, as a donkey the Asuras, as a horse men.
['SA_GV05_brup___u-16']	samudra evāsya bandhuḥ samudro yoniḥ // / / //	samudraḥ eva asya bandhuḥ samudraḥ yoniḥ 	The ocean is indeed his kinsman, the ocean his birthplace.
['SA_GV05_brup___u-17']	naiveha kiṃ canāgra āsīt /	na eva iha kim cana agre āsīt 	In the beginning this was indeed nothing at all.
['SA_GV05_brup___u-18']	mṛtyunaivedam āvṛtam āsīd aśanāyayā /	mṛtyunā eva idam āvṛtam āsīt aśanāyayā 	This was covered by death, by hunger.
['SA_GV05_brup___u-19']	aśanāyā hi mṛtyuḥ /	aśanāyā hi mṛtyuḥ 	For hunger is indeed death.
['SA_GV05_brup___u-20']	tan mano 'kurutātmanvī syām iti /	tat manaḥ kuruta ātmanvī syām iti 	It made the mind, thinking, Let me be self-existent.
['SA_GV05_brup___u-21']	so 'rcann acarat /	saḥ rcan acarat 	It moved about shining.
['SA_GV05_brup___u-22']	tasyārcata āpo 'jāyanta /	tasya arcataḥ āpaḥ jāyanta 	From its shining, the waters were born.
['SA_GV05_brup___u-23']	arcate vai me kam abhūd iti /	arcate vai me kam abhūt iti 	It has become food for me who am shining, (he thought).
['SA_GV05_brup___u-24']	tad evārkyasyārkatvam /	tat eva arkyasya arka tvam 	That is the shining of the Arka.
['SA_GV05_brup___u-25']	kaṃ ha vā asmai bhavati ya evam etad arkyasyārkatvaṃ veda // / / //	kam ha vai asmai bhavati yaḥ evam etat arkyasya arka tvam veda 	Verily, he who knows thus the shining of the Arka becomes food for him.
['SA_GV05_brup___u-26']	āpo vā arkaḥ /	āpaḥ vai arkaḥ 	The Arka is indeed the waters.
['SA_GV05_brup___u-27']	tad yad apāṃ śara āsīt tat samahanyata /	tat yat apām śaraḥ āsīt tat samahanyata 	That essence of the waters which was, it was heated.
['SA_GV05_brup___u-28']	sā pṛthivy abhavat /	sā pṛthivī abhavat 	That became the earth.
['SA_GV05_brup___u-29']	tasyām aśrāmyat /	tasyām aśrāmyat 	It rested on that.
['SA_GV05_brup___u-30']	tasya śrāntasya taptasya tejoraso niravartatāgniḥ // / / //	tasya śrāntasya taptasya tejaḥ rasaḥ niravartata agniḥ 	From its resting, its heating, its essence, fire was separated.
['SA_GV05_brup___u-31']	sa tredhātmānaṃ vyakurutādityaṃ tṛtīyaṃ vāyuṃ tṛtīyam /	sa tredhā ātmānam vyakuruta ādityam tṛtīyam vāyum tṛtīyam 	It divided itself into three: the sun as one third, the wind as one third.
['SA_GV05_brup___u-32']	sa eṣa prāṇas tredhāvihitaḥ /	saḥ eṣa prāṇaḥ tredhā vihitaḥ 	This breath is threefold.
