segmentnr	original	analyzed	translated
['SA_GV06_vaitss_u-0']	atha vitānasya /	atha vitānasya 	Now, for the canopy.
['SA_GV06_vaitss_u-1']	brahmā karmāṇi brahmavedavid dakṣiṇato vidhivad upaviśati vāgyataḥ //	brahmā karmāṇi brahmaveda vid dakṣiṇatas vidhivat upaviśati vāgyataḥ 	Brahma, knowing the Vedas, sits to the south, observing silence, according to the rules.
['SA_GV06_vaitss_u-2']	homān ādiṣṭān anumantrayate //	homān ādiṣṭān anumantrayate 	He recites the prescribed oblations.
['SA_GV06_vaitss_u-3']	mantrānādeśe liṅgavateti bhāgaliḥ /	mantra anādeśe liṅgavatā iti bhāgaliḥ 	If there is no recitation of mantras, it is according to the indications, says Bhagalli.
['SA_GV06_vaitss_u-4']	prajāpate na tvad etāny anyaḥ /	prajāpate na tvat etāni anyaḥ 	O Prajapati, none other than you.
['SA_GV06_vaitss_u-5']	iti yuvā kauśikaḥ /	iti yuvā kauśikaḥ 	Thus says the young Kaushika.
['SA_GV06_vaitss_u-6']	yathādevatam iti māṭharaḥ /	yathādevatam iti māṭharaḥ 	According to the deity, says Mathara.
['SA_GV06_vaitss_u-7']	oṃ bhūr bhuvaḥ svar janad 	om bhūḥ bhuvaḥ svar janat 	Om bhuh bhuvah svar janad
['SA_GV06_vaitss_u-8']	ity ācāryāḥ //	iti ācāryāḥ 	Thus say the teachers.
['SA_GV06_vaitss_u-9']	pradhānahomamantrān purastāddhomasaṃsthitahomeṣv āvapanty eke //	pradhāna homa mantrān purastāddhoma saṃsthita homeṣu āvapanti eke 	Some recite the principal oblation mantras in the oblations before and after the main oblation.
['SA_GV06_vaitss_u-10']	vācayati yajamānaṃ bhṛgvaṅgirovidā saṃskṛtam //	vācayati yajamānam bhṛgu aṅgiraḥ vidā saṃskṛtam 	He makes the sacrificer, purified by the knowledge of the Bhrigus and Angiras, recite.
['SA_GV06_vaitss_u-11']	agnir āhavanīyaḥ //	agniḥ āhavanīyaḥ 	The Ahavaniya fire.
['SA_GV06_vaitss_u-12']	saṃcaravāgyamau brahmavad yajamānasya //	saṃcara vāgyamau brahma vat yajamānasya 	The Brahman, observing silence, moves to the south of the sacrificer.
['SA_GV06_vaitss_u-13']	devatāhavirdakṣiṇā yajurvedāt //	devatā haviḥ dakṣiṇāḥ yajurvedāt 	The deities, oblations, and sacrificial fees are from the Yajur Veda.
['SA_GV06_vaitss_u-14']	āgnīdhrasyottarata upācāraḥ /	āgnīdhrasya uttaratas upācāraḥ 	The procedure is to the north of the Agnidhra.
['SA_GV06_vaitss_u-15']	sphyasaṃmārgapāṇes tiṣṭhato dakṣiṇāmukhasya //	sphya saṃmārga pāṇeḥ tiṣṭhataḥ dakṣiṇā mukhasya 	While standing with the Sphya and Sammarda in hand, facing south.
['SA_GV06_vaitss_u-16']	yathāsvaram 	yathāsvaram 	According to one's own voice.
['SA_GV06_vaitss_u-17']	astu 	astu 	Let it be.
['SA_GV06_vaitss_u-18']	iti pratyāśrāvaṇam //	iti pratyāśrāvaṇam 	Thus is the response.
['SA_GV06_vaitss_u-19']	yajamāno 'māvāsyāyāṃ pūrvedyur upavatsyadbhaktam aśnāty aparāhṇe //	yajamānaḥ māvāsyāyām pūrvedyus upavatsyat bhaktam aśnāti aparāhṇe 	The sacrificer, who will fast on the new moon day, eats food in the afternoon.
['SA_GV06_vaitss_u-20']	āhavanīyagārhapatyadakṣiṇāgniṣu 	āhavanīya gārhapatya dakṣiṇāgniṣu 	In the Ahavaniya, Garhapatya, and Dakshina fires.
['SA_GV06_vaitss_u-21']	mamāgne varcaḥ / /	mama agne varcaḥ 	O Agni, my radiance.
['SA_GV06_vaitss_u-22']	iti samidho 'nvādadhāti vibhāgam //	iti samidhaḥ nu ādadhāti vibhāgam 	Thus he puts on the kindling sticks, the division.
['SA_GV06_vaitss_u-23', 'SA_GV06_vaitss_u-24']	vratam upaiti 🔽vratena tvaṃ vratapate / / iti /	vratam upaiti  vratena tvam vratapate iti 	He undertakes the vow,🔽With the vow, O lord of vows,🔽 he says.
['SA_GV06_vaitss_u-25']	anaśanam ityādi // / / / 	anaśanam ityādi 	Not eating, and so on.
['SA_GV06_vaitss_u-26']	mamāgne varcaḥ / /	mama agne varcaḥ 	My splendor, O Agni,
['SA_GV06_vaitss_u-27']	iti catasṛbhir devatāḥ parigṛhṇāti /	iti catasṛbhiḥ devatāḥ parigṛhṇāti 	with these four verses he includes the deities.
['SA_GV06_vaitss_u-28']	sinīvāli pṛthuṣṭuke /	sinīvāli pṛthuṣṭuke 	O Sinīvālī, O Pṛthuṣṭukā,
['SA_GV06_vaitss_u-29']	iti mantroktām // / / / 	iti mantra uktām  /	with the mantra-stated.
['SA_GV06_vaitss_u-30']	anv adya naḥ /	anu adya naḥ 	Today after us,
['SA_GV06_vaitss_u-31']	iti paurṇamāsyām //	iti paurṇamāsyām 	at the full moon.
['SA_GV06_vaitss_u-32']	prātar hutvāgnihotram 	prātar hutvā agnihotram 	Having offered the Agnihotra in the morning,
['SA_GV06_vaitss_u-33']	kuhūṃ devīm /	kuhūm devīm 	The goddess Kuhū,
['SA_GV06_vaitss_u-34']	yat te devāḥ /	yat te devāḥ 	What you, O gods,
['SA_GV06_vaitss_u-35']	ity amāvāsyāyām /	iti amāvāsyāyām 	at the new moon.
['SA_GV06_vaitss_u-36']	rākām aham /	rākām aham 	Rākā I,
['SA_GV06_vaitss_u-37']	pūrṇā paścāt /	pūrṇā paścāt 	Full behind,
['SA_GV06_vaitss_u-38']	iti paurṇamāsyām //	iti paurṇamāsyām 	at the full moon.
['SA_GV06_vaitss_u-39']	atha brahmāṇaṃ vṛṇīte 	atha brahmāṇam vṛṇīte 	Then he chooses the Brahman,
['SA_GV06_vaitss_u-40']	bhūpate bhuvanapate bhuvāṃ pate mahato bhūtasya pate brahmāṇaṃ tvā vṛṇīmahe TB / / / iti //	bhūpate bhuvana pate bhuvām pate mahataḥ bhūtasya pate brahmāṇam tvā vṛṇīmahe tb  iti 	Lord of the earth, lord of the world, lord of the lands, lord of the great being, we choose you as Brahman.
