segmentnr	original	analyzed	translated
['SA_K01_vinsutru-0']	Revised reference system /	revised reference system 	Revised reference system.
['SA_K01_vinsutru-1']	vastu	vid vastu 	matter
['SA_K01_vinsutru-2']	n /n vastu /	vid vastu 	n.n matter.
['SA_K01_vinsutru-3']	chapter /section	chaptersection 	chapter.section
['SA_K01_vinsutru-4']	n vastu /line	vinn vastuline 	n.n matter.line
['SA_K01_vinsutru-5']	nn fol / no /	ns fol no 	n.n folio no.
['SA_K01_vinsutru-6']	slob dpon yon tan 'od gyis mdzad pa'i 'dul ba mdo ba'i lags so / shri la	R slob dpon tan od gyis mdzad pai dul bai mdo bai 	sloka dpon yon tan 'od gyi sras mdzad pa'i 'dul ba mdo bshad. shrī la
['SA_K01_vinsutru-7']	a ka ras bris ga xiv / vinayasūtram guṇaprabha patra	a ka ras bris ga xiv vinayasūtram guṇaprabha patra 	a kara ras bris gyi vinayasūtram guṇaprabha-patram
['SA_K01_vinsutru-8']	Bhadantaguṇaprabhaviracitaṃ	bhadanta guṇaprabha viracitam 	bhadant-guṇaprabha-viracitam
['SA_K01_vinsutru-9']	mūlasarvāstivādīyaṃ	mūlasarvāstivādīyam 	mūla-sarvāstivādinam
['SA_K01_vinsutru-10']	vinayasūtram /	vinaya sūtram 	vinayasūtram.
['SA_K01_vinsutru-11']	pravrajyāvastu	pravrajyā vastu 	pravrajyāvastu
['SA_K01_vinsutru-12']	śrāmaṇeratvopanayam	śrāmaṇera tva upanayam 	śrāmaṇeratvopa nayam
['SA_K01_vinsutru-13']	namo buddhāya /	namaḥ buddhāya 	namaḥ buddhāya.
['SA_K01_vinsutru-14']	atha niryāṇavṛttaṃ /	atha niryāṇa vṛttam 	atha nirvāṇavṛttam.
['SA_K01_vinsutru-15']	sarvasmin sannipatite saṃghe kṛtedaṃ veṣaṃ nipatya pragṛhītāñjalim utkuṭusthaṃ	sarvasmin sannipatite saṃghe kṛta idam veṣam nipatya pragṛhīta añjalim utkuṭu stham 	sarvasmin sannipatite saṃghe kṛte'dham veṣaṃ nipapāta pra-gṛhītāñjaliṃ utkṛṭustha
['SA_K01_vinsutru-16']	vṛddhāntaṃ yācivantaṃ trir jñapticaturthena karmaṇā saha pravrajyopasaṃpadāv upanayeyur iti purākalpaḥ /	vṛddha antam yācivantam tris jñapti caturthena karmaṇā saha pravrajyā upasaṃpadau upanayeyuḥ iti purākalpaḥ 	vṛddhān-taṃ yācamānaṃ trijñapti-caturthena karmaṇā saha pravrajyopa-saṃpadāv upanayeyur iti purākalpaḥ.
['SA_K01_vinsutru-17']	niśritasya kañcid bhikṣuṃ tatropādhyāyatayā pravrajyopasampadau /	niśritasya kañcid bhikṣum tatra upādhyāya tayā pravrajyā upasampadau 	niśritasya kaṃcid bhikṣuṃ tatra upādhyāyatayā pravrajyopa-saṃpadau.
['SA_K01_vinsutru-18']	pṛṣṭvāntarāyikaṃ pariśuddhāya pūrvopādhyāyatvenāvakāśaṃ kuryāt /	pṛṣṭvā āntarāyikam pariśuddhāya pūrva upādhyāya tvena avakāśam kuryāt 	pṛṣṭvāntarāyikaṃ pariśuddhaye pūrvopādhyāyatvena avakāśaṃ kuryāt.
['SA_K01_vinsutru-19']	nānupapannasya pūrvam upāsakatvaśrāmaṇeratvabhikṣutvānām uttaram /	na anupapannasya pūrvam upāsaka tva śrāmaṇera tva bhikṣu tvānām uttaram 	Not for one who is not a suitable candidate, the later [stages] of being a lay follower, novice, or fully ordained monk.
['SA_K01_vinsutru-20']	śaraṇagatyabhyupagamavacanopakramam upāsakatvaśrāmaṇeratvābhyupagamavacanaṃ kurvīta /	śaraṇa gati abhyupagama vacana upakramam upāsaka tva śrāmaṇera tva abhyupagama vacanam kurvīta 	One should make him utter the words of accepting the going for refuge and the lay follower and novice precepts.
['SA_K01_vinsutru-21']	anantaram asya śikṣotkīrtanam abhyupagamarūpeṇa /	          	Immediately after that, one should recite the precepts to him in the form of accepting them.
['SA_K01_vinsutru-22']	svayam upāsakatām upanīyārocakāya saṃghasyārpayet bhikṣave /	svayam upāsaka tām upanīya arocakāya saṃghasya arpayet bhikṣave 	Having initiated him into the lay follower status himself, one should entrust him to a fully ordained monk, to inform the Saṅgha.
['SA_K01_vinsutru-23']	kañcit pariśuddhya tīti pṛṣṭvā śuddham ārocayet /	kañcid pṛṣṭvā śuddham 	Having asked, Is he pure?, one should inform [the Saṅgha] if he is pure.
['SA_K01_vinsutru-24']	sarvasannipātena vā saṃniṣaṇṇe 'nulayanam vā /	sarva sannipātena vā saṃniṣaṇṇe nu layanam vā 	Or, if the Saṅgha is assembled, one should inform [the Saṅgha] while sitting in the same place.
['SA_K01_vinsutru-25']	sacet pariśuddhyatīti sarve brūyuḥ /	saced pariśuddhi atīti sarve brūyuḥ 	If all say, If he is pure,
['SA_K01_vinsutru-26']	upādhyāyaṃ yācet /	upādhyāyam yācet 	one should request the preceptor.
