segmentnr	original	analyzed	translated
['SA_K03_psp_4u-0']	Pañcaviṃśatisāhasrikā Prajñāpāramitā IV	pañcaviṃśati sāhasrikā prajñāpāramitā iva 	The Perfection of Wisdom in Twenty-five Thousand Lines
['SA_K03_psp_4u-1']	atha khalv āyuṣmān subhūtir bhagavantam etad avocat /	atha khalu āyuṣmān subhūtiḥ bhagavantam etat avocat 	Then the Venerable Subhūti said this to the Blessed One:
['SA_K03_psp_4u-2']	asatpāramiteyaṃ bhagavan yad uta prajñāpāramitā /	asat pāramitā iyam bhagavan yat uta prajñāpāramitā 	Blessed One, this perfection of wisdom is a non-existent perfection.
['SA_K03_psp_4u-3']	bhagavān āha /	bhagavān āha 	 The Blessed One said:
['SA_K03_psp_4u-4']	ākāśāsattāṃ subhūte upādāya /	ākāśa asattām subhūte upādāya 	Subhūti, it is because of the non-existence of space.
['SA_K03_psp_4u-5']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-6']	samatāpāramiteyaṃ bhagavan yad uta prajñāpāramitā /	sama tā pāramitā iyam bhagavan yat uta prajñāpāramitā 	Blessed One, this perfection of wisdom is a perfection of equality.
['SA_K03_psp_4u-7']	bhagavān āha /	bhagavān āha 	 The Blessed One said:
['SA_K03_psp_4u-8']	sarvadharmānupalabdhisamatām upādāya /	sarva dharma anupalabdhi sama tām upādāya 	It is because of the equality of the non-apprehension of all dharmas.
['SA_K03_psp_4u-9']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-10']	vivekapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	viveka pāramitā iyam bhagavan yat uta prajñāpāramitā 	Blessed One, this perfection of wisdom is a perfection of seclusion.
['SA_K03_psp_4u-11']	bhagavān āha /	bhagavān āha 	 The Blessed One said:
['SA_K03_psp_4u-12']	atyantaśūnyatām upādāya /	atyanta śūnyatām upādāya 	It is because of ultimate emptiness.
['SA_K03_psp_4u-13']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-14']	anavamardanīyapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	an avamardanīya pāramitā iyam bhagavan yat uta prajñāpāramitā 	Blessed One, this perfection of wisdom is an unassailable perfection.
['SA_K03_psp_4u-15']	bhagavān āha /	bhagavān āha 	 The Blessed One said:
['SA_K03_psp_4u-16']	sarvadharmānupalabdhitām upādāya /	sarva dharma anupalabdhi tām upādāya 	It is because of the non-apprehension of all dharmas.
['SA_K03_psp_4u-17']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-18']	apadapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	a pada pāramitā iyam bhagavan yat uta prajñāpāramitā 	Blessed One, this perfection of wisdom is a perfection without a basis.
['SA_K03_psp_4u-19']	bhagavān āha /	bhagavān āha 	 The Blessed One said:
['SA_K03_psp_4u-20']	anāmāśarīratām upādāya /	a nāma a śarīra tām upādāya 	It is because of the absence of a name and a body.
['SA_K03_psp_4u-21']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-22']	ākāśapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	ākāśa pāramitā iyam bhagavan yat uta prajñāpāramitā 	Blessed One, this perfection of wisdom is a perfection of space.
['SA_K03_psp_4u-23']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-24']	āśvāsapraśvāsānupalabdhitām upādāya /	āśvāsa praśvāsa anupalabdhi tām upādāya 	Because of the non-apprehension of inhalation and exhalation.
['SA_K03_psp_4u-25']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-26']	apravyāhārapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	a pravyāhāra pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection is a non-utterance, namely, the perfection of wisdom.
['SA_K03_psp_4u-27']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-28']	vitarkavicārānupalabdhām upādāya /	vitarka vicāra anupalabdhām upādāya 	Because of the non-apprehension of discursive thought and investigation.
['SA_K03_psp_4u-29']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-30']	anāmapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	a nāma pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection is nameless, namely, the perfection of wisdom.
['SA_K03_psp_4u-31']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-32']	vedanāsaṃjñāsaṃskāravijñānānupalabdhitām upādāya /	vedanā saṃjñā saṃskāra vijñāna anupalabdhi tām upādāya 	Because of the non-apprehension of feeling, perception, volitional formations, and consciousness.
['SA_K03_psp_4u-33']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-34']	agamanapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	a gamana pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection is a non-going, namely, the perfection of wisdom.
['SA_K03_psp_4u-35']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-36']	sarvadharmāṇām agamanatām upādāya /	sarva dharmāṇām a gamana tām upādāya 	Because of the non-going of all dharmas.
['SA_K03_psp_4u-37']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-38']	asaṃhāryapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	asaṃhārya pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection is unassailable, namely, the perfection of wisdom.
['SA_K03_psp_4u-39']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-40']	sarvadharmāgrāhyatām upādāya /	sarva dharma agrāhya tām upādāya 	Because of the ungraspability of all dharmas.
['SA_K03_psp_4u-41']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-42']	akṣayapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	akṣaya pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection is inexhaustible, namely, the perfection of wisdom.
['SA_K03_psp_4u-43']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-44']	sarvadharmāṇām atyantakṣayakṣīṇatām upādāya /	sarva dharmāṇām atyanta kṣaya kṣīṇa tām upādāya 	Because of the utter exhaustion of the destruction of all dharmas.
['SA_K03_psp_4u-45']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-46']	anutpattipāramiteyaṃ bhagavan yad uta prajñāpāramitā /	anutpatti pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-arising.
['SA_K03_psp_4u-47']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-48']	sarvadharmāṇām anutpādānirodhatām upādāya /	sarva dharmāṇām anutpāda anirodha tām upādāya 	Because of the non-arising and non-cessation of all dharmas.
['SA_K03_psp_4u-49']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-50']	akārakapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	akāraka pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-doers.
['SA_K03_psp_4u-51']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-52']	kārakānupalabdhitām upādāya /	kāraka anupalabdhi tām upādāya 	Because of the non-apprehension of doers.
['SA_K03_psp_4u-53']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-54']	ajānakapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	ajānaka pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-knowers.
['SA_K03_psp_4u-55']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-56']	jānakānupalabdhitām upādāya /	jānaka anupalabdhi tām upādāya 	Because of the non-apprehension of knowers.
['SA_K03_psp_4u-57']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-58']	asaṃkrāntipāramiteyaṃ bhagavan yad uta prajñāpāramitā /	asaṃkrānti pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-transmigration.
['SA_K03_psp_4u-59']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-60']	cyutyupapattyanupalabdhitām upādāya /	cyuti upapatti anupalabdhi tām upādāya 	Because of the non-apprehension of death and rebirth.
['SA_K03_psp_4u-61']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-62']	avinayapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	a vinaya pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-taming.
['SA_K03_psp_4u-63']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-64']	sarvadharmāṇāṃ prakṛtyavinayatām upādāya /	sarva dharmāṇām prakṛti avinaya tām upādāya 	Because of the inherent untaming of all dharmas.
['SA_K03_psp_4u-65']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-66']	svapnapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	svapna pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of dreams.
['SA_K03_psp_4u-67']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-68']	svapnadarśinānupalabdhitām upādāya /	svapna darśinā anupalabdhi tām upādāya 	Because of the non-apprehension of the dreamer.
['SA_K03_psp_4u-69']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-70']	pratiśrutkāpāramiteyaṃ bhagavan yad uta prajñāpāramitā /	pratiśrutkā pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection like an echo.
['SA_K03_psp_4u-71']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-72']	ghoṣodārānupalabdhitām upādāya /	ghoṣa udāra anupalabdhi tām upādāya 	Because the vastness of sound is not apprehended.
['SA_K03_psp_4u-73']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-74']	pratibhāsapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	pratibhāsa pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection like a reflection.
['SA_K03_psp_4u-75']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-76']	bimbhapratibimbhānupalabdhitām upādāya /	bimbha pratibimbha anupalabdhi tām upādāya 	Because the reflection and the reflected object are not apprehended.
['SA_K03_psp_4u-77']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-78']	marīcipāramiteyaṃ bhagavan yad uta prajñāpāramitā /	marīcipāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection like a mirage.
['SA_K03_psp_4u-79']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-80']	udakaskandhānupalabdhitām upādāya /	udaka skandha anupalabdhi tām upādāya 	Because the mass of water is not apprehended.
['SA_K03_psp_4u-81']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-82']	māyāpāramiteyaṃ bhagavan yad uta prajñāpāramitā /	māyā pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection like an illusion.
['SA_K03_psp_4u-83']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-84']	tannimittānupalabdhitām upādāya /	tad nimitta anupalabdhi tām upādāya 	Because the signs of that [illusion] are not apprehended.
['SA_K03_psp_4u-85']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-86']	asaṃkleśapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	asaṃkleśa pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-affliction.
['SA_K03_psp_4u-87']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-88']	kleśasvabhāvānupalabdhitām upādāya /	kleśa svabhāva anupalabdhi tām upādāya 	Because the nature of afflictions is not apprehended.
['SA_K03_psp_4u-89']	subhūtir āha /	subhūtiḥ āha 	Subhūti said:
['SA_K03_psp_4u-90']	avyavadānapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	avyavadāna pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-purification.
['SA_K03_psp_4u-91']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-92']	kliṣṭasattvānupalabdhitām upādāya /	kliṣṭa sattva anupalabdhi tām upādāya 	Because of the non-apprehension of afflicted beings.
['SA_K03_psp_4u-93']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-94']	anupalepapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	an upalepa pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-attachment.
['SA_K03_psp_4u-95']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-96']	ākāśānupalabdhitām upādāya /	ākāśa anupalabdhi tām upādāya 	Because of the non-apprehension of space.
['SA_K03_psp_4u-97']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-98']	aprapañcapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	a prapañca pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-elaboration.
['SA_K03_psp_4u-99']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-100']	sarvaprapañcasamudghātatām upādāya /	sarva prapañca samudghāta tām upādāya 	Because of the elimination of all elaborations.
['SA_K03_psp_4u-101']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-102']	amananāpāramiteyaṃ bhagavan yad uta prajñāpāramitā /	a mananā pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-attention.
['SA_K03_psp_4u-103']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-104']	sarvamananāsamudghātatām upādāya /	sarva mananā samudghāta tām upādāya 	Because of the elimination of all attention.
['SA_K03_psp_4u-105']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-106']	acalapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	acala pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-wavering.
['SA_K03_psp_4u-107']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-108']	dharmadhātusthitiṃ subhūte upādāya / iti sarvajñatākārāḥ	dharmadhātu sthitim subhūte upādāya iti sarvajña tā kārāḥ 	Because of the stability of the dharma-element, Subhuti. Thus, the aspects of omniscience.
['SA_K03_psp_4u-109']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-110']	virāgapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	virāga pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of dispassion.
['SA_K03_psp_4u-111']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-112']	virāgānupalabdhitām upādāya /	virāga anupalabdhi tām upādāya 	Because of the non-apprehension of dispassion.
['SA_K03_psp_4u-113']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-114']	asthānapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	asthāna pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-abiding.
['SA_K03_psp_4u-115']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-116']	sarvadharmāvikalpanatām upādāya /	sarva dharma a vikalpana tām upādāya 	Because of the non-discrimination of all dharmas.
['SA_K03_psp_4u-117']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-118']	śāntapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	śānta pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of peace.
['SA_K03_psp_4u-119']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-120']	sarvadharmāṇām avitathatābhisaṃbodhanatām upādāya /	sarva dharmāṇām avitatha tā abhisaṃbodhana tām upādāya 	Because of the full realization of the non-falseness of all dharmas.
['SA_K03_psp_4u-121']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-122']	arāgapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	a rāga pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-passion.
['SA_K03_psp_4u-123']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-124']	rāgānupalabdhitām upādāya /	rāga anupalabdhi tām upādāya 	Because of the non-apprehension of passion.
['SA_K03_psp_4u-125']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-126']	adoṣapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	adoṣa pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-hatred.
['SA_K03_psp_4u-127']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-128']	doṣāsadbhūtatām upādāya /	doṣa asat bhūta tām upādāya 	Because of the unreality of hatred.
['SA_K03_psp_4u-129']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-130']	amohapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	a moha pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-delusion.
['SA_K03_psp_4u-131']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-132']	mohāndhakāravidhamanatām upādāya /	moha andhakāra vidhamana tām upādāya 	Because of the dispelling of the darkness of delusion.
['SA_K03_psp_4u-133']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-134']	niḥkleśapāramiteyaṃ bhagavan yad uta prajñāpāramitā /	niḥkleśa pāramitā iyam bhagavan yat uta prajñāpāramitā 	This perfection of wisdom, Blessed One, is a perfection of non-affliction.
['SA_K03_psp_4u-135']	bhagavān āha /	bhagavān āha 	The Blessed One said:
['SA_K03_psp_4u-136']	parikalpāsattām upādāya /	parikalpa asattām upādāya 	Because of the non-existence of conceptualization.
['SA_K03_psp_4u-137']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
['SA_K03_psp_4u-138', 'SA_K03_psp_4u-139']	niḥsattvapāramiteyaṃ bhagavan yad uta prajñāpāramitā /🔽bhagavān āha /	niḥsattva pāramitā iyam bhagavan yat uta prajñāpāramitā 🔽bhagavān āha 	This perfection of wisdom, Blessed One, is a perfection of non-existence.
['SA_K03_psp_4u-140']	sattvānupalabdhitām upādāya /	sattva anupalabdhi tām upādāya 	Because of the non-apprehension of beings.
['SA_K03_psp_4u-141']	subhūtir āha /	subhūtiḥ āha 	Subhuti said:
