segmentnr	original	analyzed	translated
['SA_K12_vajvidhu-0']	Vajravidāraṇī	         	Vajra Penetration
['SA_K12_vajvidhu-1']	namo bhagavatya āryamahāvajravidāraṇāyai /	namaḥ bhagavatyaḥ ārya mahā vajra vidāraṇāyai 	Homage to the Blessed Noble Great Vajra Penetration.
['SA_K12_vajvidhu-2']	namo buddhāya //	namaḥ buddhāya 	Homage to the Buddha.
['SA_K12_vajvidhu-3']	evaṃ mayā śrutam ekasmin samaye bhagavān vajreṣu viharati sma /	evam mayā śrutam ekasmin samaye bhagavān vajreṣu viharati sma 	Thus have I heard. At one time the Blessed One was dwelling in the vajras.
['SA_K12_vajvidhu-4']	sarvaśarīraṃ vajramayam adhiṣṭhāya vajrapāṇiś ca buddhānubhāvena vajrasamādhiṃ samāpannam /	sarva śarīram vajra mayam adhiṣṭhāya vajrapāṇiḥ ca buddha anubhāvena vajra samādhim samāpannam 	Having consecrated his entire body as vajra, Vajrapani, by the Buddha's power, entered the vajra samadhi.
['SA_K12_vajvidhu-5']	tato vajrapāṇir buddhānubhāvena sarvabuddhādhiṣṭhānāc ca sarvabodhisatvādhiṣṭhānāc ca mahākrodhasaṃbhūtaṃ vajrasārapadaṃ bhāṣate sma //	tatas vajrapāṇiḥ buddha anubhāvena sarva buddha adhiṣṭhānāt ca sarva bodhisatva adhiṣṭhānāt ca mahā krodha saṃbhūtam vajrasāra padam bhāṣate sma 	Then Vajrapani, by the Buddha's power and the empowerment of all Buddhas and Bodhisattvas, spoke the vajra essence mantra born from great wrath:
['SA_K12_vajvidhu-6', 'SA_K12_vajvidhu-7']	acchedyam abhedyaṃ satyadṛḍhasthiraṃ sarvatā pratihataṃ sarvasatvavidāraṇakaraṃ sarvasatvasādhanakaraṃ🔽sarvavidyācchedanakaraṃ sarvavidyāstambhanakaraṃ sarvakarmavidhvaṃsanakaraṃ sarvakarmavidāraṇakaraṃ	acchedyam abhedyam satya dṛḍha sthiram sarva tā pratihatam sarva satva vidāraṇa karam sarva satva sādhana karam  sarva vidyā chedana karam sarva vidyā stambhana karam sarva karma vidhvaṃsana karam sarva karma vidāraṇa karam 	Indestructible, unbreakable, firmly established in truth, repelling everything, causing the destruction of all beings, accomplishing all beings,🔽cutting off all knowledge, paralyzing all knowledge, destroying all actions, tearing apart all actions,
['SA_K12_vajvidhu-8']	sarvagrahotsādanakaraṃ sarvagrahavimokṣaṇakaraṃ sarvabhūtāpakarṣaṇakaraṃ sarvavidyāmantrakarāyanakaram	sarva graha utsādana karam sarva graha vimokṣaṇa karam sarva bhūta apakarṣaṇa karam sarva vidyā mantra kara ayana karam 	destroying all planets, liberating from all planets, drawing forth all spirits, making all knowledge mantras ineffective,
['SA_K12_vajvidhu-9']	asiddhānāṃ siddhakaraṃ siddhānāṃ cāpi vināśanakaraṃ sarvakarmapadaṃ sarvasatvānāṃ	asiddhānām siddha karam siddhānām ca api vināśana karam sarva karma padam sarva satvānām 	It accomplishes the unattained and destroys the attained, the word of action for all beings,
['SA_K12_vajvidhu-10']	rakṣakaraṃ śāntikaṃ puṣṭikaṃ sarvasatvānāṃ stambhanakaraṃ sarvasatvānāṃ mohanakaram	rakṣa karam śāntikam puṣṭikam sarva satvānām stambhana karam sarva satvānām mohana karam 	it protects, pacifies, and nourishes all beings, it paralyzes and bewilders all beings.
['SA_K12_vajvidhu-11']	idaṃ mantramahābalaṃ sarvabuddhānubhāvena yakṣendro vajrapāṇiḥ prabhāṣate sma //	idam mantra mahābalam sarva buddha anubhāvena yakṣa indraḥ vajrapāṇiḥ prabhāṣate sma 	By the power of all the Buddhas, the Lord of Yakshas, Vajrapani, spoke this great and powerful mantra:
['SA_K12_vajvidhu-12']	namo ratnatrayāya /	namaḥ ratnatrayāya 	Homage to the Three Jewels.
['SA_K12_vajvidhu-13']	namo caṇḍavajrapāṇaye mahāyakṣasenāpataye //	namaḥ caṇḍa vajrapāṇaye mahā yakṣa senāpataye 	Homage to Chandavajrapani, the great general of the Yakshas.
['SA_K12_vajvidhu-14']	tadyathā / taṭa trotaya sphuṭa sphoṭaya ghuṇa ghuṇāpaya sarvasatvāni	tat yathā taṭa trotaya sphuṭa sphoṭaya ghuṇa sarva satvāni 	Thus: Tat trotaya sphuta sphotya ghuna ghunapayas sarvasattvanam.
['SA_K12_vajvidhu-15']	bodhaya saṃbodhaya trasa soṃtrāsaya sarvabuddhābodhinī kūṭa kūṭaya	bodhaya saṃbodhaya trasa soṃ trāsaya sarva buddha abodhinī kūṭa kūṭaya 	Bodhaya sambodhaya trasasontrasaya sarvabuddhabodhinikuto kutaya.
