segmentnr	original	analyzed	translated
['SA_MB_jnaanakaarikaaHK-0']	Muktabodha Etext in UTF	muktabodha etext in utf	Muktabodha Text in UTF-8
['SA_MB_jnaanakaarikaaHK-1']	MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww /muktabodha /org Muktabodha Indological Research Institute All Rights Reserved /Etexts may be viewed only online or downloaded for private study /Etexts may not / under any circumstances / be copied / republished /reproduced / distributed or sold / either in original or altered form / withoutthe express permission of Muktabodha Indological Research Institute in writing /Dataentered by the staff of Muktabodha under the direction of Mark S / G / Dyczkowski /Catalog number /	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /	Muktabodha Indological Research Institute www.muktabodha.org Muktabodha Indological Research Institute. All Rights Reserved. Texts may be viewed online or downloaded for private study. Texts may not be distributed or sold in any form, including by electronic means, without the express written permission of Muktabodha Indological Research Institute. Text entered by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski. Catalog Number:
['SA_MB_jnaanakaarikaaHK-2']	Uniform title / jñānakārikā	uniform title jñāna kārikā 	Uniform Title: Jñānakārikā
['SA_MB_jnaanakaarikaaHK-3']	Secondary title / kaulajñānanirṇaya and some minor texts of the school of matsyendrānātha	secondary title kaula jñāna nirṇaya and some minor texts of the school of matsyendrānātha 	Secondary Title: Kaulajñānanirnaya and Some Minor Texts of the School of Matsyendranātha
['SA_MB_jnaanakaarikaaHK-4']	Author /matsyendrānātha	authoḥ matsyendrānātha 	Author: Matsyendranātha
['SA_MB_jnaanakaarikaaHK-5']	Alternate name /matsyendra	alternate name matsya indra 	Alternate Name: Matsyendra
['SA_MB_jnaanakaarikaaHK-6']	Alternate name /macchagnapāda	name mad śagna pāda 	Alternative name. Matsyendranātha
['SA_MB_jnaanakaarikaaHK-7']	Editor /Bagchi / P / C /	e t itoḥ bagchi p c 	Editor. Bagchi. P. C.
['SA_MB_jnaanakaarikaaHK-8']	Description / The source of this etext is Calcutta Sanskrit Series kaulajñānanirṇaya and some minor texts of the school of matsyendrānātha where it is bundled along with kaulajñānanirṇaya kulānandatantra / The printed volume also contains introductory material and summaries in english /	description the source of this etext is calcutta sanskrit series  kaula jñāna nirṇaya and some minor texts of the school of matsyendrānātha                                                                                           	Description. The source of this text is the Calcutta Sanskrit Series Kaulajñānanirnaya and some minor texts of the school of Matsyendrānatha where it is bundled along with Kaulajñānanirnaya Kulānandatantra. The printed volume also contains introductory material and summaries in English.
['SA_MB_jnaanakaarikaaHK-9']	Notes / Dataentered by the staff of Muktabodha under the supervision of Mark S / G / Dyczkowski /	notes data entered by the staff muktabodha under the supervision of mark s g dyczkowski 	Notes. Entered by the staff of Muktabodha under the supervision of Mark S. G. Dyczkowski.
['SA_MB_jnaanakaarikaaHK-10']	Revision / August /	revision 	Revision. August.
['SA_MB_jnaanakaarikaaHK-11']	Publisher / Metropolitan Printing and Pub / House	publisher metropolitan printing and pub house 	Publisher. Metropolitan Printing and Publishing House
['SA_MB_jnaanakaarikaaHK-12']	Publication year /	publication year 	Publication year.
['SA_MB_jnaanakaarikaaHK-13']	Publication city / Calcutta	publication citi calcutta 	Publication city. Calcutta
['SA_MB_jnaanakaarikaaHK-14']	Publication country / India	publication country india 	Publication country. India
['SA_MB_jnaanakaarikaaHK-15']	jñānakārikā	      	Jñānakārikā
['SA_MB_jnaanakaarikaaHK-16']	prathamaḥ paṭalaḥ	prathamaḥ paṭalaḥ 	First Chapter
['SA_MB_jnaanakaarikaaHK-17']	oṃ namaḥ śivāya / siddhebhyo puruṣebhyo namaḥ /	om namaḥ śivāya siddhebhyaḥ puruṣebhyaḥ namaḥ 	Om, salutations to Shiva. Salutations to the accomplished men.
['SA_MB_jnaanakaarikaaHK-18']	śrīśaṅkarapādebhyo namaḥ / apratihatatattvebhyo namaḥ /	śrī śaṅkara pādebhyaḥ namaḥ apratihata tattvebhyaḥ namaḥ 	Salutations to the feet of Shankara. Salutations to the unobstructed truths.
['SA_MB_jnaanakaarikaaHK-19']	athātaḥ saṃpravakṣyāmi jñānasarvaṃ subhāṣitam /	atha atas saṃpravakṣyāmi jñāna sarvam subhāṣitam 	Now, I will explain all the well-spoken knowledge.
['SA_MB_jnaanakaarikaaHK-20']	kārikā śrījñānākhyātaṃ visarja jñānakārikām // / //	kārikā śrī jñāna ākhyātam visarja jñāna kārikām 	The verses are known as the Jñānākhyāta, the verses on the knowledge of release.
['SA_MB_jnaanakaarikaaHK-21']	kārikānāma vijñānaṃ śrūyante ca / / / / /vala /	kārikā nāma vijñānam śrūyante 	The verses are known as the Vijñāna, and they are heard...
['SA_MB_jnaanakaarikaaHK-22']	sāmprataṃ kathayiṣyāmi yogināṃ yuktakāraṇam // / //	sāmpratam kathayiṣyāmi yoginām yukta kāraṇam 	Now I will explain the cause of yoga for the yogis...
['SA_MB_jnaanakaarikaaHK-23']	muktimārgī ca sarvato sarvendriyavivarjitāḥ /	mukti mārgī ca sarvatas sarva indriya vivarjitāḥ 	And the path of liberation is devoid of all the senses.
['SA_MB_jnaanakaarikaaHK-24']	pañcapañcavinirmukto / / / / / / / / / / / /varjitam // / //	pañca pañca vinirmuktaḥ varjitam 	Freed from the five groups...
['SA_MB_jnaanakaarikaaHK-25']	ete surāstaṃ jñānaṃ mukti / / / / / / / /vān yathāsthitaḥ /	ete surāḥ tam jñānam muktivān yathā sthitaḥ 	These gods know that knowledge, liberation...as it is.
['SA_MB_jnaanakaarikaaHK-26']	sarvavyādhivinirmuktaṃ yacca indriyagocaram // / //	sarva vyādhi vinirmuktam yat ca indriya gocaram 	And that which is free from all diseases and is the domain of the senses...
