segmentnr	original	analyzed	translated
['SA_MB_jnaanasankaliniitantramHK-0']	Muktabodha Etext in UTF	muktabodha etext in utf	Muktabodha Text in UTF-8
['SA_MB_jnaanasankaliniitantramHK-1']	MUKTABODHA INDOLOGICAL RESEARCH INSTITUTEwww /muktabodha /org Muktabodha Indological Research Institute All Rights Reserved /Etexts may be viewed only online or downloaded for private study /Etexts may not / under any circumstances / be copied / republished /reproduced / distributed or sold / either in original or altered form / withoutthe express permission of Muktabodha Indological Research Institute in writing /Dataentered by the staff of Muktabodha under the direction of Mark S / G / Dyczkowski /Catalog number /	muktabodha indological research muktabodha indological research institute all rights reserved texts may be viewed only online or downloaded for private studye texts may not under any circumstances be copied republished reproduced distributed or sold either in original or altered form withoutthe express permission of muktabodha indological research institute in writing data entered by the staff of muktabodha under the direction of mark s g dyczkowskicatalog number  /	Muktabodha Indological Research Institute www.muktabodha.org Muktabodha Indological Research Institute. All Rights Reserved. Texts may be viewed online or downloaded for private study. Texts may not be otherwise copied, republished, redistributed, or resold, either in whole or in part, in any form, without the prior written permission of Muktabodha Indological Research Institute. Data Entry by the staff of Muktabodha under the direction of Mark S. G. Dyczkowski. Catalogue Number:
['SA_MB_jnaanasankaliniitantramHK-2']	Uniform title / jñānasaṅkalinītantra	uniform title jñānasaṅkalinītantra 	Uniform Title: Jñānasamkalinītantra
['SA_MB_jnaanasankaliniitantramHK-3']	Editor /caṭṭopādhyāya / rasika mohana	caṭṭa upādhyāya rasika mohana 	Editor: Chattopadhyaya, Rāsikamohaṇa
['SA_MB_jnaanasankaliniitantramHK-4']	Notes / Data entered by staff of Muktabodha under the supervision of Mark S /G / Dyczkowski	notes data entered by staff of muktabodha under the supervision of mark sg dyczkowski 	Notes: Data entered by the staff of Muktabodha under the supervision of Mark S. G. Dyczkowski
['SA_MB_jnaanasankaliniitantramHK-5']	Revision / October /	revision october 	Revision: October.
['SA_MB_jnaanasankaliniitantramHK-6']	Publisher / Unknown / late century	publisher unknown late century 	Publisher: Unknown. Late Century.
['SA_MB_jnaanasankaliniitantramHK-7']	Publication country / India	publication country india 	Publication Country: India.
['SA_MB_jnaanasankaliniitantramHK-8']	published in	published in 	Published in:
['SA_MB_jnaanasankaliniitantramHK-9']	calcutta end of century / script bengali	calcutta end of century script bengali 	Calcutta End of Century. Script Bengali.
['SA_MB_jnaanasankaliniitantramHK-10']	ṭranscribed from edition by ṛasika ṃohana Caṭṭopādhyāya published in	ṭranscribed from edition by ṛasika ṃohana caṭṭa upādhyāya published in 	Transcribed from an edition by Rāsik Mohan Chattopadhyaya Published in:
['SA_MB_jnaanasankaliniitantramHK-11']	Calcutta end of century / ṣcript Bengali	calcutta end of century ṣcript bengali 	Calcutta End of Century. Script Bengali.
['SA_MB_jnaanasankaliniitantramHK-12']	jñānasaṅkalinītantram	       	Jñānasamkalinī Tantra
['SA_MB_jnaanasankaliniitantramHK-13']	kailāśaśikharāsīnaṃ devadevaṃ jagadgurum /	kailāśa śikhara āsīnam devadevam jagadgurum 	The great goddess asked, the Lord of gods, the teacher of the world, seated on the peak of Kailash:
['SA_MB_jnaanasankaliniitantramHK-14']	pṛcchati sma mahādevī brūhi jñānaṃ maheśvara // //	pṛcchati sma mahādevī brūhi jñānam maheśvara 	Tell me, O Maheśvara, the knowledge.
['SA_MB_jnaanasankaliniitantramHK-15']	devī uvāca	devī uvāca 	The Goddess said:
['SA_MB_jnaanasankaliniitantramHK-16']	kutaḥ sṛṣṭirbhaved deva kathaṃ sṛṣṭirvinaśyati /	kutas sṛṣṭiḥ bhavet deva katham sṛṣṭiḥ vinaśyati 	O God, from where does creation arise? How does creation perish?
['SA_MB_jnaanasankaliniitantramHK-17']	brahmajñānaṃ kathaṃ deva sṛṣṭisaṃhāravarjitam // //	brahma jñānam katham deva sṛṣṭi saṃhāra varjitam 	O God, how is the knowledge of Brahman devoid of creation and dissolution?
['SA_MB_jnaanasankaliniitantramHK-18']	īśvara uvāca	īśvaraḥ uvāca 	The Lord said:
['SA_MB_jnaanasankaliniitantramHK-19']	avyaktācca bhavet sṛṣṭiravyaktācca vinaśyati /	avyaktāt ca bhavet sṛṣṭiḥ avyaktāt ca vinaśyati 	Creation arises from the unmanifest and perishes in the unmanifest.
['SA_MB_jnaanasankaliniitantramHK-20']	avyaktaṃ brahmaṇo jñānaṃ sṛṣṭisaṃhāra varjitam // //	avyaktam brahmaṇaḥ jñānam sṛṣṭi saṃhāra varjitam 	The knowledge of Brahman is the unmanifest, devoid of creation and dissolution.
['SA_MB_jnaanasankaliniitantramHK-21']	oṅkārādakṣarāt sarvāstvetā vidyāścaturdaśa /	oṅkārāt akṣarāt sarvāḥ tu etāḥ vidyāḥ caturdaśa 	From the syllable Om, all these fourteen lores,
