segmentnr	original	analyzed	translated
['SA_T01_n845u-0']	hāratīstotram	hāratīstotram 	The Hymn of Harati
['SA_T01_n845u-1', 'SA_T01_n845u-2']	śrī hāratīdevyaiḥ namaḥ🔽kundaprasūnasadṛśīṃ rucirāṅgarāgāṃ	śrī hāratīdevyaiḥ namaḥ  kunda prasūna sadṛśīm rucira aṅgarāgām 	Salutations to the glorious Goddess Harati🔽Resembling a jasmine flower, with beautiful limbs anointed with color,
['SA_T01_n845u-3']	nānāvibhūṣaṇavibhūṣitavajradehām /	nānā vibhūṣaṇa vibhūṣita vajra dehām 	With a body adorned with various ornaments and jewels,
['SA_T01_n845u-4']	savyena hastakamalena bhayārtihantrīṃ	savyena hasta kamalena bhaya ārti hantrīm 	With a lotus hand on the right, the destroyer of fear and suffering,
['SA_T01_n845u-5']	yakṣeśvarīṃ bahusutāṃ praṇamāmi bhaktyā // //	yakṣeśvarīm bahu sutām praṇamāmi bhaktyā 	I devoutly bow to the many-breasted queen of the Yakshas.
['SA_T01_n845u-6']	āliṅgitāṃ nijamasavyabhujena putrān	āliṅgitām nijam a savya bhujena putrān 	Embraced by her own left arm, with her son,
['SA_T01_n845u-7']	netraistribhiśca pariśobhitacārudehām /	netraiḥ tribhiḥ ca pariśobhita cāru dehām 	With a beautiful body adorned with three eyes,
['SA_T01_n845u-8']	nānāvidhairmaṇigaṇai racitaṃ kirīṭaṃ	nānāvidhaiḥ maṇi gaṇaiḥ racitam kirīṭam 	With a crown made of various jewels,
['SA_T01_n845u-9', 'SA_T01_n845u-10']	yakṣeśvarīṃ bahusutāṃ praṇamāmi bhaktyā // //🔽tāṃ vahnimaṇḍalagatāṃ vasupatrapadme	yakṣeśvarīm bahu sutām praṇamāmi bhaktyā  tām vahni maṇḍala gatām vasu patra padme 	I devoutly bow to the many-breasted queen of the Yakshas.🔽Residing in a circle of fire, on a lotus with the petals of the wish-fulfilling gem,
['SA_T01_n845u-11']	śrīratnapīṭha uparisthitapādapadmām /	śrī ratnapīṭhe upari sthita pāda padmām 	With lotus feet placed on the glorious jeweled throne,
['SA_T01_n845u-12']	yakṣādibhiḥ parivṛtāṃ lalitāsanasthāṃ	yakṣa ādibhiḥ parivṛtām lalita āsana sthām 	Surrounded by Yakshas and others, seated gracefully,
['SA_T01_n845u-13']	yakṣeśvarīṃ bahusutāṃ praṇamāmi bhaktyā // //	yakṣeśvarīm bahu sutām praṇamāmi bhaktyā 	I devoutly bow to the many-breasted queen of the Yakshas.
['SA_T01_n845u-14']	lokatrayārtiśamanīṃ śiśujīvadātrīṃ	               	The pacifier of the suffering of the three worlds, the giver of life to children,
['SA_T01_n845u-15']	śrīhāratīṃ karuṇayā nijabhaktadakṣām /	śrī hāratīm karuṇayā nija bhakta dakṣām 	The glorious Harati, skilled in showing compassion to her devotees,
['SA_T01_n845u-16']	duḥkhāpahāṃ janamanoharabhogabhājāṃ	duḥkha apahām jana manohara bhoga bhājām 	The remover of suffering, the enjoyer of delightful pleasures for the people,
['SA_T01_n845u-17']	yakṣeśvarīṃ bahusutāṃ praṇamāmi bhaktyā // //	yakṣeśvarīm bahu sutām praṇamāmi bhaktyā 	I devoutly bow to the many-breasted queen of the Yakshas.
['SA_T01_n845u-18']	saṃtrāsinīṃ piśunavṛttivatāṃ janānāṃ	saṃtrāsinīm piśuna vṛttivatām janānām 	The terrifier of people with slanderous behavior,
['SA_T01_n845u-19']	visphoṭakādirujarāśivināśakartrīm /	visphoṭaka ādi ruja rāśi vināśa kartrīm 	The destroyer of the mass of diseases such as smallpox,
['SA_T01_n845u-20']	bhakteṣu dhātṛsadṛśīṃ ca suśītalāṅgīṃ	bhakteṣu dhātṛ sadṛśīm ca su śītala aṅgīm 	Who is like a mother to her devotees, with a very cool body,
