segmentnr	original	analyzed	translated
['SA_T01_naglok_u-0']	lokātīta namas tubhyaṃ viviktajñānavedine /	loka atīta namaḥ tubhyam vivikta jñāna vedine 	Homage to you, who are beyond the world, who know the knowledge of detachment,
['SA_T01_naglok_u-1']	yas tvaṃ jagaddhitāyaiva khinnaḥ karuṇayā ciram //	yaḥ tvam jagat hitāya eva khinnaḥ karuṇayā ciram 	You who, for the sake of the welfare of the world, have long been afflicted with compassion.
['SA_T01_naglok_u-2']	skandhamātravinirmukto na sattvo 'stīti te matam /	skandha mātra vinirmuktaḥ na te matam 	It is your view that apart from the mere aggregates, there is no such thing as a sentient being,
['SA_T01_naglok_u-3']	sattvārthaṃ ca paraṃ khedam agamas tvaṃ mahāmune //	sattva artham ca param khedam agamaḥ tvam mahā mune 	And yet, O Great Sage, you have undergone the highest affliction for the sake of sentient beings.
['SA_T01_naglok_u-4']	te 'pi skandhās tvayā dhīman dhīmadbhyaḥ saṃprakāśitāḥ /	te pi skandhāḥ tvayā dhīman dhīmadbhyaḥ saṃprakāśitāḥ 	Those aggregates too, O Wise One, have been revealed by you to the wise
['SA_T01_naglok_u-5']	māyāmarīcigandharvanagarasvapnasaṃnibhāḥ //	māyā marīci gandharvanagara svapna saṃnibhāḥ 	As being like an illusion, a mirage, a gandharva city, or a dream.
['SA_T01_naglok_u-6']	hetutaḥ saṃbhavo yeṣāṃ tadabhāvān na santi ye /	hetutaḥ saṃbhavaḥ yeṣām tad abhāvāt na santi ye 	Those that exist due to causes, and that do not exist due to the absence of those causes,
['SA_T01_naglok_u-7']	kathaṃ nāma na te spaṣṭaṃ pratibimbasamā matāḥ //	katham nāma na te spaṣṭam pratibimba samāḥ matāḥ 	How could they not be clearly regarded as being like a reflection?
['SA_T01_naglok_u-8']	bhūtāny acakṣurgrāhyāṇi tanmayaṃ cākṣuṣaṃ katham /	bhūtāni a cakṣuḥ grāhyāṇi tanmayam cākṣuṣam katham 	The elements are not perceptible to the eye, and yet the eye is composed of them.
['SA_T01_naglok_u-9', 'SA_T01_naglok_u-10']	rūpaṃ tvayaivaṃ bruvatā rūpagrāho nivāritaḥ //🔽vedanīyaṃ vinā nāsti vedanāto nirātmikā /	rūpam tvayā evam bruvatā rūpa grāhaḥ nivāritaḥ  vedanīyam vinā nā asti vedanā atas nirātmikā 	By saying this, you have prevented the perception of form.🔽Without the object of experience, there is no feeling. Therefore, it is without self.
['SA_T01_naglok_u-11']	tac ca vedyaṃ svabhāvena nāstīty abhimataṃ tava //	tat ca vedyam svabhāvena nā asti iti abhimatam tava 	And that object of experience does not exist by its own nature, as you maintain.
['SA_T01_naglok_u-12']	saṃjñārthayor ananyatve mukhaṃ dahyeta vahninā /	saṃjñā arthayoḥ ananya tve mukham dahyeta vahninā 	If the object and the cognition are not different, the face would be burned by the fire.
['SA_T01_naglok_u-13']	anyatve 'dhigamābhāvas tvayoktaṃ bhūtavādinā //	anyatve dhigama abhāvaḥ tvayā uktam bhūtavādinā 	If they are different, there would be no cognition, as you have said, O proponent of the elements.
['SA_T01_naglok_u-14']	kartā svatantraḥ karmāpi tvayoktaṃ vyavahārataḥ /	kartā svatantraḥ karma api tvayā uktam vyavahārataḥ 	The agent is independent, and the action is also as stated by you in usage.
['SA_T01_naglok_u-15']	parasparāpekṣikī tu siddhis te 'bhimatānayoḥ //	paraspara āpekṣikī tu siddhiḥ te bhimatā anayoḥ 	But the establishment of these two is mutually dependent, as accepted by you.
['SA_T01_naglok_u-16']	na kartāsti na bhoktāsti puṇyāpuṇyaṃ pratītyajam /	na kartā asti na bhoktā asti puṇya apuṇyam pratītya ajam 	There is no agent, no experiencer, and merit and demerit are dependent.
['SA_T01_naglok_u-17']	yat pratītya na taj jātaṃ proktaṃ vācaspate tvayā //	yat pratītya na tat jātam proktam vācaspate tvayā 	You, the lord of speech, have said that what is dependent is not produced.
['SA_T01_naglok_u-18']	ajñāyamānaṃ na jñeyaṃ vijñānaṃ tad vinā na ca /	a jñāyamānam na jñeyam vijñānam tat vinā na ca 	What is not known is not an object of knowledge, and it does not exist without knowledge.
