segmentnr	original	analyzed	translated
['SA_T02_psarkdhu-0']	atha vidyādharakalpaṃ pravakṣye sattvānukampayā /	atha vidyādhara kalpam pravakṣye sattva anukampayā 	Now I will explain the Vidyadhara Kalpa out of compassion for beings.
['SA_T02_psarkdhu-1']	namo buddhāya namo dharmāya namaḥ saṃghāya /	namaḥ buddhāya namaḥ dharmāya namaḥ saṃghāya 	Homage to the Buddha, homage to the Dharma, homage to the Sangha.
['SA_T02_psarkdhu-2']	namo bhagavate śākyamunaye mahākāruṇikāya tathāgatāyārhate samyaksaṃbuddhāya /	namaḥ bhagavate śākyamunaye mahākāruṇikāya tathāgatāya arhate samyaksaṃbuddhāya 	Homage to the Blessed One, the Compassionate One, the Tathagata, the Arhat, the Perfectly Enlightened One, Shakyamuni.
['SA_T02_psarkdhu-3']	namaḥ samantebhyaḥ samyaksaṃbuddhebhyaḥ /	namaḥ samantebhyaḥ samyaksaṃbuddhebhyaḥ 	Homage to all the Perfectly Enlightened Ones.
['SA_T02_psarkdhu-4']	oṃ giri giri giriṇi giriṇi girivati guṇavati ākāśavati ākāśaviśuddhe sarvapāpavigate	om giri giri giriṇi giriṇi girivati guṇavati ākāśavati ākāśa viśuddhe sarva pāpa vigate 	Om giri giri giriņi giriņi girivati guṇavati ākāśavati ākāśaviśuddhe sarvapāpavigate
['SA_T02_psarkdhu-5']	ākāśe gaganatale ākāśavicāriṇi maṇidhari vajriṇi jvalitaśikhare maṇimuktākhacitamaulidhare	ākāśe gagana tale ākāśa vicāriṇi maṇidhari vajriṇi jvalita śikhare maṇi muktā khacita mauli dhare 	In the sky, on the surface of the sky, moving in the sky, holding jewels, having a thunderbolt, with a blazing peak, with a crown adorned with jewels and pearls,
['SA_T02_psarkdhu-6']	sukeśe suveṣe suvaktre sunetre suvarṇagaure atīte anutpanne anāgate pratyutpanne	su keśe su veṣe su vaktre su netre suvarṇa gaure atīte anutpanne anāgate pratyutpanne 	With beautiful hair, beautiful attire, beautiful face, beautiful eyes, having a beautiful golden complexion, past, unborn, future, present,
['SA_T02_psarkdhu-7']	namaḥ sarvabuddhānāṃ jvalitaujasāṃ buddhe subuddhe bhagavati surakṣaṇi akṣaya sukṣaya	namaḥ sarva buddhānām jvalita ojasām buddhe su buddhe bhagavati su rakṣaṇi akṣaya su kṣaya 	Homage to all the Buddhas, to the Buddhas of blazing splendor, to the Blessed One, the Protector, the Imperishable, the Destroyer of Afflictions,
['SA_T02_psarkdhu-8']	sūkṣme suprabhe sudame sudānte suvrate varade pravare bhagavati bhadravati subhadravati	sūkṣme su prabhe su dame su dānte suvrate vara de pravare bhagavati bhadravati subhadravati 	The Subtle One, the Well-Illuminated One, the Well-Subdued One, the Well-Tamed One, the One of Good Vows, the Bestower of Boons, the Supreme One, the Blessed One, the Auspicious One, the Very Auspicious One,
['SA_T02_psarkdhu-9']	bhadre subhadre vimale jayabhadre caṇḍi pracaṇḍi caṇḍe vajracaṇḍe mahācaṇḍe gauri	bhadre subhadre vimale jayabhadre caṇḍi pracaṇḍi caṇḍe vajracaṇḍe mahācaṇḍe gauri 	Bhadra, Subhadra, Vimalā, Jayabhadrā, Caṇḍī, Pracaṇḍī, Caṇḍā, Vajracaṇḍā, Mahācaṇḍā, Gaurī,
['SA_T02_psarkdhu-10']	gandhāri caṇḍāli mātaṅgi vaccasi sumati pukkasi sumukhi śabari śāvari śaṃkari dramaṇḍi	gandhāri caṇḍāli mātaṅgi vaccasi sumati pukkasi sumukhi śabari śāvari śaṃkari dramaṇḍi 	Gaṇḍhārī, Caṇḍālī, Mātaṅgī, Vaccasī, Sumati, Pukkasī, Sumukhī, Śabarī, Śāvarī, Śaṅkarī, Dramaṇḍī,
['SA_T02_psarkdhu-11']	drāmaṇḍi raudriṇi sarvārthasādhani paramārthasādhani hana hana sarvaśatrūn daha daha	drāmaṇḍi raudriṇi sarva artha sādhani parama artha sādhani hana hana sarva śatrūn daha daha 	Drāmaṇḍī, Raudrīṇi, Sarvārthasādhani, Paramārthasādhani, Han han, all enemies, burn burn,
['SA_T02_psarkdhu-12']	sarvaduṣṭān pretapiśācaḍākinīmanuṣyāmanuṣyāṇāṃ 	sarva duṣṭān preta piśāca ḍākinī manuṣya amanuṣyāṇām 	all evil spirits, pretas, piśācas, ḍākinīs, humans and non-humans,
['SA_T02_psarkdhu-13']	paca hṛdayaṃ vidhvaṃsaya jīvitaṃ sarvaduṣṭagrahāṇāṃ nāśaya naśaya sarvapāpāni me bhagavati /	paca hṛdayam vidhvaṃsaya jīvitam sarva duṣṭa grahāṇām nāśaya naśaya sarva pāpāni me bhagavati 	cook the heart, destroy life, all evil planets, destroy, destroy all my sins, Blessed One.
['SA_T02_psarkdhu-14']	rakṣa rakṣa mama sarvasattvānāñ ca sarvatra sarvadā sarvabhayopadravebhyaḥ /	rakṣa rakṣa mama sarva sattvānām ca sarvatra sarvadā sarva bhaya upadravebhyaḥ 	Protect, protect me and all beings everywhere at all times from all fears and calamities.
['SA_T02_psarkdhu-15']	sarvaduṣṭānāṃ bandhanaṃ kuru kuru /	sarva duṣṭānām bandhanam kuru kuru 	Bind all evil ones, bind them.
['SA_T02_psarkdhu-16']	sarvakilviṣanāśani mārtaṇḍe mṛtyudaṇḍe mṛtyudaṇḍanivāriṇi mānande mānini mahāmānini	sarva kilviṣa nāśani mārtaṇḍe mṛtyudaṇḍe mṛtyudaṇḍa nivāriṇi mānande mānini mahāmānini 	Destroyer of all sins, sun, death penalty, averter of the death penalty, blissful one, proud one, greatly proud one,
['SA_T02_psarkdhu-17']	mānadhāriṇi cale vicale vimale viṭi viṭi taṭi tiṭi niṭi niṭi tuṭṭe dhoriṇi dhariṇi	māna dhāriṇi cale vicale vimale viṭi viṭi taṭi tiṭi niṭi niṭi tuṭṭe dhoriṇi dhariṇi 	bearer of pride, moving, unsteady, spotless, viti viti, tati titti, niti niti, tutte, dhoriṇi, dhariṇi,
['SA_T02_psarkdhu-18']	nimiṇi viriṇi vīryaṇi pracale pravarasamare caṇḍāli mātaṅgi rundhasi karasi śarasi	nimiṇi viriṇi vīryaṇi pracale pravara samare caṇḍāli mātaṅgi rundhasi karasi śarasi 	Nimi, viri, viryani, pracale, pravarasamara, chandali, matangi, rundhasi, karasi, sarasi
['SA_T02_psarkdhu-19']	varcasi sumati pukkasi śabari śabari śaṃkari mani draviḍi ḍāviḍi hanani dahani pacani	varcasi sumati pukkasi śabari śabari śaṃkari mani draviḍi ḍāviḍi hanani dahani pacani 	Varcasi, sumati, pukkas, sabari, sabari, shankari, mani, dravida, davida, hanani, dahani, pachani
['SA_T02_psarkdhu-20']	pācani marddani sarali sarale saralambhe hīnamadhyotkṛṣṭavidāriṇi mahiri mahiri mahāmahili	pācani marddani sarali sarale hīna madhya utkṛṣṭa vidāriṇi mahiri mahiri mahā mahili 	Pacani, mardhani, sarali, sarale, saralambe, hinamadhyotkvistavidarini, mahiri, mahiri, mahamili
['SA_T02_psarkdhu-21']	nigaḍe nigaḍabhaṃje marte marte matti mattini dāṃte cakre cakravākini jvale jvale	nigaḍe nigaḍa bhaṃje marte marte matti mattini dāṃte cakre cakravākini jvale jvale 	Nigade, nigadbhanje, marte, marte, matti, matti, dami, chakrani, chakrawakini, jvale, jvale
['SA_T02_psarkdhu-22']	jvalini śabari śābari sarvavyādhihariṇi muni muni cuṇḍi cuṇḍi cuṇḍini cuṇḍini mahācuṇḍini	jvalini śabari śābari sarva vyādhi hariṇi muni muni cuṇḍi cuṇḍi cuṇḍini cuṇḍini mahācuṇḍini 	Jvalini, sabari, sabari, sarvabhadhihini, muni, muni, chundini, chundini, chundini, mahachundini
['SA_T02_psarkdhu-23']	nimi nimi nimiṃdhari trailokyavardhani trilokajanani trilokālokakari traidhātukavyavalokani	nimi nimi nimiṃdhari trailokya vardhani triloka janani triloka āloka kari traidhātuka vyavalokani 	Nimi, nimi, nimandhari, trailokyavardhani, trilokajanani, trilokalokakari, traidhātuka-vyavalokanini
['SA_T02_psarkdhu-24']	vajraparaśupāśamuṣalakhaḍgacakratriśūlacintāmaṇimakuṭamahāvidyādhāriṇi rakṣa rakṣa	vajra paraśu pāśa muṣala khaḍga cakra triśūla cintāmaṇi makuṭa mahāvidyā dhāriṇi rakṣa rakṣa 	Vajra-parshu-pasha-mushala-khadga-chakra-trisula-chintamani-mukuta-mahavidya-dharini, rakshasi rakshasi
['SA_T02_psarkdhu-25']	māṃ sarvasattvāṃś ca sarvasthānagata sarvaduṣṭabhayebhyaḥ sarvamanuṣyāmanuṣyabhayebhyaḥ sarvavyādhibhyaḥ /	mām sarva sattvān ca sarva sthāna gata sarva duṣṭa bhayebhyaḥ sarva manuṣya amanuṣya bhayebhyaḥ sarva vyādhibhyaḥ 	Protect me and all beings from all the fears of evil spirits in all places, from all human and non-human fears, and from all illnesses.
['SA_T02_psarkdhu-26']	vajre vajre vajravati vajradhare vajrapāṇidhare hiri hiri mili mili kili kili cili cili śili śili cala cala vala vala varade 	vajre vajre vajravati vajradhare vajrapāṇidhare hiri hiri mili mili kili kili cili cili śili śili cala cala vala vala varade 	Vajra, vajra, vajra-possessing, vajra-holding, vajra-handed, hili hili mili mili kili kili chuli chuli sili sili chala chala bala bala vara-giving,
['SA_T02_psarkdhu-27', 'SA_T02_psarkdhu-28']	varadāṃkuśe sarvatra jayalabdhe svāhā /🔽sarvapāpavidāriṇi svāhā /	varadā aṃkuśe sarvatra jaya labdhe svāhā  sarva pāpa vidāriṇi svāhā 	vara-giving goad, victorious in all places, svâhâ.🔽Destroyer of all sins, svâhâ.
['SA_T02_psarkdhu-29', 'SA_T02_psarkdhu-30']	sarvavyādhihariṇi svāhā /🔽garbhasaṃbharaṇi svāhā /	sarva vyādhi hariṇi svāhā  garbha saṃbharaṇi svāhā 	Remover of all illnesses, svâhâ.🔽Nourisher of the embryo, svâhâ.
['SA_T02_psarkdhu-31']	sarvatra bhayaharaṇi svāhā /	sarvatra bhaya haraṇi svāhā 	Remover of all fears, svâhâ.
['SA_T02_psarkdhu-32']	svasti bhavatu mama sarvasattvānāñ ca svāhā /	svasti bhavatu mama sarva sattvānām ca svāhā 	May there be well-being for me and all beings, svâhâ.
['SA_T02_psarkdhu-33', 'SA_T02_psarkdhu-34', 'SA_T02_psarkdhu-35']	oṃ bhuvaḥ svāhā /🔽svasti svāhā /🔽śānti svāhā /	om bhuvaḥ svāhā  svasti svāhā  śānti svāhā 	Om, bhûh svâhâ.🔽Well-being, svâhâ.🔽Peace, svâhâ.
['SA_T02_psarkdhu-36']	puṣṭi svāhā /	puṣṭi svāhā 	Nourishment, svâhâ.
['SA_T02_psarkdhu-37']	balavarddhani svāhā /	bala varddhani svāhā 	Strength-increasing, svâhâ.
['SA_T02_psarkdhu-38']	oṃ jayatu jayavati jayakamale vimale svāhā /	om jayatu jayavati jaya kamale vimale svāhā 	Om, may Victory, Victory-possessing, Victory-lotus, stainless, be victorious, svâhâ.
['SA_T02_psarkdhu-39']	vipule svāhā /	vipule svāhā 	Vast, svâhâ.
['SA_T02_psarkdhu-40']	sarvatathāgatamūrte svāhā /	sarva tathāgata mūrte svāhā 	Form of all Tathâgatas, svâhâ.
['SA_T02_psarkdhu-41']	oṃ bhūri mahāśānte svāhā /	om bhūri mahāśānte svāhā 	Om, Bhûrî, great peace, svâhâ.
['SA_T02_psarkdhu-42']	oṃ bhuḥ bhūri bhūri vajravati sarvatathāgatahṛdayapūraṇi āyuḥsandhāraṇi bale balavati /	om bhuḥ bhūri bhūri vajravati sarva tathāgata hṛdaya pūraṇi āyuḥ sandhāraṇi bale balavati 	Om, Bhûrî, Bhûrî, vajra-possessing, fulfilling the heart of all Tathâgatas, preserving life, strength-possessing,
['SA_T02_psarkdhu-43']	oṃ jayavijaye hūm hūṃ phaṭ /	om jayavijaye hūm hūm phaṭ 	Om, victory, victory, hum hum phat.
['SA_T02_psarkdhu-44']	oṃ maṇidhari vajriṇi hūm hūṃ phaṭ phaṭ svāhā //	om maṇidhari vajriṇi hūm hūm phaṭ phaṭ svāhā 	Om, jewel-holder, vajra-holder, hum hum phat phat, svaha.
['SA_T02_psarkdhu-45', 'SA_T02_psarkdhu-46']	oṃ maṇivajre hṛdayavajre mārasainyavidrāvaṇi hana hana sarvaśatrūn vajragarbhe trāsaya trāsaya sarvamārabhavanāni hūṃ hūṃ phaṭ phaṭ saṃbhara 🔽saṃbhara svāhā /	om maṇivajre hṛdaya vajre māra sainya vidrāvaṇi hana hana sarva śatrūn vajragarbhe trāsaya trāsaya sarva māra bhavanāni hūm hūm phaṭ phaṭ saṃbhara  saṃbhara svāhā 	Om, jewel vajra, heart vajra, destroyer of the Mara army, strike, strike all enemies, vajra-womb, frighten, frighten all Mara abodes, hum hum phat phat, collect, collect, svaha.
['SA_T02_psarkdhu-47']	buddhamaitrī sarvatathāgatavajrakalpādhiṣṭhite sarvakarmāvaraṇāny apanaye svāhā /	buddha maitrī sarva tathāgata vajra kalpa dhiṣṭhite sarva karma āvaraṇāni apanaye svāhā 	Om, Buddha Maitri, all Tathagatas, blessed by the vajra-kalpa, remove all karmic obscurations, svaha.
['SA_T02_psarkdhu-48']	āryapratisarākalpadhāraṇī samāptā //	ārya pratisarākalpadhāraṇī samāptā 	The noble Dhāraṇī of the Wish-Fulfilling Jewel is completed.
