segmentnr	original	analyzed	translated
['SA_T11_bsa064_u-0']	Vn 	vn 	V🔽🔽
['SA_T11_bsa064_u-1']	Vādanyāyaḥ	vāda nyāyaḥ 	The rules of debate
['SA_T11_bsa064_u-2']	nigrahasthānalakṣaṇam	nigrahasthāna lakṣaṇam 	The definition of a point of defeat
['SA_T11_bsa064_u-3']	nyāyavādinamapi vādeṣu asadvyavasthopanyāsaiḥ śaṭhā nigṛhṇanti /	nyāya vādinam api vādeṣu asat vyavasthā upanyāsaiḥ śaṭhāḥ nigṛhṇanti 	Even a debater who speaks correctly is defeated in debates by rogues through the presentation of false positions.
['SA_T11_bsa064_u-4']	tanniṣedhārthamidamārabhyate /	tad niṣedha artham idam ārabhyate 	This [treatise] is begun for the purpose of refuting that.
['SA_T11_bsa064_u-5']	asādhanāṅga gavacanamadoṣodbhāvanaṃ dvayoḥ /	asādhana aṅga ga vacanam adoṣa udbhāvanam dvayoḥ 	The non-statement of a part of the proof, the non-revelation of a fault by both [parties],
['SA_T11_bsa064_u-6']	nigrahasthānam /	nigrahasthānam 	is a point of defeat.
['SA_T11_bsa064_u-7']	anyatu na yuktamiti neṣyate //	anyatu na yuktam iti na iṣyate 	What is other than that is not proper and is not accepted.
['SA_T11_bsa064_u-8']	iṣṭasyārthasya siddhiḥ sādhanam / tasya nirvartakam aṅgam / tasya avacanaṃ tasyāṅgasyānuccāraṇaṃ vādino nigrahādhikaraṇam /	iṣṭasya arthasya siddhiḥ sādhanam tasya nirvartakam aṅgam tasya avacanam tasya aṅgasya anuccāraṇam vādinaḥ nigraha adhikaraṇam 	Proof is the accomplishment of a desired object. A part that brings that about is a part of the proof. The non-statement of that part, the non-utterance of that part by the proponent, is a ground for defeat.
['SA_T11_bsa064_u-9']	tadabhyupagamya apratibhayā tūṣṇīmbhāvāt /	tat abhyupagamya apratibhayā tūṣṇīmbhāvāt 	That is accepted, but due to lack of presence of mind, there is silence.
['SA_T11_bsa064_u-10']	sādhanāṅgasyāsamarthanād vā //	sādhana aṅgasya a samarthanāt vā 	Or because of the failure to establish a part of the proof.
['SA_T11_bsa064_u-11']	Vn 	vn 	V🔽🔽
['SA_T11_bsa064_u-12']	svabhāvahetau sādhanāṅgasamarthanam	          	The establishment of a part of the proof in the case of an inference based on the nature [of the subject]
['SA_T11_bsa064_u-13']	trividhameva hi liṅgamapratyakṣasya siddheraṅgam svabhāvaḥ /	trividham eva hi liṅgam apratyakṣasya siddheḥ aṅgam svabhāvaḥ 	For the proof of what is not directly perceived, there are only three kinds of logical mark: nature,
['SA_T11_bsa064_u-14']	kāryam /	kāryam 	effect,
['SA_T11_bsa064_u-15']	anupalambhaśca /	anupalambhaḥ ca 	and non-apprehension.
['SA_T11_bsa064_u-16']	tasya samarthanaṃ sādhyena vyāptiṃ prasādhya dharmiṇi bhāvasādhanam /	tasya samarthanam sādhyena vyāptim prasādhya dharmiṇi bhāva sādhanam 	The establishment of that [logical mark] is the proof of existence in the subject, having established the pervasion with the probandum.
['SA_T11_bsa064_u-17']	yathā 'yat sat kṛtakaṃ vā /	yathā yat sat kṛtakam vā 	For example, Whatever exists or is produced,
['SA_T11_bsa064_u-18']	tat sarvamanityam /	tat sarvam anityam 	that is all impermanent.
['SA_T11_bsa064_u-19']	yathā ghaṭādiḥ /	yathā ghaṭa ādiḥ 	Like a pot, etc.
['SA_T11_bsa064_u-20']	san kṛtako vā śabdaḥ' / iti /	san kṛtakaḥ vā śabdaḥ iti 	Sound is existent or produced.
['SA_T11_bsa064_u-21']	atrāpi na kaścit kramaniyamaḥ /	atra api na kaścid krama niyamaḥ 	Here too, there is no fixed order.
['SA_T11_bsa064_u-22']	iṣṭārthasiddherubhayatrāviśeṣāt /	iṣṭa artha siddheḥ ubhayatra aviśeṣāt 	Because there is no difference in the accomplishment of the desired object in both cases.
['SA_T11_bsa064_u-23']	yasmād dharmiṇi prāk sattvaṃ prasādhya paścādapi vyāptiḥ prasādhyata eva /	yasmāt dharmiṇi prāk sattvam prasādhya paścāt api vyāptiḥ prasādhyate eva 	Because, having first established existence in the subject, the pervasion is then established.
['SA_T11_bsa064_u-24']	yathā ''san śabdaḥ kṛtako vā /	yathā san śabdaḥ kṛtakaḥ vā 	For example, sound is existent or produced.
['SA_T11_bsa064_u-25']	yaścaivaṃ sa sarvo 'nityaḥ /	yaḥ ca evam sa sarvaḥ nityaḥ 	And whatever is so, all that is non-eternal.
