segmentnr	original	analyzed	translated
['SA_XX_n902u-0']	vajrasattvastotram	       	Praise of Vajrasattva
['SA_XX_n902u-1']	vande śrī vajrasattvaṃ bhuvanavaraguruṃ sarvabuddhaṃ bhavantaṃ	vande śrī vajrasattvam bhuvana vara gurum sarva buddham bhavantam 	I pay homage to the glorious Vajrasattva, the supreme guru of the world, the Buddha of all,
['SA_XX_n902u-2']	nānārūpaṃ jinendraṃ timirabhayaharaṃ nirmitaṃ meruśāntam /	nānā rūpam jinendram timira bhaya haram nirmitam meru śāntam 	The lord of the Jinas with various forms, the one who removes the fear of darkness, the one created by the peaceful Meru,
['SA_XX_n902u-3']	dharmādhāraṃ munīnāṃ jinaguṇaśubhadaṃ maṇḍalaṃ vajradhātuṃ	dharma ādhāram munīnām jina guṇa śubha dam maṇḍalam vajra dhātum 	The support of the Dharma of the sages, the auspicious giver of the qualities of the Jinas, the mandala of the Vajra Realm,
['SA_XX_n902u-4']	sarvānandaikarūpaṃ paramasukhamayaṃ dehināṃ mokṣahetum // //	sarva ānanda eka rūpam parama sukha mayam dehinām mokṣa hetum 	The form of all bliss, the essence of supreme bliss, the cause of liberation for embodied beings.
['SA_XX_n902u-5']	ajñānagāḍhatimirārṇavamagnasattva	ajñāna gāḍha timira arṇava magna sattva 	The beings who are sunk in the ocean of the thick darkness of ignorance,
['SA_XX_n902u-6']	mohāndhakāratamavāraṇacandraraśmiḥ /	            	The moon-rays that remove the darkness of delusion and ignorance,
['SA_XX_n902u-7']	jñānaṃ prakāśya paripūritavīryadhyānaṃ	jñānam prakāśya paripūrita vīrya dhyānam 	The one who illuminates knowledge and fills the ocean of merit and meditation,
['SA_XX_n902u-8']	śrīvajrasattvamasamaṃ śirasā namāmi // //	śrī vajra sattvam asamam śirasā namāmi 	I bow my head to the incomparable glorious Vajrasattva.
['SA_XX_n902u-9']	yasmin surāsurasurendranarendravṛndā	yasmin sura asura sura indra narendra vṛndā 	In whom the swarms of gods, demons, and lords of the gods and humans,
['SA_XX_n902u-10']	stvatpādapadmapatitā bhramarāḥ śirobhiḥ /	s tvad pāda padma patitāḥ bhramarāḥ śirobhiḥ 	Like bees fallen at your lotus feet, with their heads,
['SA_XX_n902u-11']	tatsiddhisādhanapayodhimahānidhānaṃ	            	That great treasure-ocean of the means of attaining perfection,
['SA_XX_n902u-12']	śrīlokanāthacaraṇaṃ śaraṇaṃ prayāmi // //	śrī lokanātha caraṇam śaraṇam prayāmi 	I go for refuge to the feet of the glorious Lord of the World.
['SA_XX_n902u-13']	buddhaṃ trailokyanāthaṃ suravaranamitaṃ pārasaṃsāratīrṇaṃ	buddham trailokya nātham sura vara namitam pāra saṃsāra tīrṇam 	The Buddha, the Lord of the Three Worlds, bowed to by the best of gods, who has crossed beyond samsara,
['SA_XX_n902u-14']	dhīraṃ gāmbhīryavantaṃ sakalaguṇanidhiṃ dharmarājābhiṣiktam /	dhīram gāmbhīryavantam sakala guṇa nidhim dharmarāja abhiṣiktam 	The steadfast one, the profound one, the treasure of all good qualities, consecrated as the King of Dharma,
['SA_XX_n902u-15']	tṛṣṇāmohāndhakāraṃ kalikaluṣaharaṃ kāmalobhādavantaṃ	tṛṣṇā moha andhakāram kali kaluṣa haram kāma lobha ādavantam 	The darkness of craving and delusion, the remover of the defilements of the age of discord, the one who is free from desire and greed,
['SA_XX_n902u-16']	taṃ vande śākyasiṃhaṃ praṇamitaśirasā sarvakālaṃ namāmi // //	tam vande śākyasiṃham praṇamita śirasā sarvakālam namāmi 	I praise that Lion of the Shakyas, with my head bowed down, I pay homage at all times.
['SA_XX_n902u-17']	hrīṃkārasaṃbhavaṃ nāthaṃ karuṇāsnigdhamānasam /	hrīṃkāra saṃbhavam nātham karuṇā snigdha mānasam 	I bow to the Lord who arises from the syllable HRIH, whose mind is tender with compassion,
['SA_XX_n902u-18']	amoghapāśanāmānaṃ lokanāthaṃ namāmyaham // //	amoghapāśa nāmānam lokanātham namāmi aham 	I pay homage to the Lord of the World named Amogh Pasha.
['SA_XX_n902u-19']	māmakī locanā tārā padminī jinadhātave /	māmakī locanā tārā padminī jina dhātave 	I bow to Mamaki, Locana Tara, Padmini, the abode of the Victorious Ones,
['SA_XX_n902u-20']	sarvabuddhālayaṃ caityaṃ dharmadhātuṃ namāmi tam // //	sarva buddha ālayam caityam dharmadhātum namāmi tam 	The abode of all Buddhas, the stupa, the Dharma realm.
['SA_XX_n902u-21']	namastāre ture vīre tuttāre bhayanāśini /	namastāre ture vīre tuttāre bhaya nāśini 	Homage to Tara, the heroic one, the destroyer of fear, Tuttare,
['SA_XX_n902u-22', 'SA_XX_n902u-23']	ture sarvāture kāle svāhākāraṃ namāmyaham // //🔽saddharmapuṇḍarīkākṣaṃ sarvajñaguṇasāgaram /	ture sarva āture kāle svāhākāram namāmi aham  /             	I pay homage to the syllable Svaha, the one who is afflicted by all diseases.🔽I bow to the Shakyamuni, the one with eyes like a white lotus, the ocean of omniscient qualities,
['SA_XX_n902u-24']	samantabhadraśāstāraṃ śākyasiṃhaṃ namāmyaham // //	samantabhadra śāstāram śākyasiṃham namāmi aham 	The universal benefactor, the Lion of the Shakyas.
['SA_XX_n902u-25']	śrīvajrasattvastotraṃ samāptam	śrī vajrasattva stotram samāptam 	The praise of glorious Vajrasattva is complete.
